15:24:40  |  Platform  |  Info  |  * Initialise: DataManager  |  F:\zhousha\mygameengine\MyGameEngine\mygui\uirender\MyGUI_OgreDataManager.cpp  |  25
15:24:40  |  Platform  |  Info  |  DataManager successfully initialized  |  F:\zhousha\mygameengine\MyGameEngine\mygui\uirender\MyGUI_OgreDataManager.cpp  |  29
15:24:40  |  Platform  |  Info  |  * Initialise: RenderManager  |  F:\zhousha\mygameengine\MyGameEngine\mygui\uirender\MyGUI_OgreRenderManager.cpp  |  57
15:24:40  |  Platform  |  Info  |  RenderManager successfully initialized  |  F:\zhousha\mygameengine\MyGameEngine\mygui\uirender\MyGUI_OgreRenderManager.cpp  |  76
15:24:40  |  Core  |  Info  |  * Initialise: Gui  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_Gui.cpp  |  61
15:24:40  |  Core  |  Info  |  * MyGUI version 3.4.2  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_Gui.cpp  |  66
15:24:40  |  Core  |  Info  |  * Initialise: ResourceManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ResourceManager.cpp  |  32
15:24:40  |  Core  |  Info  |  ResourceManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ResourceManager.cpp  |  40
15:24:40  |  Core  |  Info  |  * Initialise: LayerManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_LayerManager.cpp  |  33
15:24:40  |  Core  |  Info  |  LayerManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_LayerManager.cpp  |  41
15:24:40  |  Core  |  Info  |  * Initialise: WidgetManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_WidgetManager.cpp  |  53
15:24:40  |  Core  |  Info  |  WidgetManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_WidgetManager.cpp  |  84
15:24:40  |  Core  |  Info  |  * Initialise: InputManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_InputManager.cpp  |  48
15:24:40  |  Core  |  Info  |  InputManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_InputManager.cpp  |  71
15:24:40  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_SubWidgetManager.cpp  |  36
15:24:40  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_SubWidgetManager.cpp  |  56
15:24:40  |  Core  |  Info  |  * Initialise: SkinManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_SkinManager.cpp  |  36
15:24:40  |  Core  |  Info  |  SkinManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_SkinManager.cpp  |  46
15:24:40  |  Core  |  Info  |  * Initialise: FontManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_FontManager.cpp  |  32
15:24:40  |  Core  |  Info  |  FontManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_FontManager.cpp  |  42
15:24:40  |  Core  |  Info  |  * Initialise: ControllerManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ControllerManager.cpp  |  33
15:24:40  |  Core  |  Info  |  ControllerManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ControllerManager.cpp  |  42
15:24:40  |  Core  |  Info  |  * Initialise: PointerManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_PointerManager.cpp  |  43
15:24:40  |  Core  |  Info  |  PointerManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_PointerManager.cpp  |  62
15:24:40  |  Core  |  Info  |  * Initialise: ClipboardManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ClipboardManager.cpp  |  32
15:24:40  |  Core  |  Info  |  ClipboardManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ClipboardManager.cpp  |  39
15:24:40  |  Core  |  Info  |  * Initialise: LayoutManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_LayoutManager.cpp  |  28
15:24:40  |  Core  |  Info  |  LayoutManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_LayoutManager.cpp  |  35
15:24:40  |  Core  |  Info  |  * Initialise: DynLibManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_DynLibManager.cpp  |  26
15:24:40  |  Core  |  Info  |  DynLibManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_DynLibManager.cpp  |  30
15:24:40  |  Core  |  Info  |  * Initialise: PluginManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_PluginManager.cpp  |  29
15:24:40  |  Core  |  Info  |  PluginManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_PluginManager.cpp  |  33
15:24:40  |  Core  |  Info  |  * Initialise: LanguageManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_LanguageManager.cpp  |  30
15:24:40  |  Core  |  Info  |  LanguageManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_LanguageManager.cpp  |  34
15:24:40  |  Core  |  Info  |  * Initialise: FactoryManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_FactoryManager.cpp  |  25
15:24:40  |  Core  |  Info  |  FactoryManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_FactoryManager.cpp  |  27
15:24:40  |  Core  |  Info  |  * Initialise: ToolTipManager  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ToolTipManager.cpp  |  33
15:24:40  |  Core  |  Info  |  ToolTipManager successfully initialized  |  F:\zhousha\MyGameEngine\MyGameEngine\mygui\uiengine\MyGUI_ToolTipManager.cpp  |  45
