23:05:11  |  Platform  |  Info  |  * Initialise: DataManager  |  E:\learn3D\MyGUI\uirender\MyGUI_OgreDataManager.cpp  |  25
23:05:11  |  Platform  |  Info  |  DataManager successfully initialized  |  E:\learn3D\MyGUI\uirender\MyGUI_OgreDataManager.cpp  |  29
23:05:11  |  Platform  |  Info  |  * Initialise: RenderManager  |  E:\learn3D\MyGUI\uirender\MyGUI_OgreRenderManager.cpp  |  57
23:05:11  |  Platform  |  Info  |  RenderManager successfully initialized  |  E:\learn3D\MyGUI\uirender\MyGUI_OgreRenderManager.cpp  |  76
23:05:11  |  Core  |  Info  |  * Initialise: Gui  |  E:\learn3D\MyGUI\uiengine\MyGUI_Gui.cpp  |  61
23:05:11  |  Core  |  Info  |  * MyGUI version 3.4.2  |  E:\learn3D\MyGUI\uiengine\MyGUI_Gui.cpp  |  66
23:05:11  |  Core  |  Info  |  * Initialise: ResourceManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  32
23:05:11  |  Core  |  Info  |  ResourceManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  40
23:05:11  |  Core  |  Info  |  * Initialise: LayerManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_LayerManager.cpp  |  33
23:05:11  |  Core  |  Info  |  LayerManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_LayerManager.cpp  |  41
23:05:11  |  Core  |  Info  |  * Initialise: WidgetManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_WidgetManager.cpp  |  53
23:05:11  |  Core  |  Info  |  WidgetManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_WidgetManager.cpp  |  84
23:05:11  |  Core  |  Info  |  * Initialise: InputManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_InputManager.cpp  |  48
23:05:11  |  Core  |  Info  |  InputManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_InputManager.cpp  |  71
23:05:11  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_SubWidgetManager.cpp  |  36
23:05:11  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_SubWidgetManager.cpp  |  56
23:05:11  |  Core  |  Info  |  * Initialise: SkinManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_SkinManager.cpp  |  36
23:05:11  |  Core  |  Info  |  SkinManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_SkinManager.cpp  |  46
23:05:11  |  Core  |  Info  |  * Initialise: FontManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_FontManager.cpp  |  32
23:05:11  |  Core  |  Info  |  FontManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_FontManager.cpp  |  42
23:05:11  |  Core  |  Info  |  * Initialise: ControllerManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_ControllerManager.cpp  |  33
23:05:11  |  Core  |  Info  |  ControllerManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_ControllerManager.cpp  |  42
23:05:11  |  Core  |  Info  |  * Initialise: PointerManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_PointerManager.cpp  |  43
23:05:11  |  Core  |  Info  |  PointerManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_PointerManager.cpp  |  62
23:05:11  |  Core  |  Info  |  * Initialise: ClipboardManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_ClipboardManager.cpp  |  32
23:05:11  |  Core  |  Info  |  ClipboardManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_ClipboardManager.cpp  |  39
23:05:11  |  Core  |  Info  |  * Initialise: LayoutManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_LayoutManager.cpp  |  28
23:05:11  |  Core  |  Info  |  LayoutManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_LayoutManager.cpp  |  35
23:05:11  |  Core  |  Info  |  * Initialise: DynLibManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_DynLibManager.cpp  |  26
23:05:11  |  Core  |  Info  |  DynLibManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_DynLibManager.cpp  |  30
23:05:11  |  Core  |  Info  |  * Initialise: PluginManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_PluginManager.cpp  |  29
23:05:11  |  Core  |  Info  |  PluginManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_PluginManager.cpp  |  33
