INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
护身符id	花费	孔1是否有效	适用部件	孔1是否有效	适用部件	孔1是否有效	适用部件	孔1是否有效	适用部件	孔1是否有效	适用部件	孔1是否有效	适用部件
10340000	10000	1	0|1|6|10	1	2|5|7|8|9|12	-1	-1	-1	-1	-1	-1	-1	-1
10340001	10000	1	0|1	1	6|10	1	2|5|8	1	7|9|12	-1	-1	-1	-1
10340002	10000	1	0|5	1	2	1	1|7	1	6|8	1	9	1	10|12
10340003	10000	1	0|1|2|5|6|7|8|9|10|12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10340004	10000	1	0|1|6	1	2|5|8	1	7|9|10|12	-1	-1	-1	-1	-1	-1
10340005	10000	1	0|5	1	2|8	1	1|9	1	6|7	1	10|12	-1	-1
10340006	10000	1	0|1|2|5|6|7|8|9|10|12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10340007	10000	1	0|1|6|10	1	2|5|7|8|9|12	-1	-1	-1	-1	-1	-1	-1	-1
10340008	10000	1	0|2|5	1	1|7|9	1	6|8|10|12	-1	-1	-1	-1	-1	-1
10340009	10000	1	0|1|6|10	1	2|5|7|8|9|12	-1	-1	-1	-1	-1	-1	-1	-1
10340010	10000	1	0|2|5	1	1|7|9	1	6|8|10|12	-1	-1	-1	-1	-1	-1
10340011	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
