INT	STRING	INT	INT
物品ID	说明	目标牌型	所需金钱
11970001	交换两个牌的牌型	-1	10000
11970021	随机牌型	5	10000
11970022	随机牌型	12	10000
11980015	东	15	10000
11980016	南	16	10000
11980017	西	17	10000
11980018	北	18	10000
11980019	中	19	10000
11980020	发	20	10000
11980021	白	21	10000
11980031	1条	31	10000
11980032	2条	32	10000
11980033	3条	33	10000
11980034	4条	34	10000
11980035	5条	35	10000
11980036	6条	36	10000
11980037	7条	37	10000
11980038	8条	38	10000
11980039	9条	39	10000
11980041	1筒	41	10000
11980042	2筒	42	10000
11980043	3筒	43	10000
11980044	4筒	44	10000
11980045	5筒	45	10000
11980046	6筒	46	10000
11980047	7筒	47	10000
11980048	8筒	48	10000
11980049	9筒	49	10000
11980051	1万	51	10000
11980052	2万	52	10000
11980053	3万	53	10000
11980054	4万	54	10000
11980055	5万	55	10000
11980056	6万	56	10000
11980057	7万	57	10000
11980058	8万	58	10000
11980059	9万	59	10000
