INT	INT	INT	INT	INT	STRING
索引	职业ID（0——11）	技能ID	装换目标技能ID	目标职业（0——11）	说明
0	0	121	1107	6	冲锋斩-十字军冲杀
1	0	123	1104	6	杀无赦-审判
2	0	124	1106	6	扬威破阵-十字军威慑
3	0	125	1108	6	战八方-十字军穿刺
4	0	126	1109	6	笑骂千军-十字军之怒
5	0	127	1105	6	怒发冲冠-裁决
6	0	128	1100	6	热血沸腾-光明祝福
7	0	129	1101	6	锐不可挡-光明圣盾
8	0	130	1103	6	虽远必诛-狂热
9	0	132	1102	6	勇冠三军-光明圣战
10	0	134	1112	6	血量增强-点数体质
11	0	135	1113	6	免疫增强-力量增强
12	0	136	1111	6	近攻增强-近攻增强
13	0	137	1110	6	韧性增强-韧性增强
14	1	201	1201	7	凌波微步-
15	1	202	1202	7	穴打风池-
16	1	203	1211	7	起剑诀-
17	1	204	1207	7	御剑诀-
18	1	205	1208	7	一剑乾坤-
19	1	206	1205	7	剑走偏锋-
20	1	207	1209	7	七伤剑阵-
21	1	208	1206	7	七星剑阵-
22	1	209	1200	7	金蝉脱壳-
23	1	210	1204	7	逍遥游-
24	1	211	1203	7	梯云纵-
25	1	212	1213	7	暴击增强-
26	1	213	1214	7	近攻增强-
27	1	214	1212	7	命中增强-
28	2	301	1303	8	锋芒之歌-
29	2	302	1304	8	天鹰之歌-
30	2	303	1310	8	血羽箭-
31	2	305	1309	8	淬毒箭-
32	2	306	1307	8	百步穿杨-
33	2	307	1308	8	万箭齐发-
34	2	309	1306	8	自由之歌-
35	2	311	1305	8	战神之歌-
36	2	313	1313	8	敏捷增强-
37	2	314	1311	8	远攻增强-
38	2	315	1312	8	韧性增强-
39	2	316	1300	8	迷魂索-
40	2	317	1301	8	夺命索-
41	2	318	1302	8	绊马索-
42	3	404	1407	9	狙击-
43	3	406	1400	9	毁灭-
44	3	408	1403	9	快速填弹-
45	3	409	1406	9	散兵队形-
46	3	410	1404	9	火线救护-
47	3	411	1405	9	震荡雷-
48	3	412	1413	9	暴击增强-
49	3	413	1415	9	远攻增强-
50	3	414	1414	9	命中增强-
51	3	417	1409	9	霰光雷-
52	3	418	1410	9	排子炮-
53	3	421	1401	9	地网雷-
54	3	422	1408	9	连珠炮-
55	3	423	1402	9	一闪-
56	4	501	1508	10	天之惩戒-
57	4	502	1507	10	风之惩戒-
58	4	503	1509	10	火之惩戒-
59	4	505	1510	10	末日审判-
60	4	506	1500	10	沉默箴言-
61	4	507	1501	10	禁锢箴言-
62	4	508	1506	10	神灯之光-
63	4	509	1503	10	玄石之盾-
64	4	510	1502	10	气定神闲-
65	4	511	1504	10	祷告之歌-
66	4	512	1505	10	幻影箴言-
67	4	513	1513	10	暴击增强-
68	4	514	1511	10	魔攻增强-
69	4	515	1512	10	闪避增强-
70	5	601	1600	11	烈犬之舞-
71	5	602	1609	11	黑鸦蛊惑-
72	5	604	1603	11	小巫医术-
73	5	605	1601	11	火凤之舞-
74	5	606	1604	11	回春之光-
75	5	609	1607	11	白蟒蛊惑-
76	5	610	1605	11	冥神附体-
77	5	611	1608	11	大巫医术-
78	5	612	1602	11	巫神之舞-
79	5	613	1612	11	智力增强-
80	5	614	1611	11	魔攻增强-
81	5	615	1613	11	韧性增强-
82	5	616	1606	11	石神附体-
83	5	617	1610	11	雪神附体-
84	0	31	4	6	
85	1	32	5	7	
86	2	33	6	8	
87	3	34	7	9	
88	4	35	8	10	
89	5	36	9	11	
