INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING
INDEX	日推荐	月推荐	"是否所有人可见,0为否"	等级段	国家	帮会	家族	任务类型	任务名称	任务有效月	任务以星期或日期来做	任务时段	任务时间	个人全局变量解析标记 0:表示以天为标记 1:表示以周为标记	个人全局变量	每日次数	任务简介	接任务NPCID	图标
0	0	0	1	20~160	0	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	123744	
1	0	0	1	25~160	0	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	123711	
2	0	0	1	20~160	1	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	126040	
3	0	0	1	25~160	1	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	126010	
4	0	0	1	20~160	2	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	129041	
5	0	0	1	25~160	2	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	129008	
6	0	0	1	20~160	3	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	132040	
7	0	0	1	25~160	3	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	132010	
8	0	0	1	20~160	0	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	123723	
9	0	0	1	20~160	1	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	126020	
10	0	0	1	20~160	2	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	129020	
11	0	0	1	20~160	3	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	132020	
12	0	0	1	20~160	0	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	123723	
13	0	0	1	20~160	1	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	126020	
14	0	0	1	20~160	2	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	129020	
15	0	0	1	20~160	3	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	132020	
16	0	0	1	25~160	0	0	0	0	【个人】内政任务	0	1	0	0	0	0|22|9|1|6|8	10	超高经验，千万别放弃	123745	
17	0	0	1	25~160	1	0	0	0	【个人】内政任务	0	1	0	0	0	0|22|9|1|6|8	10	超高经验，千万别放弃	126041	
18	0	0	1	25~160	2	0	0	0	【个人】内政任务	0	1	0	0	0	0|22|9|1|6|8	10	超高经验，千万别放弃	129042	
19	0	0	1	25~160	3	0	0	0	【个人】内政任务	0	1	0	0	0	0|22|9|1|6|8	10	超高经验，千万别放弃	132041	
20	0	0	1	40~160	0	0	0	0	【个人】大漠盗宝客	0	1	0	0	0	42|21|9|42|17|4	10	消灭盗宝客	124057	
21	0	0	1	40~160	1	0	0	0	【个人】大漠盗宝客	0	1	0	0	0	42|21|9|42|17|4	10	消灭盗宝客	127033	
22	0	0	1	40~160	2	0	0	0	【个人】大漠盗宝客	0	1	0	0	0	42|21|9|42|17|4	10	消灭盗宝客	130041	
23	0	0	1	40~160	3	0	0	0	【个人】大漠盗宝客	0	1	0	0	0	42|21|9|42|17|4	10	消灭盗宝客	133033	
24	0	0	1	30~160	0	0	0	0	【个人】官府押运	0	1	0	0	0	16|0|9|16|9|7	3	风险与经验并存	123767	
25	0	0	1	30~160	1	0	0	0	【个人】官府押运	0	1	0	0	0	16|0|9|16|9|7	3	风险与经验并存	126063	
26	0	0	1	30~160	2	0	0	0	【个人】官府押运	0	1	0	0	0	16|0|9|16|9|7	3	风险与经验并存	129066	
27	0	0	1	30~160	3	0	0	0	【个人】官府押运	0	1	0	0	0	16|0|9|16|9|7	3	风险与经验并存	132063	
28	0	0	1	30~160	0	0	0	0	【个人】黑金押运	0	1	0	0	0	17|0|9|17|9|7	3	高风险必然带来高利润	123767	
29	0	0	1	30~160	1	0	0	0	【个人】黑金押运	0	1	0	0	0	17|0|9|17|9|7	3	高风险必然带来高利润	126063	
