INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index(组ID)	Num(商品数量)	PID(商品编号)	PMin(有限商品的数量下限)	PMAX(有限商品的数量上限)	Rate(出现几率)	价格随机类型（暂定：0为随机，1为递增跑商用）	价格种类数量	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)	(价格类型)	(价格数值)																																																				
1	1	12010001	10	50	100	1	2	0	100	0	150	0	200	0	300	0	100	0	150	0	200	0	300	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	12010002	15	50	99	0	2	0	200	0	250	0	60	0	80	0	111	0	10	0	60	0	80	0	80	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	12010003	20	50	89	0	2	0	300	0	350	0	60	0	80	0	1000	0	10	0	60	0	80	0	80	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	12010004	25	50	59	0	2	0	400	0	450	0	60	0	80	0	20	0	10	0	60	0	80	0	80	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	12010005	30	50	100	0	2	0	500	0	550	0	60	0	80	0	60	0	10	0	60	0	80	0	80	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	11960001	1	50	100	1	2	0	100	0	150	0	60	0	80	0	30	0	10	0	60	0	80	0	80	0	80	11960002	3	50	100	0	2	0	200	0	250	0	60	0	80	0	30	0	10	0	60	0	80	0	80	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	11980015	5	50	100	1	2	0	100	0	150	0	60	0	80	0	100	0	10	0	60	0	80	0	80	0	80	11980016	7	50	100	0	2	0	200	0	250	0	60	0	80	0	100	0	10	0	60	0	80	0	80	0	80	11980017	9	50	100	0	2	0	300	0	350	0	60	0	80	0	100	0	10	0	60	0	80	0	80	0	80
8	3	11980031	11	50	100	1	2	0	100	0	150	0	60	0	80	0	60	0	10	0	60	0	80	0	80	0	80	11980032	13	50	100	0	2	0	200	0	250	0	60	0	80	0	60	0	10	0	60	0	80	0	80	0	80	11980033	15	50	100	0	2	0	300	0	350	0	60	0	80	0	60	0	10	0	60	0	80	0	80	0	80
9	3	11980041	19	50	100	1	2	0	100	0	150	0	60	0	80	0	30	0	10	0	60	0	80	0	80	0	80	11980042	21	50	100	0	2	0	200	0	250	0	60	0	80	0	30	0	10	0	60	0	80	0	80	0	80	11980043	23	50	100	0	2	0	300	0	350	0	60	0	80	0	30	0	10	0	60	0	80	0	80	0	80
10	3	11980051	29	50	100	1	2	0	100	0	150	0	60	0	80	0	100	0	10	0	60	0	80	0	80	0	80	11980052	31	50	100	0	2	0	200	0	250	0	60	0	80	0	100	0	10	0	60	0	80	0	80	0	80	11980053	33	50	100	0	2	0	300	0	350	0	60	0	80	0	100	0	10	0	60	0	80	0	80	0	80
