INT	INT
装备id	装备type（1：神级，2：天级，3：冥级）
10014003	1
10014004	2
10019600	1
10019700	1
10019701	2
10019803	1
10019804	1
10019805	1
10019810	2
10019811	2
10019850	3
10019851	3
10019852	3
10019853	3
10019900	1
10019901	1
10019902	1
10019903	2
10019904	2
10019905	3
10019910	1
10019911	1
10019912	1
10019913	2
10019914	2
10019915	3
10024003	1
10024004	2
10028600	1
10028700	1
10028701	2
10028803	1
10028804	1
10028805	1
10028810	2
10028811	2
10028850	3
10028851	3
10028852	3
10028853	3
10029000	1
10029001	1
10029002	1
10029003	2
10029004	2
10029005	3
10029010	1
10029011	1
10029012	1
10029013	2
10029014	2
10029015	3
10034003	1
10034004	2
10038600	1
10038700	1
10038701	2
10038803	1
10038804	1
10038805	1
10038810	2
10038811	2
10038850	3
10038851	3
10038852	3
10038853	3
10039000	1
10039001	1
10039002	1
10039003	2
10039004	2
10039005	3
10039010	1
10039011	1
10039012	1
10039013	2
10039014	2
10039015	3
10044003	1
10044004	2
10048600	1
10048700	1
10048701	2
10048803	1
10048804	1
10048805	1
10048810	2
10048811	2
10048850	3
10048851	3
10048852	3
10048853	3
10049000	1
10049001	1
10049002	1
10049003	2
10049004	2
10049005	3
10049010	1
10049011	1
10049012	1
10049013	2
10049014	2
10049015	3
10054003	1
10054004	2
10058600	1
10058700	1
10058701	2
10058803	1
10058804	1
10058805	1
10058810	2
10058811	2
10058850	3
10058851	3
10058852	3
10058853	3
10059000	1
10059001	1
10059002	1
10059003	2
10059004	2
10059005	3
10059010	1
10059011	1
10059012	1
10059013	2
10059014	2
10059015	3
10064003	1
10064004	2
10068600	1
10068700	1
10068701	2
10068803	1
10068804	1
10068805	1
10068810	2
10068811	2
10068850	3
10068851	3
10068852	3
10068853	3
10069000	1
10069001	1
10069002	1
10069003	2
10069004	2
10069005	3
10069010	1
10069011	1
10069012	1
10069013	2
10069014	2
10069015	3
10074003	1
10074004	2
10077600	1
10077700	1
10077701	2
10077803	1
10077804	1
10077805	1
10077810	2
10077811	2
10077850	3
10077851	3
10077852	3
10077853	3
10078000	1
10078001	1
10078002	1
10078003	2
10078004	2
10078005	3
10078010	1
10078011	1
10078012	1
10078013	2
10078014	2
10078015	3
10084003	1
10084004	2
10087600	1
10087700	1
10087701	2
10087803	1
10087804	1
10087805	1
10087810	2
10087811	2
10087850	3
10087851	3
10087852	3
10087853	3
10088000	1
10088001	1
10088002	1
10088003	2
10088004	2
10088005	3
10088010	1
10088011	1
10088012	1
10088013	2
10088014	2
10088015	3
10094003	1
10094004	2
10097600	1
10097700	1
10097701	2
10097803	1
10097804	1
10097805	1
10097810	2
10097811	2
10097850	3
10097851	3
10097852	3
10097853	3
10098000	1
10098001	1
10098002	1
10098003	2
10098004	2
10098005	3
10098010	1
10098011	1
10098012	1
10098013	2
10098014	2
10098015	3
10104003	1
10104004	2
10107600	1
10107700	1
10107701	2
10107803	1
10107804	1
10107805	1
10107810	2
10107811	2
10107850	3
10107851	3
10107852	3
10107853	3
10108000	1
10108001	1
10108002	1
10108003	2
10108004	2
10108005	3
10108010	1
10108011	1
10108012	1
10108013	2
10108014	2
10108015	3
10114003	1
10114004	2
10117600	1
10117700	1
10117701	2
10117803	1
10117804	1
10117805	1
10117810	2
10117811	2
10117850	3
10117851	3
10117852	3
10117853	3
10118000	1
10118001	1
10118002	1
10118003	2
10118004	2
10118005	3
10118010	1
10118011	1
10118012	1
10118013	2
10118014	2
10118015	3
10124003	1
10124004	2
10127600	1
10127700	1
10127701	2
10127803	1
10127804	1
10127805	1
10127810	2
10127811	2
10127850	3
10127851	3
10127852	3
10127853	3
10128000	1
10128001	1
10128002	1
10128003	2
10128004	2
10128005	3
10128010	1
10128011	1
10128012	1
10128013	2
10128014	2
10128015	3
10200091	1
10204003	1
10204004	2
10204013	1
10204014	2
10204023	1
10204024	2
10204033	1
10204034	2
10204043	1
10204044	2
10204053	1
10204054	2
10204063	1
10204064	2
10204073	1
10204074	2
10204083	1
10204084	2
10204093	1
10204094	2
10204103	1
10204104	2
10204113	1
10204114	2
10208600	1
10208610	1
10208620	1
10208630	1
10208640	1
10208650	1
10208700	1
10208710	1
10208720	1
10208730	1
10208740	1
10208750	1
10208760	2
10208761	2
10208762	2
10208763	2
10208764	2
10208765	2
10208803	1
10208804	1
10208805	1
10208813	1
10208814	1
10208815	1
10208823	1
10208824	1
10208825	1
10208833	1
10208834	1
10208835	1
10208843	1
10208844	1
10208845	1
10208853	1
10208854	1
10208855	1
10208900	2
10208901	2
10208902	2
10208903	2
10208904	2
10208905	2
10208910	2
10208911	2
10208912	2
10208913	2
10208914	2
10208915	2
10209000	1
10209001	1
10209002	1
10209003	1
10209004	1
10209005	1
10209006	1
10209007	1
10209008	1
10209009	1
10209010	1
10209011	1
10209012	1
10209013	1
10209014	1
10209015	1
10209016	1
10209017	1
10209018	2
10209019	2
10209020	2
10209021	2
10209022	2
10209023	2
10209024	2
10209025	2
10209026	2
10209027	2
10209028	2
10209029	2
10209030	3
10209031	3
10209032	3
10209033	3
10209034	3
10209035	3
10209100	1
10209101	1
10209102	1
10209103	1
10209104	1
10209105	1
10209106	1
10209107	1
10209108	1
10209109	1
10209110	1
10209111	1
10209112	1
10209113	1
10209114	1
10209115	1
10209116	1
10209117	1
10209118	2
10209119	2
10209120	2
10209121	2
10209122	2
10209123	2
10209124	2
10209125	2
10209126	2
10209127	2
10209128	2
10209129	2
10209130	3
10209131	3
10209132	3
10209133	3
10209134	3
10209135	3
10209254	1
10209255	1
10209256	1
10209257	1
10209258	1
10209259	1
10209260	1
10209261	1
10209262	1
10209263	1
10209264	1
10209265	1
10209266	2
10209267	2
10209268	2
10209269	2
10209270	2
10209271	2
10209274	1
10209275	1
10209276	1
10209279	1
10209280	1
10209281	1
10209284	1
10209285	1
10209286	1
10209289	1
10209290	1
10209291	1
10209294	1
10209295	1
10209296	1
10209299	1
10209300	1
10209301	1
10209302	2
10209303	2
10209304	2
10209305	2
10209306	2
10209307	2
10209308	2
10209309	2
10209310	2
10209311	2
10209312	2
10209313	2
10209314	1
10209315	1
10209316	1
10209317	1
10209318	1
10209319	1
10209320	1
10209321	1
10209322	1
10209323	1
10209324	1
10209325	1
10209326	1
10209327	1
10209328	1
10209329	1
10209330	1
10209331	1
10209332	2
10209333	2
10209334	2
10209335	2
10209336	2
10209337	2
10209338	2
10209339	2
10209340	2
10209341	2
10209342	2
10209343	2
10209344	3
10209345	3
10209346	3
10209347	3
10209348	3
10209349	3
10209350	1
10209351	1
10209352	1
10209353	1
10209354	1
10209355	1
10209356	1
10209357	1
10209358	1
10209359	1
10209360	1
10209361	1
10209362	1
10209363	1
10209364	1
10209365	1
10209366	1
10209367	1
10209368	2
10209369	2
10209370	2
10209371	2
10209372	2
10209373	2
10209374	2
10209375	2
10209376	2
10209377	2
10209378	2
10209379	2
10209380	3
10209381	3
10209382	3
10209383	3
10209384	3
10209385	3
10209500	3
10209501	3
10209502	3
10209503	3
10209504	3
10209505	3
10209506	3
10209507	3
10209508	3
10209509	3
10209510	3
10209511	3
10209512	3
10209513	3
10209514	3
10209515	3
10209516	3
10209517	3
10209518	3
10209519	3
10209520	3
10209521	3
10209522	3
10209523	3
10209524	3
10209525	3
10209526	3
10209527	3
10209528	3
10209529	3
10209530	3
10209531	3
10209532	3
10209533	3
10209534	3
10209535	3
10209536	3
10209537	3
10209538	3
10209539	3
10209540	3
10209541	3
10209542	3
10209543	3
10209544	3
10209545	3
10209546	3
10209547	3
10234003	1
10234004	2
10234013	1
10234014	2
10234023	1
10234024	2
10234033	1
10234034	2
10234043	1
10234044	2
10234053	1
10234054	2
10238600	1
10238610	1
10238620	1
10238630	1
10238640	1
10238650	1
10238700	1
10238710	1
10238720	1
10238730	1
10238740	1
10238750	1
10238760	2
10238761	2
10238762	2
10238763	2
10238764	2
10238765	2
10238803	1
10238804	1
10238805	1
10238813	1
10238814	1
10238815	1
10238823	1
10238824	1
10238825	1
10238833	1
10238834	1
10238835	1
10238843	1
10238844	1
10238845	1
10238853	1
10238854	1
10238855	1
10238900	2
10238901	2
10238902	2
10238903	2
10238904	2
10238905	2
10238910	2
10238911	2
10238912	2
10238913	2
10238914	2
10238915	2
10239000	1
10239001	1
10239002	1
10239003	1
10239004	1
10239005	1
10239006	1
10239007	1
10239008	1
10239009	1
10239010	1
10239011	1
10239012	1
10239013	1
10239014	1
10239015	1
10239016	1
10239017	1
10239018	2
10239019	2
10239020	2
10239021	2
10239022	2
10239023	2
10239024	2
10239025	2
10239026	2
10239027	2
10239028	2
10239029	2
10239030	3
10239031	3
10239032	3
10239033	3
10239034	3
10239035	3
10239100	1
10239101	1
10239102	1
10239103	1
10239104	1
10239105	1
10239106	1
10239107	1
10239108	1
10239109	1
10239110	1
10239111	1
10239112	1
10239113	1
10239114	1
10239115	1
10239116	1
10239117	1
10239118	2
10239119	2
10239120	2
10239121	2
10239122	2
10239123	2
10239124	2
10239125	2
10239126	2
10239127	2
10239128	2
10239129	2
10239130	3
10239131	3
10239132	3
10239133	3
10239134	3
10239135	3
10239220	1
10239221	2
10239224	1
10239225	2
10239228	1
10239229	2
10239232	1
10239233	2
10239236	1
10239237	2
10239240	1
10239241	2
10239278	1
10239279	1
10239280	1
10239281	1
10239282	1
10239283	1
10239284	1
10239285	1
10239286	1
10239287	1
10239288	1
10239289	1
10239290	2
10239291	2
10239292	2
10239293	2
10239294	2
10239295	2
10239298	1
10239299	1
10239300	1
10239303	1
10239304	1
10239305	1
10239308	1
10239309	1
10239310	1
10239313	1
10239314	1
10239315	1
10239318	1
10239319	1
10239320	1
10239323	1
10239324	1
10239325	1
10239326	2
10239327	2
10239328	2
10239329	2
10239330	2
10239331	2
10239332	2
10239333	2
10239334	2
10239335	2
10239336	2
10239337	2
10239338	1
10239339	1
10239340	1
10239341	1
10239342	1
10239343	1
10239344	1
10239345	1
10239346	1
10239347	1
10239348	1
10239349	1
10239350	1
10239351	1
10239352	1
10239353	1
10239354	1
10239355	1
10239356	2
10239357	2
10239358	2
10239359	2
10239360	2
10239361	2
10239362	2
10239363	2
10239364	2
10239365	2
10239366	2
10239367	2
10239368	3
10239369	3
10239370	3
10239371	3
10239372	3
10239373	3
10239374	1
10239375	1
10239376	1
10239377	1
10239378	1
10239379	1
10239380	1
10239381	1
10239382	1
10239383	1
10239384	1
10239385	1
10239386	1
10239387	1
10239388	1
10239389	1
10239390	1
10239391	1
10239392	2
10239393	2
10239394	2
10239395	2
10239396	2
10239397	2
10239398	2
10239399	2
10239400	2
10239401	2
10239402	2
10239403	2
10239404	3
10239405	3
10239406	3
10239407	3
10239408	3
10239409	3
10239500	3
10239501	3
10239502	3
10239503	3
10239504	3
10239505	3
10239506	3
10239507	3
10239508	3
10239509	3
10239510	3
10239511	3
10239512	3
10239513	3
10239514	3
10239515	3
10239516	3
10239517	3
10239518	3
10239519	3
10239520	3
10239521	3
10239522	3
10239523	3
10239524	3
10239525	3
10239526	3
10239527	3
10239528	3
10239529	3
10239530	3
10239531	3
10239532	3
10239533	3
10239534	3
10239535	3
10239536	3
10239537	3
10239538	3
10239539	3
10239540	3
10239541	3
10239542	3
10239543	3
10239544	3
10239545	3
10239546	3
10239547	3
10244003	1
10244004	2
10244013	1
10244014	2
10244023	1
10244024	2
10244033	1
10244034	2
10244043	1
10244044	2
10244053	1
10244054	2
10248600	1
10248610	1
10248620	1
10248630	1
10248640	1
10248650	1
10248700	1
10248710	1
10248720	1
10248730	1
10248740	1
10248750	1
10248760	2
10248761	2
10248762	2
10248763	2
10248764	2
10248765	2
10248803	1
10248804	1
10248805	1
10248813	1
10248814	1
10248815	1
10248823	1
10248824	1
10248825	1
10248833	1
10248834	1
10248835	1
10248843	1
10248844	1
10248845	1
10248853	1
10248854	1
10248855	1
10248900	2
10248901	2
10248902	2
10248903	2
10248904	2
10248905	2
10248910	2
10248911	2
10248912	2
10248913	2
10248914	2
10248915	2
10249000	1
10249001	1
10249002	1
10249003	1
10249004	1
10249005	1
10249006	1
10249007	1
10249008	1
10249009	1
10249010	1
10249011	1
10249012	1
10249013	1
10249014	1
10249015	1
10249016	1
10249017	1
10249018	2
10249019	2
10249020	2
10249021	2
10249022	2
10249023	2
10249024	2
10249025	2
10249026	2
10249027	2
10249028	2
10249029	2
10249030	3
10249031	3
10249032	3
10249033	3
10249034	3
10249035	3
10249100	1
10249101	1
10249102	1
10249103	1
10249104	1
10249105	1
10249106	1
10249107	1
10249108	1
10249109	1
10249110	1
10249111	1
10249112	1
10249113	1
10249114	1
10249115	1
10249116	1
10249117	1
10249118	2
