INT	INT	INT
ItemId	返还类型	返还值
10014001	4	1050
10014002	4	7560
10014003	4	25200
10014004	4	60760
10019600	1	42000
10019700	10	756
10019701	10	2268
10019801	4	1500
10019802	4	10800
10019803	4	36000
10019804	1	60000
10019805	10	1080
10019810	4	86800
10019811	10	3240
10019850	4	121520
10019851	10	6804
10019852	4	173600
10019853	10	9720
10019900	1	7000
10019901	1	7000
10019902	1	7000
10019903	1	9800
10019904	1	9800
10019905	1	9800
10019910	1	10000
10019911	1	10000
10019912	1	10000
10019913	1	14000
10019914	1	14000
10019915	1	14000
10024001	4	1050
10024002	4	7560
10024003	4	25200
10024004	4	60760
10028600	1	42000
10028700	10	756
10028701	10	2268
10028801	4	1500
10028802	4	10800
10028803	4	36000
10028804	1	60000
10028805	10	1080
10028810	4	86800
10028811	10	3240
10028850	4	121520
10028851	10	6804
10028852	4	173600
10028853	10	9720
10029000	1	7000
10029001	1	7000
10029002	1	7000
10029003	1	9800
10029004	1	9800
10029005	1	9800
10029010	1	10000
10029011	1	10000
10029012	1	10000
10029013	1	14000
10029014	1	14000
10029015	1	14000
10034001	4	1050
10034002	4	7560
10034003	4	25200
10034004	4	60760
10038600	1	42000
10038700	10	756
10038701	10	2268
10038801	4	1500
10038802	4	10800
10038803	4	36000
10038804	1	60000
10038805	10	1080
10038810	4	86800
10038811	10	3240
10038850	4	121520
10038851	10	6804
10038852	4	173600
10038853	10	9720
10039000	1	7000
10039001	1	7000
10039002	1	7000
10039003	1	9800
10039004	1	9800
10039005	1	9800
10039010	1	10000
10039011	1	10000
10039012	1	10000
10039013	1	14000
10039014	1	14000
10039015	1	14000
10044001	4	1050
10044002	4	7560
10044003	4	25200
10044004	4	60760
10048600	1	42000
10048700	10	756
10048701	10	2268
10048801	4	1500
10048802	4	10800
10048803	4	36000
10048804	1	60000
10048805	10	1080
10048810	4	86800
10048811	10	3240
10048850	4	121520
10048851	10	6804
10048852	4	173600
10048853	10	9720
10049000	1	7000
10049001	1	7000
10049002	1	7000
10049003	1	9800
10049004	1	9800
10049005	1	9800
10049010	1	10000
10049011	1	10000
10049012	1	10000
10049013	1	14000
10049014	1	14000
10049015	1	14000
10054001	4	1050
10054002	4	7560
10054003	4	25200
10054004	4	60760
10058600	1	42000
10058700	10	756
10058701	10	2268
10058801	4	1500
10058802	4	10800
10058803	4	36000
10058804	1	60000
10058805	10	1080
10058810	4	86800
10058811	10	3240
10058850	4	121520
10058851	10	6804
10058852	4	173600
10058853	10	9720
10059000	1	7000
10059001	1	7000
10059002	1	7000
10059003	1	9800
10059004	1	9800
10059005	1	9800
10059010	1	10000
10059011	1	10000
10059012	1	10000
10059013	1	14000
10059014	1	14000
10059015	1	14000
10064001	4	1050
10064002	4	7560
10064003	4	25200
10064004	4	60760
10068600	1	42000
10068700	10	756
10068701	10	2268
10068801	4	1500
10068802	4	10800
10068803	4	36000
10068804	1	60000
10068805	10	1080
10068810	4	86800
10068811	10	3240
10068850	4	121520
10068851	10	6804
10068852	4	173600
10068853	10	9720
10069000	1	7000
10069001	1	7000
10069002	1	7000
10069003	1	9800
10069004	1	9800
10069005	1	9800
10069010	1	10000
10069011	1	10000
10069012	1	10000
10069013	1	14000
10069014	1	14000
10069015	1	14000
10074001	4	1260
10074002	4	3780
10074003	4	12600
10074004	4	40320
10077600	1	42000
10077700	10	455
10077701	10	1365
10077801	4	1800
10077802	4	5400
10077803	4	18000
10077804	1	60000
10077805	10	650
10077810	4	57600
10077811	10	1950
10077850	4	80640
10077851	10	4095
10077852	4	115200
10077853	10	5850
10078000	1	7000
10078001	1	7000
10078002	1	7000
10078003	1	9800
10078004	1	9800
10078005	1	9800
10078010	1	10000
10078011	1	10000
10078012	1	10000
10078013	1	14000
10078014	1	14000
10078015	1	14000
10084001	4	1260
10084002	4	3780
10084003	4	12600
10084004	4	40320
10087600	1	42000
10087700	10	455
10087701	10	1365
10087801	4	1800
10087802	4	5400
10087803	4	18000
10087804	1	60000
10087805	10	650
10087810	4	57600
10087811	10	1950
10087850	4	80640
10087851	10	4095
10087852	4	115200
10087853	10	5850
10088000	1	7000
10088001	1	7000
10088002	1	7000
10088003	1	9800
10088004	1	9800
10088005	1	9800
10088010	1	10000
10088011	1	10000
10088012	1	10000
10088013	1	14000
10088014	1	14000
10088015	1	14000
10094001	4	1260
10094002	4	3780
10094003	4	12600
10094004	4	40320
10097600	1	42000
10097700	10	455
10097701	10	1365
10097801	4	1800
10097802	4	5400
10097803	4	18000
10097804	1	60000
10097805	10	650
10097810	4	57600
10097811	10	1950
10097850	4	80640
10097851	10	4095
10097852	4	115200
10097853	10	5850
10098000	1	7000
10098001	1	7000
10098002	1	7000
10098003	1	9800
10098004	1	9800
10098005	1	9800
10098010	1	10000
10098011	1	10000
10098012	1	10000
10098013	1	14000
10098014	1	14000
10098015	1	14000
10104001	4	1260
10104002	4	3780
10104003	4	12600
10104004	4	40320
10107600	1	42000
10107700	10	455
10107701	10	1365
10107801	4	1800
10107802	4	5400
10107803	4	18000
10107804	1	60000
10107805	10	650
10107810	4	57600
10107811	10	1950
10107850	4	80640
10107851	10	4095
10107852	4	115200
10107853	10	5850
10108000	1	7000
10108001	1	7000
10108002	1	7000
10108003	1	9800
10108004	1	9800
10108005	1	9800
10108010	1	10000
10108011	1	10000
10108012	1	10000
10108013	1	14000
10108014	1	14000
10108015	1	14000
10114001	4	1260
10114002	4	3780
10114003	4	12600
10114004	4	40320
10117600	1	42000
10117700	10	455
10117701	10	1365
10117801	4	1800
10117802	4	5400
10117803	4	18000
10117804	1	60000
10117805	10	650
10117810	4	57600
10117811	10	1950
10117850	4	80640
10117851	10	4095
10117852	4	115200
10117853	10	5850
10118000	1	7000
10118001	1	7000
10118002	1	7000
10118003	1	9800
10118004	1	9800
10118005	1	9800
10118010	1	10000
10118011	1	10000
10118012	1	10000
10118013	1	14000
10118014	1	14000
10118015	1	14000
10124001	4	1260
10124002	4	3780
10124003	4	12600
10124004	4	40320
10127600	1	42000
10127700	10	455
10127701	10	1365
10127801	4	1800
10127802	4	5400
10127803	4	18000
10127804	1	60000
10127805	10	650
10127810	4	57600
10127811	10	1950
10127850	4	80640
10127851	10	4095
10127852	4	115200
10127853	10	5850
10128000	1	7000
10128001	1	7000
10128002	1	7000
10128003	1	9800
10128004	1	9800
10128005	1	9800
10128010	1	10000
10128011	1	10000
10128012	1	10000
10128013	1	14000
10128014	1	14000
10128015	1	14000
10204001	1	13650
10204002	1	45500
10204003	1	171500
10204004	1	220500
10204011	1	13650
10204012	1	45500
10204013	1	171500
10204014	1	220500
10204021	1	13650
10204022	1	45500
10204023	1	171500
10204024	1	220500
10204031	1	13650
10204032	1	45500
10204033	1	171500
10204034	1	220500
10204041	1	13650
10204042	1	45500
10204043	1	171500
10204044	1	220500
10204051	1	13650
10204052	1	45500
10204053	1	171500
10204054	1	220500
10204061	1	13650
10204062	1	45500
10204063	1	171500
10204064	1	220500
10204071	1	13650
10204072	1	45500
10204073	1	171500
10204074	1	220500
10204081	1	13650
10204082	1	45500
10204083	1	171500
10204084	1	220500
10204091	1	13650
10204092	1	45500
10204093	1	171500
10204094	1	220500
10204101	1	13650
10204102	1	45500
10204103	1	171500
10204104	1	220500
10204111	1	13650
10204112	1	45500
10204113	1	171500
10204114	1	220500
10208600	1	42000
10208610	1	42000
10208620	1	42000
10208630	1	42000
10208640	1	42000
10208650	1	42000
10208700	10	595
10208710	10	595
10208720	10	595
10208730	10	595
10208740	10	595
10208750	10	595
10208760	10	1785
10208761	10	1785
10208762	10	1785
10208763	10	1785
10208764	10	1785
10208765	10	1785
10208801	1	19500
10208802	1	65000
10208803	1	245000
10208804	1	60000
10208805	10	850
10208811	1	19500
10208812	1	65000
10208813	1	245000
10208814	1	60000
10208815	10	850
10208821	1	19500
10208822	1	65000
10208823	1	245000
10208824	1	60000
10208825	10	850
10208831	1	19500
10208832	1	65000
10208833	1	245000
10208834	1	60000
10208835	10	850
10208841	1	19500
10208842	1	65000
10208843	1	245000
10208844	1	60000
10208845	10	850
10208851	1	19500
10208852	1	65000
10208853	1	245000
10208854	1	60000
