INT	INT	INT	INT
源装备	目的装备	所需银两	所需材料
10014001	10354001	10000	11000599
10014002	10354002	10000	11000599
10014003	10354003	10000	11000599
10014004	10354004	10000	11000599
10019600	10354200	10000	11000599
10019700	10354100	10000	11000599
10019701	10354101	10000	11000599
10019801	10355001	10000	11000599
10019802	10355002	10000	11000599
10019803	10355003	10000	11000599
10019804	10355200	10000	11000599
10019805	10355100	10000	11000599
10019810	10355004	10000	11000599
10019811	10355101	10000	11000599
10019850	10354005	10000	11000599
10019851	10354102	10000	11000599
10019852	10355005	10000	11000599
10019853	10355102	10000	11000599
10019900	10354301	10000	11000599
10019901	10354302	10000	11000599
10019902	10354303	10000	11000599
10019903	10354401	10000	11000599
10019904	10354402	10000	11000599
10019905	10354403	10000	11000599
10019910	10355301	10000	11000599
10019911	10355302	10000	11000599
10019912	10355303	10000	11000599
10019913	10355401	10000	11000599
10019914	10355402	10000	11000599
10019915	10355403	10000	11000599
10024001	10364001	10000	11000599
10024002	10364002	10000	11000599
10024003	10364003	10000	11000599
10024004	10364004	10000	11000599
10028600	10364200	10000	11000599
10028700	10364100	10000	11000599
10028701	10364101	10000	11000599
10028801	10365001	10000	11000599
10028802	10365002	10000	11000599
10028803	10365003	10000	11000599
10028804	10365200	10000	11000599
10028805	10365100	10000	11000599
10028810	10365004	10000	11000599
10028811	10365101	10000	11000599
10028850	10364005	10000	11000599
10028851	10364102	10000	11000599
10028852	10365005	10000	11000599
10028853	10365102	10000	11000599
10029000	10364301	10000	11000599
10029001	10364302	10000	11000599
10029002	10364303	10000	11000599
10029003	10364401	10000	11000599
10029004	10364402	10000	11000599
10029005	10364403	10000	11000599
10029010	10365301	10000	11000599
10029011	10365302	10000	11000599
10029012	10365303	10000	11000599
10029013	10365401	10000	11000599
10029014	10365402	10000	11000599
10029015	10365403	10000	11000599
10034001	10374001	10000	11000599
10034002	10374002	10000	11000599
10034003	10374003	10000	11000599
10034004	10374004	10000	11000599
10038600	10374200	10000	11000599
10038700	10374100	10000	11000599
10038701	10374101	10000	11000599
10038801	10375001	10000	11000599
10038802	10375002	10000	11000599
10038803	10375003	10000	11000599
10038804	10375200	10000	11000599
10038805	10375100	10000	11000599
10038810	10375004	10000	11000599
10038811	10375101	10000	11000599
10038850	10374005	10000	11000599
10038851	10374102	10000	11000599
10038852	10375005	10000	11000599
10038853	10375102	10000	11000599
10039000	10374301	10000	11000599
10039001	10374302	10000	11000599
10039002	10374303	10000	11000599
10039003	10374401	10000	11000599
10039004	10374402	10000	11000599
10039005	10374403	10000	11000599
10039010	10375301	10000	11000599
10039011	10375302	10000	11000599
10039012	10375303	10000	11000599
10039013	10375401	10000	11000599
10039014	10375402	10000	11000599
10039015	10375403	10000	11000599
10044001	10384001	10000	11000599
10044002	10384002	10000	11000599
10044003	10384003	10000	11000599
10044004	10384004	10000	11000599
10048600	10384200	10000	11000599
10048700	10384100	10000	11000599
10048701	10384101	10000	11000599
10048801	10385001	10000	11000599
10048802	10385002	10000	11000599
10048803	10385003	10000	11000599
10048804	10385200	10000	11000599
10048805	10385100	10000	11000599
10048810	10385004	10000	11000599
10048811	10385101	10000	11000599
10048850	10384005	10000	11000599
10048851	10384102	10000	11000599
10048852	10385005	10000	11000599
10048853	10385102	10000	11000599
10049000	10384301	10000	11000599
10049001	10384302	10000	11000599
10049002	10384303	10000	11000599
10049003	10384401	10000	11000599
10049004	10384402	10000	11000599
10049005	10384403	10000	11000599
10049010	10385301	10000	11000599
10049011	10385302	10000	11000599
10049012	10385303	10000	11000599
10049013	10385401	10000	11000599
10049014	10385402	10000	11000599
10049015	10385403	10000	11000599
10054001	10394001	10000	11000599
10054002	10394002	10000	11000599
10054003	10394003	10000	11000599
10054004	10394004	10000	11000599
10058600	10394200	10000	11000599
10058700	10394100	10000	11000599
10058701	10394101	10000	11000599
10058801	10395001	10000	11000599
10058802	10395002	10000	11000599
10058803	10395003	10000	11000599
10058804	10395200	10000	11000599
10058805	10395100	10000	11000599
10058810	10395004	10000	11000599
10058811	10395101	10000	11000599
10058850	10394005	10000	11000599
10058851	10394102	10000	11000599
10058852	10395005	10000	11000599
10058853	10395102	10000	11000599
10059000	10394301	10000	11000599
10059001	10394302	10000	11000599
10059002	10394303	10000	11000599
10059003	10394401	10000	11000599
10059004	10394402	10000	11000599
10059005	10394403	10000	11000599
10059010	10395301	10000	11000599
10059011	10395302	10000	11000599
10059012	10395303	10000	11000599
10059013	10395401	10000	11000599
10059014	10395402	10000	11000599
10059015	10395403	10000	11000599
10064001	10404001	10000	11000599
10064002	10404002	10000	11000599
10064003	10404003	10000	11000599
10064004	10404004	10000	11000599
10068600	10404200	10000	11000599
10068700	10404100	10000	11000599
10068701	10404101	10000	11000599
10068801	10405001	10000	11000599
10068802	10405002	10000	11000599
10068803	10405003	10000	11000599
10068804	10405200	10000	11000599
10068805	10405100	10000	11000599
10068810	10405004	10000	11000599
10068811	10405101	10000	11000599
10068850	10404005	10000	11000599
10068851	10404102	10000	11000599
10068852	10405005	10000	11000599
10068853	10405102	10000	11000599
10069000	10404301	10000	11000599
10069001	10404302	10000	11000599
10069002	10404303	10000	11000599
10069003	10404401	10000	11000599
10069004	10404402	10000	11000599
10069005	10404403	10000	11000599
10069010	10405301	10000	11000599
10069011	10405302	10000	11000599
10069012	10405303	10000	11000599
10069013	10405401	10000	11000599
10069014	10405402	10000	11000599
10069015	10405403	10000	11000599
10074001	10414001	10000	11000599
10074002	10414002	10000	11000599
10074003	10414003	10000	11000599
10074004	10414004	10000	11000599
10077600	10414200	10000	11000599
10077700	10414100	10000	11000599
10077701	10414101	10000	11000599
10077801	10415001	10000	11000599
10077802	10415002	10000	11000599
10077803	10415003	10000	11000599
10077804	10415200	10000	11000599
10077805	10415100	10000	11000599
10077810	10415004	10000	11000599
10077811	10415101	10000	11000599
10077850	10414005	10000	11000599
10077851	10414102	10000	11000599
10077852	10415005	10000	11000599
10077853	10415102	10000	11000599
10078000	10414301	10000	11000599
10078001	10414302	10000	11000599
10078002	10414303	10000	11000599
10078003	10414401	10000	11000599
10078004	10414402	10000	11000599
10078005	10414403	10000	11000599
10078010	10415301	10000	11000599
10078011	10415302	10000	11000599
10078012	10415303	10000	11000599
10078013	10415401	10000	11000599
10078014	10415402	10000	11000599
10078015	10415403	10000	11000599
10084001	10424001	10000	11000599
10084002	10424002	10000	11000599
10084003	10424003	10000	11000599
10084004	10424004	10000	11000599
10087600	10424200	10000	11000599
10087700	10424100	10000	11000599
10087701	10424101	10000	11000599
10087801	10425001	10000	11000599
10087802	10425002	10000	11000599
10087803	10425003	10000	11000599
10087804	10425200	10000	11000599
10087805	10425100	10000	11000599
10087810	10425004	10000	11000599
10087811	10425101	10000	11000599
10087850	10424005	10000	11000599
10087851	10424102	10000	11000599
10087852	10425005	10000	11000599
10087853	10425102	10000	11000599
10088000	10424301	10000	11000599
10088001	10424302	10000	11000599
10088002	10424303	10000	11000599
10088003	10424401	10000	11000599
10088004	10424402	10000	11000599
10088005	10424403	10000	11000599
10088010	10425301	10000	11000599
10088011	10425302	10000	11000599
10088012	10425303	10000	11000599
10088013	10425401	10000	11000599
10088014	10425402	10000	11000599
10088015	10425403	10000	11000599
10094001	10434001	10000	11000599
10094002	10434002	10000	11000599
10094003	10434003	10000	11000599
10094004	10434004	10000	11000599
10097600	10434200	10000	11000599
10097700	10434100	10000	11000599
10097701	10434101	10000	11000599
10097801	10435001	10000	11000599
10097802	10435002	10000	11000599
10097803	10435003	10000	11000599
10097804	10435200	10000	11000599
10097805	10435100	10000	11000599
10097810	10435004	10000	11000599
10097811	10435101	10000	11000599
10097850	10434005	10000	11000599
10097851	10434102	10000	11000599
10097852	10435005	10000	11000599
10097853	10435102	10000	11000599
10098000	10434301	10000	11000599
10098001	10434302	10000	11000599
10098002	10434303	10000	11000599
10098003	10434401	10000	11000599
10098004	10434402	10000	11000599
10098005	10434403	10000	11000599
10098010	10435301	10000	11000599
10098011	10435302	10000	11000599
10098012	10435303	10000	11000599
10098013	10435401	10000	11000599
10098014	10435402	10000	11000599
10098015	10435403	10000	11000599
10104001	10444001	10000	11000599
10104002	10444002	10000	11000599
10104003	10444003	10000	11000599
10104004	10444004	10000	11000599
10107600	10444200	10000	11000599
10107700	10444100	10000	11000599
10107701	10444101	10000	11000599
10107801	10445001	10000	11000599
10107802	10445002	10000	11000599
10107803	10445003	10000	11000599
10107804	10445200	10000	11000599
10107805	10445100	10000	11000599
10107810	10445004	10000	11000599
10107811	10445101	10000	11000599
10107850	10444005	10000	11000599
10107851	10444102	10000	11000599
10107852	10445005	10000	11000599
10107853	10445102	10000	11000599
10108000	10444301	10000	11000599
10108001	10444302	10000	11000599
10108002	10444303	10000	11000599
10108003	10444401	10000	11000599
10108004	10444402	10000	11000599
10108005	10444403	10000	11000599
10108010	10445301	10000	11000599
10108011	10445302	10000	11000599
10108012	10445303	10000	11000599
10108013	10445401	10000	11000599
10108014	10445402	10000	11000599
10108015	10445403	10000	11000599
10114001	10454001	10000	11000599
10114002	10454002	10000	11000599
10114003	10454003	10000	11000599
10114004	10454004	10000	11000599
10117600	10454200	10000	11000599
10117700	10454100	10000	11000599
10117701	10454101	10000	11000599
10117801	10455001	10000	11000599
10117802	10455002	10000	11000599
10117803	10455003	10000	11000599
10117804	10455200	10000	11000599
10117805	10455100	10000	11000599
10117810	10455004	10000	11000599
10117811	10455101	10000	11000599
10117850	10454005	10000	11000599
10117851	10454102	10000	11000599
10117852	10455005	10000	11000599
10117853	10455102	10000	11000599
10118000	10454301	10000	11000599
10118001	10454302	10000	11000599
10118002	10454303	10000	11000599
10118003	10454401	10000	11000599
10118004	10454402	10000	11000599
10118005	10454403	10000	11000599
10118010	10455301	10000	11000599
10118011	10455302	10000	11000599
10118012	10455303	10000	11000599
10118013	10455401	10000	11000599
10118014	10455402	10000	11000599
10118015	10455403	10000	11000599
10124001	10464001	10000	11000599
10124002	10464002	10000	11000599
10124003	10464003	10000	11000599
10124004	10464004	10000	11000599
10127600	10464200	10000	11000599
10127700	10464100	10000	11000599
10127701	10464101	10000	11000599
10127801	10465001	10000	11000599
10127802	10465002	10000	11000599
10127803	10465003	10000	11000599
10127804	10465200	10000	11000599
10127805	10465100	10000	11000599
10127810	10465004	10000	11000599
10127811	10465101	10000	11000599
10127850	10464005	10000	11000599
10127851	10464102	10000	11000599
10127852	10465005	10000	11000599
10127853	10465102	10000	11000599
10128000	10464301	10000	11000599
10128001	10464302	10000	11000599
10128002	10464303	10000	11000599
10128003	10464401	10000	11000599
10128004	10464402	10000	11000599
10128005	10464403	10000	11000599
10128010	10465301	10000	11000599
10128011	10465302	10000	11000599
10128012	10465303	10000	11000599
10128013	10465401	10000	11000599
10128014	10465402	10000	11000599
10128015	10465403	10000	11000599
10204001	10204061	10000	11000599
10204002	10204062	10000	11000599
10204003	10204063	10000	11000599
10204004	10204064	10000	11000599
10204011	10204071	10000	11000599
10204012	10204072	10000	11000599
10204013	10204073	10000	11000599
10204014	10204074	10000	11000599
10204021	10204081	10000	11000599
10204022	10204082	10000	11000599
10204023	10204083	10000	11000599
10204024	10204084	10000	11000599
10204031	10204091	10000	11000599
10204032	10204092	10000	11000599
10204033	10204093	10000	11000599
10204034	10204094	10000	11000599
10204041	10204101	10000	11000599
10204042	10204102	10000	11000599
10204043	10204103	10000	11000599
10204044	10204104	10000	11000599
10204051	10204111	10000	11000599
10204052	10204112	10000	11000599
10204053	10204113	10000	11000599
10204054	10204114	10000	11000599
10204061	10204001	10000	11000599
10204062	10204002	10000	11000599
10204063	10204003	10000	11000599
10204064	10204004	10000	11000599
10204071	10204011	10000	11000599
10204072	10204012	10000	11000599
10204073	10204013	10000	11000599
10204074	10204014	10000	11000599
10204081	10204021	10000	11000599
10204082	10204022	10000	11000599
10204083	10204023	10000	11000599
10204084	10204024	10000	11000599
10204091	10204031	10000	11000599
10204092	10204032	10000	11000599
10204093	10204033	10000	11000599
10204094	10204034	10000	11000599
10204101	10204041	10000	11000599
10204102	10204042	10000	11000599
10204103	10204043	10000	11000599
10204104	10204044	10000	11000599
10204111	10204051	10000	11000599
10204112	10204052	10000	11000599
10204113	10204053	10000	11000599
10204114	10204054	10000	11000599
10208600	10209254	10000	11000599
10208610	10209255	10000	11000599
10208620	10209256	10000	11000599
10208630	10209257	10000	11000599
10208640	10209258	10000	11000599
10208650	10209259	10000	11000599
10208700	10209260	10000	11000599
10208710	10209261	10000	11000599
10208720	10209262	10000	11000599
10208730	10209263	10000	11000599
10208740	10209264	10000	11000599
10208750	10209265	10000	11000599
10208760	10209266	10000	11000599
10208761	10209267	10000	11000599
10208762	10209268	10000	11000599
10208763	10209269	10000	11000599
10208764	10209270	10000	11000599
10208765	10209271	10000	11000599
10208801	10209272	10000	11000599
10208802	10209273	10000	11000599
10208803	10209274	10000	11000599
10208804	10209275	10000	11000599
10208805	10209276	10000	11000599
10208811	10209277	10000	11000599
10208812	10209278	10000	11000599
10208813	10209279	10000	11000599
10208814	10209280	10000	11000599
10208815	10209281	10000	11000599
10208821	10209282	10000	11000599
10208822	10209283	10000	11000599
10208823	10209284	10000	11000599
10208824	10209285	10000	11000599
10208825	10209286	10000	11000599
10208831	10209287	10000	11000599
10208832	10209288	10000	11000599
10208833	10209289	10000	11000599
10208834	10209290	10000	11000599
10208835	10209291	10000	11000599
10208841	10209292	10000	11000599
10208842	10209293	10000	11000599
10208843	10209294	10000	11000599
10208844	10209295	10000	11000599
10208845	10209296	10000	11000599
10208851	10209297	10000	11000599
10208852	10209298	10000	11000599
10208853	10209299	10000	11000599
10208854	10209300	10000	11000599
10208855	10209301	10000	11000599
10208900	10209302	10000	11000599
10208901	10209303	10000	11000599
10208902	10209304	10000	11000599
10208903	10209305	10000	11000599
10208904	10209306	10000	11000599
10208905	10209307	10000	11000599
10208910	10209308	10000	11000599
10208911	10209309	10000	11000599
10208912	10209310	10000	11000599
10208913	10209311	10000	11000599
10208914	10209312	10000	11000599
10208915	10209313	10000	11000599
10209000	10209314	10000	11000599
10209001	10209315	10000	11000599
10209002	10209316	10000	11000599
10209003	10209317	10000	11000599
10209004	10209318	10000	11000599
10209005	10209319	10000	11000599
10209006	10209320	10000	11000599
10209007	10209321	10000	11000599
10209008	10209322	10000	11000599
10209009	10209323	10000	11000599
10209010	10209324	10000	11000599
10209011	10209325	10000	11000599
10209012	10209326	10000	11000599
10209013	10209327	10000	11000599
10209014	10209328	10000	11000599
10209015	10209329	10000	11000599
10209016	10209330	10000	11000599
10209017	10209331	10000	11000599
10209018	10209332	10000	11000599
10209019	10209333	10000	11000599
10209020	10209334	10000	11000599
10209021	10209335	10000	11000599
10209022	10209336	10000	11000599
10209023	10209337	10000	11000599
10209024	10209338	10000	11000599
10209025	10209339	10000	11000599
10209026	10209340	10000	11000599
10209027	10209341	10000	11000599
10209028	10209342	10000	11000599
10209029	10209343	10000	11000599
10209030	10209344	10000	11000599
10209031	10209345	10000	11000599
10209032	10209346	10000	11000599
10209033	10209347	10000	11000599
10209034	10209348	10000	11000599
10209035	10209349	10000	11000599
10209100	10209350	10000	11000599
10209101	10209351	10000	11000599
10209102	10209352	10000	11000599
10209103	10209353	10000	11000599
10209104	10209354	10000	11000599
10209105	10209355	10000	11000599
10209106	10209356	10000	11000599
10209107	10209357	10000	11000599
10209108	10209358	10000	11000599
10209109	10209359	10000	11000599
10209110	10209360	10000	11000599
10209111	10209361	10000	11000599
10209112	10209362	10000	11000599
10209113	10209363	10000	11000599
10209114	10209364	10000	11000599
10209115	10209365	10000	11000599
10209116	10209366	10000	11000599
10209117	10209367	10000	11000599
10209118	10209368	10000	11000599
10209119	10209369	10000	11000599
10209120	10209370	10000	11000599
10209121	10209371	10000	11000599
10209122	10209372	10000	11000599
10209123	10209373	10000	11000599
10209124	10209374	10000	11000599
10209125	10209375	10000	11000599
10209126	10209376	10000	11000599
10209127	10209377	10000	11000599
10209128	10209378	10000	11000599
10209129	10209379	10000	11000599
10209130	10209380	10000	11000599
10209131	10209381	10000	11000599
10209132	10209382	10000	11000599
10209133	10209383	10000	11000599
10209134	10209384	10000	11000599
10209135	10209385	10000	11000599
10209254	10208600	10000	11000599
10209255	10208610	10000	11000599
10209256	10208620	10000	11000599
10209257	10208630	10000	11000599
10209258	10208640	10000	11000599
10209259	10208650	10000	11000599
10209260	10208700	10000	11000599
10209261	10208710	10000	11000599
10209262	10208720	10000	11000599
10209263	10208730	10000	11000599
10209264	10208740	10000	11000599
10209265	10208750	10000	11000599
10209266	10208760	10000	11000599
10209267	10208761	10000	11000599
10209268	10208762	10000	11000599
10209269	10208763	10000	11000599
10209270	10208764	10000	11000599
10209271	10208765	10000	11000599
10209272	10208801	10000	11000599
10209273	10208802	10000	11000599
10209274	10208803	10000	11000599
10209275	10208804	10000	11000599
10209276	10208805	10000	11000599
10209277	10208811	10000	11000599
10209278	10208812	10000	11000599
10209279	10208813	10000	11000599
10209280	10208814	10000	11000599
10209281	10208815	10000	11000599
10209282	10208821	10000	11000599
10209283	10208822	10000	11000599
10209284	10208823	10000	11000599
10209285	10208824	10000	11000599
10209286	10208825	10000	11000599
10209287	10208831	10000	11000599
10209288	10208832	10000	11000599
10209289	10208833	10000	11000599
10209290	10208834	10000	11000599
10209291	10208835	10000	11000599
10209292	10208841	10000	11000599
10209293	10208842	10000	11000599
10209294	10208843	10000	11000599
10209295	10208844	10000	11000599
10209296	10208845	10000	11000599
10209297	10208851	10000	11000599
10209298	10208852	10000	11000599
10209299	10208853	10000	11000599
10209300	10208854	10000	11000599
10209301	10208855	10000	11000599
10209302	10208900	10000	11000599
10209303	10208901	10000	11000599
10209304	10208902	10000	11000599
10209305	10208903	10000	11000599
10209306	10208904	10000	11000599
10209307	10208905	10000	11000599
10209308	10208910	10000	11000599
10209309	10208911	10000	11000599
10209310	10208912	10000	11000599
10209311	10208913	10000	11000599
10209312	10208914	10000	11000599
10209313	10208915	10000	11000599
10209314	10209000	10000	11000599
10209315	10209001	10000	11000599
10209316	10209002	10000	11000599
10209317	10209003	10000	11000599
10209318	10209004	10000	11000599
10209319	10209005	10000	11000599
10209320	10209006	10000	11000599
10209321	10209007	10000	11000599
10209322	10209008	10000	11000599
10209323	10209009	10000	11000599
10209324	10209010	10000	11000599
10209325	10209011	10000	11000599
10209326	10209012	10000	11000599
10209327	10209013	10000	11000599
10209328	10209014	10000	11000599
10209329	10209015	10000	11000599
10209330	10209016	10000	11000599
10209331	10209017	10000	11000599
10209332	10209018	10000	11000599
10209333	10209019	10000	11000599
10209334	10209020	10000	11000599
10209335	10209021	10000	11000599
10209336	10209022	10000	11000599
10209337	10209023	10000	11000599
10209338	10209024	10000	11000599
10209339	10209025	10000	11000599
10209340	10209026	10000	11000599
10209341	10209027	10000	11000599
10209342	10209028	10000	11000599
10209343	10209029	10000	11000599
10209344	10209030	10000	11000599
10209345	10209031	10000	11000599
10209346	10209032	10000	11000599
10209347	10209033	10000	11000599
10209348	10209034	10000	11000599
10209349	10209035	10000	11000599
10209350	10209100	10000	11000599
10209351	10209101	10000	11000599
10209352	10209102	10000	11000599
10209353	10209103	10000	11000599
10209354	10209104	10000	11000599
10209355	10209105	10000	11000599
10209356	10209106	10000	11000599
10209357	10209107	10000	11000599
10209358	10209108	10000	11000599
10209359	10209109	10000	11000599
10209360	10209110	10000	11000599
10209361	10209111	10000	11000599
10209362	10209112	10000	11000599
10209363	10209113	10000	11000599
10209364	10209114	10000	11000599
10209365	10209115	10000	11000599
10209366	10209116	10000	11000599
10209367	10209117	10000	11000599
10209368	10209118	10000	11000599
10209369	10209119	10000	11000599
10209370	10209120	10000	11000599
10209371	10209121	10000	11000599
10209372	10209122	10000	11000599
10209373	10209123	10000	11000599
10209374	10209124	10000	11000599
10209375	10209125	10000	11000599
10209376	10209126	10000	11000599
10209377	10209127	10000	11000599
10209378	10209128	10000	11000599
10209379	10209129	10000	11000599
10209380	10209130	10000	11000599
10209381	10209131	10000	11000599
10209382	10209132	10000	11000599
10209383	10209133	10000	11000599
10209384	10209134	10000	11000599
10209385	10209135	10000	11000599
10209500	10209506	10000	11000599
10209501	10209507	10000	11000599
10209502	10209508	10000	11000599
10209503	10209509	10000	11000599
10209504	10209510	10000	11000599
10209505	10209511	10000	11000599
10209506	10209500	10000	11000599
10209507	10209501	10000	11000599
10209508	10209502	10000	11000599
10209509	10209503	10000	11000599
10209510	10209504	10000	11000599
10209511	10209505	10000	11000599
10209512	10209518	10000	11000599
10209513	10209519	10000	11000599
10209514	10209520	10000	11000599
10209515	10209521	10000	11000599
10209516	10209522	10000	11000599
10209517	10209523	10000	11000599
10209518	10209512	10000	11000599
10209519	10209513	10000	11000599
10209520	10209514	10000	11000599
10209521	10209515	10000	11000599
10209522	10209516	10000	11000599
10209523	10209517	10000	11000599
10209524	10209530	10000	11000599
10209525	10209531	10000	11000599
10209526	10209532	10000	11000599
10209527	10209533	10000	11000599
10209528	10209534	10000	11000599
10209529	10209535	10000	11000599
10209530	10209524	10000	11000599
10209531	10209525	10000	11000599
10209532	10209526	10000	11000599
10209533	10209527	10000	11000599
10209534	10209528	10000	11000599
10209535	10209529	10000	11000599
10209536	10209542	10000	11000599
10209537	10209543	10000	11000599
10209538	10209544	10000	11000599
10209539	10209545	10000	11000599
10209540	10209546	10000	11000599
10209541	10209547	10000	11000599
10209542	10209536	10000	11000599
10209543	10209537	10000	11000599
10209544	10209538	10000	11000599
10209545	10209539	10000	11000599
10209546	10209540	10000	11000599
10209547	10209541	10000	11000599
10234001	10239218	10000	11000599
10234002	10239219	10000	11000599
10234003	10239220	10000	11000599
10234004	10239221	10000	11000599
10234011	10239222	10000	11000599
10234012	10239223	10000	11000599
10234013	10239224	10000	11000599
10234014	10239225	10000	11000599
10234021	10239226	10000	11000599
10234022	10239227	10000	11000599
10234023	10239228	10000	11000599
10234024	10239229	10000	11000599
10234031	10239230	10000	11000599
10234032	10239231	10000	11000599
10234033	10239232	10000	11000599
10234034	10239233	10000	11000599
10234041	10239234	10000	11000599
10234042	10239235	10000	11000599
10234043	10239236	10000	11000599
10234044	10239237	10000	11000599
10234051	10239238	10000	11000599
10234052	10239239	10000	11000599
10234053	10239240	10000	11000599
10234054	10239241	10000	11000599
10238600	10239278	10000	11000599
10238610	10239279	10000	11000599
10238620	10239280	10000	11000599
10238630	10239281	10000	11000599
10238640	10239282	10000	11000599
10238650	10239283	10000	11000599
10238700	10239284	10000	11000599
10238710	10239285	10000	11000599
10238720	10239286	10000	11000599
10238730	10239287	10000	11000599
10238740	10239288	10000	11000599
10238750	10239289	10000	11000599
10238760	10239290	10000	11000599
10238761	10239291	10000	11000599
10238762	10239292	10000	11000599
10238763	10239293	10000	11000599
10238764	10239294	10000	11000599
10238765	10239295	10000	11000599
10238801	10239296	10000	11000599
10238802	10239297	10000	11000599
10238803	10239298	10000	11000599
10238804	10239299	10000	11000599
10238805	10239300	10000	11000599
10238811	10239301	10000	11000599
10238812	10239302	10000	11000599
10238813	10239303	10000	11000599
10238814	10239304	10000	11000599
10238815	10239305	10000	11000599
10238821	10239306	10000	11000599
10238822	10239307	10000	11000599
10238823	10239308	10000	11000599
10238824	10239309	10000	11000599
10238825	10239310	10000	11000599
10238831	10239311	10000	11000599
10238832	10239312	10000	11000599
10238833	10239313	10000	11000599
10238834	10239314	10000	11000599
10238835	10239315	10000	11000599
10238841	10239316	10000	11000599
10238842	10239317	10000	11000599
10238843	10239318	10000	11000599
10238844	10239319	10000	11000599
10238845	10239320	10000	11000599
10238851	10239321	10000	11000599
10238852	10239322	10000	11000599
10238853	10239323	10000	11000599
10238854	10239324	10000	11000599
10238855	10239325	10000	11000599
10238900	10239326	10000	11000599
10238901	10239327	10000	11000599
10238902	10239328	10000	11000599
10238903	10239329	10000	11000599
10238904	10239330	10000	11000599
10238905	10239331	10000	11000599
10238910	10239332	10000	11000599
10238911	10239333	10000	11000599
10238912	10239334	10000	11000599
10238913	10239335	10000	11000599
10238914	10239336	10000	11000599
10238915	10239337	10000	11000599
10239000	10239338	10000	11000599
10239001	10239339	10000	11000599
10239002	10239340	10000	11000599
10239003	10239341	10000	11000599
10239004	10239342	10000	11000599
10239005	10239343	10000	11000599
10239006	10239344	10000	11000599
10239007	10239345	10000	11000599
10239008	10239346	10000	11000599
10239009	10239347	10000	11000599
10239010	10239348	10000	11000599
10239011	10239349	10000	11000599
10239012	10239350	10000	11000599
10239013	10239351	10000	11000599
10239014	10239352	10000	11000599
10239015	10239353	10000	11000599
10239016	10239354	10000	11000599
10239017	10239355	10000	11000599
10239018	10239356	10000	11000599
10239019	10239357	10000	11000599
10239020	10239358	10000	11000599
10239021	10239359	10000	11000599
10239022	10239360	10000	11000599
10239023	10239361	10000	11000599
10239024	10239362	10000	11000599
10239025	10239363	10000	11000599
10239026	10239364	10000	11000599
10239027	10239365	10000	11000599
10239028	10239366	10000	11000599
10239029	10239367	10000	11000599
10239030	10239368	10000	11000599
10239031	10239369	10000	11000599
10239032	10239370	10000	11000599
10239033	10239371	10000	11000599
10239034	10239372	10000	11000599
10239035	10239373	10000	11000599
10239100	10239374	10000	11000599
10239101	10239375	10000	11000599
10239102	10239376	10000	11000599
10239103	10239377	10000	11000599
10239104	10239378	10000	11000599
10239105	10239379	10000	11000599
10239106	10239380	10000	11000599
10239107	10239381	10000	11000599
10239108	10239382	10000	11000599
10239109	10239383	10000	11000599
10239110	10239384	10000	11000599
10239111	10239385	10000	11000599
10239112	10239386	10000	11000599
10239113	10239387	10000	11000599
10239114	10239388	10000	11000599
10239115	10239389	10000	11000599
10239116	10239390	10000	11000599
10239117	10239391	10000	11000599
10239118	10239392	10000	11000599
10239119	10239393	10000	11000599
10239120	10239394	10000	11000599
10239121	10239395	10000	11000599
10239122	10239396	10000	11000599
10239123	10239397	10000	11000599
10239124	10239398	10000	11000599
10239125	10239399	10000	11000599
10239126	10239400	10000	11000599
10239127	10239401	10000	11000599
10239128	10239402	10000	11000599
10239129	10239403	10000	11000599
10239130	10239404	10000	11000599
10239131	10239405	10000	11000599
10239132	10239406	10000	11000599
10239133	10239407	10000	11000599
10239134	10239408	10000	11000599
10239135	10239409	10000	11000599
10239218	10234001	10000	11000599
10239219	10234002	10000	11000599
10239220	10234003	10000	11000599
10239221	10234004	10000	11000599
10239222	10234011	10000	11000599
10239223	10234012	10000	11000599
10239224	10234013	10000	11000599
10239225	10234014	10000	11000599
10239226	10234021	10000	11000599
10239227	10234022	10000	11000599
10239228	10234023	10000	11000599
10239229	10234024	10000	11000599
10239230	10234031	10000	11000599
10239231	10234032	10000	11000599
10239232	10234033	10000	11000599
10239233	10234034	10000	11000599
10239234	10234041	10000	11000599
10239235	10234042	10000	11000599
10239236	10234043	10000	11000599
10239237	10234044	10000	11000599
10239238	10234051	10000	11000599
10239239	10234052	10000	11000599
10239240	10234053	10000	11000599
10239241	10234054	10000	11000599
10239278	10238600	10000	11000599
10239279	10238610	10000	11000599
10239280	10238620	10000	11000599
10239281	10238630	10000	11000599
10239282	10238640	10000	11000599
10239283	10238650	10000	11000599
10239284	10238700	10000	11000599
10239285	10238710	10000	11000599
