INT	INT	INT	INT	INT
物品编号	需求物品	所需金钱	等级需求	生成紫装编号
10014001	11000500	10000	20	10019801
10014002	11000500	10000	20	10019802
10014003	11000500	10000	20	10019803
10014004	11000500	10000	20	10019810
10019600	11000500	10000	20	10019804
10019700	11000500	10000	20	10019805
10019701	11000500	10000	20	10019811
10019850	11000500	10000	20	10019852
10019851	11000500	10000	20	10019853
10019900	11000500	10000	20	10019910
10019901	11000500	10000	20	10019911
10019902	11000500	10000	20	10019912
10019903	11000500	10000	20	10019913
10019904	11000500	10000	20	10019914
10019905	11000500	10000	20	10019915
10024001	11000500	10000	20	10028801
10024002	11000500	10000	20	10028802
10024003	11000500	10000	20	10028803
10024004	11000500	10000	20	10028810
10028600	11000500	10000	20	10028804
10028700	11000500	10000	20	10028805
10028701	11000500	10000	20	10028811
10028850	11000500	10000	20	10028852
10028851	11000500	10000	20	10028853
10029000	11000500	10000	20	10029010
10029001	11000500	10000	20	10029011
10029002	11000500	10000	20	10029012
10029003	11000500	10000	20	10029013
10029004	11000500	10000	20	10029014
10029005	11000500	10000	20	10029015
10034001	11000500	10000	20	10038801
10034002	11000500	10000	20	10038802
10034003	11000500	10000	20	10038803
10034004	11000500	10000	20	10038810
10038600	11000500	10000	20	10038804
10038700	11000500	10000	20	10038805
10038701	11000500	10000	20	10038811
10038850	11000500	10000	20	10038852
10038851	11000500	10000	20	10038853
10039000	11000500	10000	20	10039010
10039001	11000500	10000	20	10039011
10039002	11000500	10000	20	10039012
10039003	11000500	10000	20	10039013
10039004	11000500	10000	20	10039014
10039005	11000500	10000	20	10039015
10044001	11000500	10000	20	10048801
10044002	11000500	10000	20	10048802
10044003	11000500	10000	20	10048803
10044004	11000500	10000	20	10048810
10048600	11000500	10000	20	10048804
10048700	11000500	10000	20	10048805
10048701	11000500	10000	20	10048811
10048850	11000500	10000	20	10048852
10048851	11000500	10000	20	10048853
10049000	11000500	10000	20	10049010
10049001	11000500	10000	20	10049011
10049002	11000500	10000	20	10049012
10049003	11000500	10000	20	10049013
10049004	11000500	10000	20	10049014
10049005	11000500	10000	20	10049015
10054001	11000500	10000	20	10058801
10054002	11000500	10000	20	10058802
10054003	11000500	10000	20	10058803
10054004	11000500	10000	20	10058810
10058600	11000500	10000	20	10058804
10058700	11000500	10000	20	10058805
10058701	11000500	10000	20	10058811
10058850	11000500	10000	20	10058852
10058851	11000500	10000	20	10058853
10059000	11000500	10000	20	10059010
10059001	11000500	10000	20	10059011
10059002	11000500	10000	20	10059012
10059003	11000500	10000	20	10059013
10059004	11000500	10000	20	10059014
10059005	11000500	10000	20	10059015
10064001	11000500	10000	20	10068801
10064002	11000500	10000	20	10068802
10064003	11000500	10000	20	10068803
10064004	11000500	10000	20	10068810
10068600	11000500	10000	20	10068804
10068700	11000500	10000	20	10068805
