INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
编号	星级	装备点1	装备等级1需求宝石	装备等级2需求宝石	装备等级3需求宝石	装备等级4需求宝石	装备等级5需求宝石	装备等级6需求宝石	宝石1	宝石2	宝石3	宝石4	宝石5	宝石6	失败惩罚	装备等级1所需金钱	装备等级2所需金钱	装备等级3所需金钱	装备等级4所需金钱	装备等级5所需金钱	装备等级6所需金钱	强化比例	强化属性类别（0：所有属性;1:基础属性;2：非基础属性）	所需装备等级	星级对应的特效表现，总计4档	装备等级需求1	装备等级需求2	装备等级需求3	装备等级需求4	装备等级需求5	装备等级需求6	装备等级1需求宝石	装备等级2需求宝石	装备等级3需求宝石	装备等级4需求宝石	装备等级5需求宝石	装备等级6需求宝石	宝石1	宝石2	宝石3	宝石4	宝石5	宝石6	失败惩罚	装备等级1所需金钱	装备等级2所需金钱	装备等级3所需金钱	装备等级4所需金钱	装备等级5所需金钱	装备等级6所需金钱	强化比例	强化属性类别（0：所有属性;1:基础属性;2：非基础属性）	所需装备等级	星级对应的特效表现，总计4档	装备等级需求1	装备等级需求2	装备等级需求3	装备等级需求4	装备等级需求5	装备等级需求6	(绿装升级)装备等级1需求宝石	装备等级2需求宝石	装备等级3需求宝石	装备等级4需求宝石	装备等级5需求宝石	装备等级6需求宝石	宝石1	宝石2	宝石3	宝石4	宝石5	宝石6	失败惩罚	装备等级1所需金钱	装备等级2所需金钱	装备等级3所需金钱	装备等级4所需金钱	装备等级5所需金钱	装备等级6所需金钱	强化比例	强化属性类别（0：所有属性;1:基础属性;2：非基础属性）	所需装备等级	星级对应的特效表现，总计4档	装备等级需求1	装备等级需求2	装备等级需求3	装备等级需求4	装备等级需求5	装备等级需求6	(紫装普通升级)装备等级1需求宝石	装备等级2需求宝石	装备等级3需求宝石	装备等级4需求宝石	装备等级5需求宝石	装备等级6需求宝石	宝石1	宝石2	宝石3	宝石4	宝石5	宝石6	失败惩罚	装备等级1所需金钱	装备等级2所需金钱	装备等级3所需金钱	装备等级4所需金钱	装备等级5所需金钱	装备等级6所需金钱	强化比例	强化属性类别（0：所有属性;1:基础属性;2：非基础属性）	所需装备等级	星级对应的特效表现，总计4档	装备等级需求1	装备等级需求2	装备等级需求3	装备等级需求4	装备等级需求5	装备等级需求6	(紫装花钱升级)装备等级1需求宝石	装备等级2需求宝石	装备等级3需求宝石	装备等级4需求宝石	装备等级5需求宝石	装备等级6需求宝石	宝石1	宝石2	宝石3	宝石4	宝石5	宝石6	失败惩罚	装备等级1所需金钱	装备等级2所需金钱	装备等级3所需金钱	装备等级4所需金钱	装备等级5所需金钱	装备等级6所需金钱	强化比例	强化属性类别（0：所有属性;1:基础属性;2：非基础属性）	所需装备等级	星级对应的特效表现，总计4档	装备等级需求1	装备等级需求2	装备等级需求3	装备等级需求4	装备等级需求5	装备等级需求6
1	1	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	100	100	100	100	100	100	1	80	320	720	1280	1600	2000	20	1	1	1	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	75	100	120
2	2	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	100	100	100	100	100	100	1	160	640	1440	2560	3200	4000	40	1	1	1	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	75	100	120
3	3	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	100	100	100	100	100	100	1	240	960	2160	3840	4800	6000	60	1	1	1	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	75	100	120
4	4	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	50	50	50	50	50	50	0	320	1280	2880	5120	6400	8000	80	1	1	2	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	50	50	50	50	50	50	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	75	100	120
5	5	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	40	40	40	40	40	40	1	400	1600	3600	6400	8000	10000	100	1	1	2	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	40	40	40	40	40	40	1	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	75	100	120
6	6	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	2	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	33	33	33	33	33	33	2	480	1920	4320	7680	9600	12000	120	1	1	2	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	33	33	33	33	33	33	2	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	75	100	120
7	7	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	3	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	33	33	33	33	33	33	3	560	2240	5040	8960	11200	14000	170	1	1	3	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	33	33	33	33	33	33	3	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	75	100	120
8	8	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	4	1920	7680	17280	30720	38400	48000	220	1	40	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1920	7680	17280	30720	38400	48000	220	1	40	3	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	33	33	33	33	33	33	4	640	2560	5760	10240	12800	16000	220	1	40	3	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	33	33	33	33	33	33	4	1920	7680	17280	30720	38400	48000	220	1	1	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1920	7680	17280	30720	38400	48000	220	1	1	3	1	40	60	75	100	120
9	9	0	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	5	2160	8640	19440	34560	43200	54000	270	1	60	4	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	2160	8640	19440	34560	43200	54000	270	1	40	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	10	10	10	10	10	10	5	720	2880	6480	11520	14400	18000	270	1	60	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	10	10	10	10	10	10	5	2160	8640	19440	34560	43200	54000	270	1	1	4	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	2160	8640	19440	34560	43200	54000	270	1	1	4	1	40	60	75	100	120
