INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	INT	STRING
ID	分类 ID（互斥用）	PRI优先级	最大累积层数z	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否子弹效果	子弹文件名	子弹触发点	子弹命中点	是否为线性特效	自身效果说明	是否显示buff图标	目标效果说明
1	1		1	Ability_Food_216			人物身体前置点			人物身体受击点	0	1	0	1	0	0			0	长生诀：回复50%生命同时耐力提高50%	1	长生诀：回复50%生命同时耐力提高50%
2	2		1	Ability_Food_217			人物身体前置点			人物身体受击点	0	1	0	1						圣灵之佑：所有伤害减免75%	1	圣灵之佑：所有伤害减免75%
3	3		1	Ability_Food_218			人物身体前置点			人物身体受击点	0	1	0	1						狂放：暴击提高75%	1	狂放：暴击提高75%
4	4		1	Ability_Food_219			人物身体前置点			人物身体受击点	0	1	0	1						千机变：闪避降低20%，暴击率提高10%	1	千机变：闪避降低20%，暴击率提高10%
5	5		1	Ability_Food_220			人物身体前置点			人物身体受击点	0	1	0	1						力量怒吼：力量提高10%	1	力量怒吼：力量提高10%
6	6		1	Ability_Food_221			人物身体前置点			人物身体受击点	0	1	0	1						狮吼：防御提高100点	1	狮吼：防御提高100点
#	战车																				1	
1210	1210		1	CJSH_wanfa_add_6_10			人物身体前置点			人物身体受击点	0	0	0	0						在车上	1	在车上
#	武士																				1	
1241	1241	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低50，受到伤害加深10%	1	扬威破阵：防御降低50，受到伤害加深10%
1242	1242	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低100，受到伤害加深10%	1	扬威破阵：防御降低100，受到伤害加深10%
1243	1243	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低150，受到伤害加深10%	1	扬威破阵：防御降低150，受到伤害加深10%
1244	1244	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低200，受到伤害加深10%	1	扬威破阵：防御降低200，受到伤害加深10%
1245	1245	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低250，受到伤害加深10%	1	扬威破阵：防御降低250，受到伤害加深10%
1246	1246	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低300，受到伤害加深10%	1	扬威破阵：防御降低300，受到伤害加深10%
1247	1247	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低350，受到伤害加深10%	1	扬威破阵：防御降低350，受到伤害加深10%
1248	1248	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低400，受到伤害加深10%	1	扬威破阵：防御降低400，受到伤害加深10%
1249	1249	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低450，受到伤害加深10%	1	扬威破阵：防御降低450，受到伤害加深10%
1250	1250	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低500，受到伤害加深10%	1	扬威破阵：防御降低500，受到伤害加深10%
1261	1261	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1262	1262	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1263	1263	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1264	1264	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1265	1265	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1266	1266	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1267	1267	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1268	1268	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1269	1269	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
1270	1270	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽
																				0		
																				0		
																				0	1	
1281	1281	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1282	1282	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1283	1283	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1284	1284	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1285	1285	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1286	1286	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1287	1287	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1288	1288	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1289	1289	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
1290	1290	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%
																				0		
1291	1291	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害40%	1	锐不可挡：减免伤害40%
1292	1292	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害45%	1	锐不可挡：减免伤害45%
1293	1293	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害50%	1	锐不可挡：减免伤害50%
1294	1294	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害55%	1	锐不可挡：减免伤害55%
1295	1295	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害60%	1	锐不可挡：减免伤害60%
1296	1296	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害65%	1	锐不可挡：减免伤害65%
1297	1297	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害70%	1	锐不可挡：减免伤害70%
1298	1298	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害75%	1	锐不可挡：减免伤害75%
1299	1299	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害80%	1	锐不可挡：减免伤害80%
1300	1300	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害85%	1	锐不可挡：减免伤害85%
1301	1301	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击55	1	虽远必诛：提高人物暴击55
1302	1302	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击60	1	虽远必诛：提高人物暴击60
1303	1303	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击65	1	虽远必诛：提高人物暴击65
1304	1304	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击70	1	虽远必诛：提高人物暴击70
1305	1305	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击75	1	虽远必诛：提高人物暴击75
