INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	CNC	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT
Data_Index	效果名称	参数1说明	参数值	参数2说明	参数值	参数3说明	参数值	参数4说明	参数值	参数5说明	参数值	参数6说明	参数值	参数7说明	参数值	参数8说明	参数值	参数9说明	参数值	参数10说明	参数值	参数11说明	参数值	参数12说明	参数值	参数13说明	参数值	参数14说明	参数值	参数15说明	参数值	参数16说明	参数值	客户端不关心后续列	逻辑ID	逻辑ID的说明	是否是持续性效果	瞬发效果ID/驻留效果ID	分类ID(互斥用)	互斥优先级	影响性质	死后是否保留	是否可以被技能驱散	是否可以被手动取消	是否需要引导支持	是否是直通效果	受到伤害时是否消失	开始动作时是否消失	下线就消失否	下线仍然计时否	总持续时间(毫秒)	发作时间间隔(毫秒)	互斥规则是否参考制造者ID	是否平行互斥	天赋	是否受PK率影响	预留5	效果描述(内部使用)	小球个数	小球的生命周期	事件脚本ID	是否被动技能
0	普通攻击的伤害效果， 这一行永远不能删除或者改变。这是缺省效果。		0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	0	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
1	普通攻击的伤害效果， 这一行永远不能删除或者改变。这是缺省效果。	HP修改量	-1	魔法伤害	0	冰系伤害	-1	火系伤害	-1	电系伤害	-1	毒系伤害	-1		-1		-1																		4	STD_IMPACT_003	0	-1	-1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
2	普通攻击的伤害效果， 这一行永远不能删除或者改变。这是缺省效果。	HP修改量	-1	魔法伤害	0	冰系伤害	-1	火系伤害	-1	电系伤害	-1	毒系伤害	-1		-1		-1																		4	STD_IMPACT_003	0	-1	-1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
3	测试用SOT（MAXs）	物理攻击修正	-10	物理防御修正	10	魔法攻击修正	-10	魔法防御修正	10	冰系攻击修正	-10	冰系抗性修正	10	火系攻击修正	-10	火系抗性修正	10	电系攻击修正	-10	电系抗性修正	10	毒系攻击修正	-10	毒系抗性修正	10	MAX_HP修正	10	MAX_MP修正	20	MAX_RAGE修正	5	MAX_STRIKE_POINT修正	3		11	StdImpact011	1	-1	-1	3	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	-1	0	0		0	0	-1	
4	测试用SOT（HitMis。。。）	命中修正	10	闪避修正	20	会心修正	30																												13	StdImpact013	1	62	86	4	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	-1	0	0		0	0	-1	
5	测试用SOT（FaintUnbreakable。。。）	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	0	"无敌否标记：0-非无敌，1-无敌）,-1无效"	1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	StdImpact014	1	98	110	5	-1	0	1	0	0	0	1	0	0	0	60000	0	0	0	-1	0	0		0	0	-1	
6	测试用SOT（Stealth。。。）	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	0	移动速度修正%（0为无效）	-50	隐身级别修正（0为无效）	10	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	StdImpact014	1	75	93	6	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1	
7	测试用SOT（Transform。。。）	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	0	移动速度修正%（0为无效）	100	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	20	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	StdImpact014	1	32	52	7	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1	
8	分身																																		51	STD_IMPACT_051	1	149	149	8	0	0	1	1	0	0	0	0	1	0	-1	0	0	0	-1	0	0		0	0	-1	
9	陷阱																																		52	STD_IMPACT_052	1	156	156	9	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1	
10	武士：攻击	物理伤害	40	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	110	-1	10	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
11	道士：冰雪弹	物理伤害	0	魔法伤害	50	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	111	-1	11	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
12	道士：冰锥	物理伤害	0	魔法伤害	60	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	112	-1	12	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
13	道士：霜之哀伤	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	113	-1	13	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
14	道士：保命环	物理伤害	0	魔法伤害域	15	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																						3	STD_IMPACT_003	0	113	-1	14	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	加外攻	0	0	-1
15	特技6	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	115	-1	15	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
16	武士：大地之舞	物理伤害	80	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																						3	STD_IMPACT_003	0	118	-1	16	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	加外攻	0	0	-1
18	升级特效																																		0	StdImpact000	0	18	-1	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
19	先知：圣光弹	物理伤害	0	魔法伤害	30	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	119	-1	19	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
20	先知：圣光弹dot	子效果1的DataIndex	21	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	1	-1	20	-1	0	1	0	0	0	0	0	0	0	10000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1
21	先知：圣光弹dot伤害	伤害数值	8																																1	STD_IMPACT_001	0	6	-1	21	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
22	先知：诅咒dot	子效果1的DataIndex	23	子效果2的DataIndex	25	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	6	-1	22	-1	0	1	0	0	0	0	0	0	0	10000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1
23	先知：圣光弹dot伤害	伤害数值	12																																1	STD_IMPACT_001	0	6	-1	23	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
24	先知：加血	HP修改量	1000	MP修改量	0	Rage修改量	-1	StrikePoint修改量	0				-1		-1		-1																		4	StdImpact004	0	121	-1	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
25	先知：诅咒减速	CanAction1标记	-1	CanAction2标记	-1	CanMove	-1	Unbreakable	-1	移动速度修正%	-60	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_014	1	2	23	25	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	-1	0	0	无相截指-迟缓	0	0	-1
100	捉宠特效																																		0	StdImpact000	0	-1	-1	100	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	捉宠特效	0	0	-1
101	演示技能	物理攻击修正	0	物理防御修正	10	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0		3	STD_IMPACT_011	1	41	41	101	1	0	1	1	0	0	0	0	1	0	60000	0	0	0	-1	0	0	加10物防	0	0	-1
102	不知道dot	子效果1的DataIndex	23	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	6	-1	102	-1	0	1	0	0	0	0	0	0	0	20000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1
103	药品。立即恢复生命350点	增加HP	9000	增加MP	0	Rage修改量	-1	StrikePoint修改量	0				-1		-1		-1																		4	StdImpact004	0	10	-1	103	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
104	不知道dot	子效果1的DataIndex	-1	子效果2的DataIndex	25	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	6	-1	104	-1	0	1	0	0	0	0	0	0	0	20000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1
105	上马																																		82	StdImpact082	0	0	-1	105	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
311	武士普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	311	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
316	武士普通攻击的怒气效果	概率	100	事件ID	10	impactID	317																												65	STD_IMPACT_003	1	-1	-1	316	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1
317	怒气增加100%（需攻）	生命值的修正值		魔法值的修正值	0	怒气值的修正值	-1	连击点数的修正值					-1		-1		-1																		4	STD_IMPACT_004	0	-1	-1	317	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0				-1
321	剑侠普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	321	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
331	骑射普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	331	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
341	火枪普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	341	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
351	先知普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	351	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
361	萨满普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	361	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1
#	武士技能																																							#																			0	0	-1
1210	战车BUFF	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1	"无敌：0-非无敌，1-无敌）,-1无效"	1	移动速度修正（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）		变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_0014	1	1210	256	1210	1	0	1	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0				-1
1211	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1211	1	1211	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1212	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1212	1	1212	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1213	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1213	1	1213	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1214	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1214	1	1214	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1215	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1215	1	1215	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1216	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1216	1	1216	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1217	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1217	1	1217	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1218	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1218	1	1218	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1219	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1219	1	1219	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1220	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1220	1	1220	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1
1221	猛击	近程攻击伤害百分比	10	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1221	2	1221	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1
1222	猛击	近程攻击伤害百分比	20	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1222	2	1222	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1
1223	猛击	近程攻击伤害百分比	30	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1223	2	1223	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1
1224	猛击	近程攻击伤害百分比	40	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1224	2	1224	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1
1225	猛击	近程攻击伤害百分比	50	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1225	2	1225	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1
1226	猛击	近程攻击伤害百分比	60	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1226	2	1226	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1
