INT	INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT
ID	RaceID	ModelFile	ShowName	消耗物品ID	MaterialName	消耗物品数量	是否在初始时可选(0表示游戏中，初始时都不可选，1表示只有初始时可选，2表示只有在游戏中可选，3表示游戏中，初始时都可选)	HairType	ColorType	ColorName	是否在创建人物界面显示
1	0	女主角发型_01_白.mesh	发型一					0	0	白色	1
2	0	女主角发型_01_黑.mesh	发型一					0	1	黑色	1
3	0	女主角发型_01_红.mesh	发型一					0	2	红色	1
4	0	女主角发型_01_蓝.mesh	发型一					0	3	蓝色	1
5	0	女主角发型_01_金.mesh	发型一					0	4	黄色	1
6	0	女主角头发_01_绿.mesh	发型一					0	5	绿色	1
7	0	女主角头发_02_白.mesh	发型二					1	0	白色	1
8	0	女主角头发_02_黑.mesh	发型二					1	1	黑色	1
9	0	女主角头发_02_红.mesh	发型二					1	2	红色	1
10	0	女主角头发_02_蓝.mesh	发型二					1	3	蓝色	1
11	0	女主角头发_02_金.mesh	发型二					1	4	黄色	1
12	0	女主角头发_02_绿.mesh	发型二					1	5	绿色	1
13	0	女主角头发_03_白.mesh	发型三					2	0	白色	1
14	0	女主角头发_03_黑.mesh	发型三					2	1	黑色	1
15	0	女主角头发_03_红.mesh	发型三					2	2	红色	1
16	0	女主角头发_03_蓝.mesh	发型三					2	3	蓝色	1
17	0	女主角头发_03_金.mesh	发型三					2	4	黄色	1
18	0	女主角头发_03_绿.mesh	发型三					2	5	绿色	1
19	0	女主角头发_04_白.mesh	发型四					3	0	白色	1
20	0	女主角头发_04_黑.mesh	发型四					3	1	黑色	1
21	0	女主角头发_04_红.mesh	发型四					3	2	红色	1
22	0	女主角头发_04_蓝.mesh	发型四					3	3	蓝色	1
23	0	女主角头发_04_金.mesh	发型四					3	4	黄色	1
24	0	女主角头发_04_绿.mesh	发型四					3	5	绿色	1
25	0	女主角头发_05_白.mesh	发型五					4	0	白色	1
26	0	女主角头发_05_黑.mesh	发型五					4	1	黑色	1
27	0	女主角头发_05_红.mesh	发型五					4	2	红色	1
28	0	女主角头发_05_蓝.mesh	发型五					4	3	蓝色	1
29	0	女主角头发_05_金.mesh	发型五					4	4	黄色	1
30	0	女主角头发_05_绿.mesh	发型五					4	5	绿色	1
