INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	class(基本类型)	Type(类别)	Index(物品号0~1000随机，1001~1999白装，2001~2999打造装备，3001~3999荣誉装备，4001~4999声望装备，6000~6999任务装备，7000~7001套装)	"颜色类别(白:1,绿:2,蓝:3,黄:4,紫:5)"	EquipPoint(装备点)	适应规则	套装ID	Lv(需求等级)	天赋等级	个人等级	基本价格	Max耐久(最大255)	有效期限（单位小时）	星级	天然孔数目	最大孔数目	职业需求	装备牌型	装备分	基础近伤攻击	基础远伤攻击	基础魔伤攻击	基础近伤防御	基础远伤防御	基础魔伤防御	影响属性ID1	影响数值1	影响属性ID2	影响数值2	影响属性ID3	影响数值3	影响属性ID4	影响数值4	影响属性ID5	影响数值5	影响属性ID6	影响数值6	影响属性ID7	影响数值7	影响属性ID8	影响数值8	附加技能ID1	附加技能等级	附加技能ID2	附加技能等级	附加技能ID3	附加技能等级	附加技能ID4	附加技能等级	影响技能ID1	影响技能等级	影响技能ID2	影响技能等级	影响技能ID3	影响技能等级	影响技能ID4	影响技能等级	事件脚本id	附加参数类型	参数	消耗量	拾取等级
####	以下是	武士武器																																																								-1	-1	0	0	1
10010010	10	1	10	3	0	1	-1	1	-1	-1	100	50	-1	1	0	7	0	-1	0	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	415000	-1	0	0	1
10010020	10	1	20	3	0	1	-1	10	-1	-1	120	62	-1	0~2	0	7	0	-1	0	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010030	10	1	30	3	0	1	-1	20	-1	-1	140	74	-1	0~3	0	7	0	-1	0	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010040	10	1	40	3	0	1	-1	30	-1	-1	160	86	-1	0~3	0	7	0	-1	0	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010050	10	1	50	3	0	1	-1	40	-1	-1	180	98	-1	0~3	0	7	0	-1	0	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010060	10	1	60	3	0	1	-1	50	-1	-1	200	110	-1	0~3	0	7	0	-1	0	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010070	10	1	70	3	0	1	-1	60	-1	-1	220	122	-1	0~3	0	7	0	-1	0	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010080	10	1	80	3	0	1	-1	70	-1	-1	240	134	-1	0~3	0	7	0	-1	0	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010090	10	1	90	3	0	1	-1	80	-1	-1	260	146	-1	0~3	0	7	0	-1	0	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010091	10	1	91	3	0	1	-1	46~50	-1	-1	280	158	-1	0~3	0	7	0	-1	0	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010092	10	1	92	3	0	1	-1	51~55	-1	-1	300	170	-1	0~3	0	7	0	-1	0	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010093	10	1	93	3	0	1	-1	56~60	-1	-1	320	182	-1	0~3	0	7	0	-1	0	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
10010094	10	1	94	3	0	1	-1	61~65	-1	-1	340	194	-1	0~3	0	7	0	-1	0	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1
