INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
配方号	产品ID	配方名称	产品数量	材料类1	材料数量1	材料最低等级1	拆解损耗比例1	材料类2	材料数量2	材料最低等级2	拆解损耗比例2	材料类3	材料数量3	材料最低等级3	拆解损耗比例3	材料类4	材料数量4	材料最低等级4	拆解损耗比例4	改造1材料类(-1代表不可改造)	改造1材料数量	改造1材料最低等级	改造2材料类	改造2材料数量	改造2材料最低等级	改造3材料类	改造3材料数量	改造3材料最低等级	操作时间	脚本ID	打造消耗金钱	改造消耗金钱	产品等级	所属部件	属性归属	NPCID	是否固定打造
1	10010205	繁星碎	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	1	5		0
2	10019701	天赐金牌之刀	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	1	8	123779|126075|129079|132075|138664|141030	1
3	10020205	短歌行	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	2	8		0
4	10028701	天赐金牌之剑	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	2	8	123779|126075|129079|132075|138664|141030	1
5	10030205	流光簇	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	3	8		0
6	10038701	天赐金牌之弓	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	3	8	123779|126075|129079|132075|138664|141030	1
7	10040205	飞云断	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	4	8		0
8	10048701	天赐金牌之枪	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	4	8	123779|126075|129079|132075|138664|141030	1
9	10050205	长生吟	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	5	8		0
10	10058701	天赐金牌之杖	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	5	8	123779|126075|129079|132075|138664|141030	1
11	10060205	山河梦	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	6	8		0
12	10068701	天赐金牌之槌	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	6	8	123779|126075|129079|132075|138664|141030	1
13	10070205	辉光白虎盾	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	7	8		0
14	10070305	辉光巨熊盾	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	7	8		0
