INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	帮会升级所需等级	帮会升级所需金钱	帮会升级所需经验	帮会升级所需道具id	帮会道具个数	开启默认等级	个人所需天赋等级	学习所需修行总等级	个人所需银卡	个人所需帮贡	个人所需声望	个人所需威望	个人所需道具id	个人道具个数
13000	2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2	1000000|1100000|1200000|1300000|1400000|1500000|1600000|1700000|1800000|1900000|2000000|2100000|2200000|2300000|2400000|2500000|2600000|2700000|2800000|2900000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14020001|14020001|14020001|14020001|14020001|14020001|14020001|14020001|14020001|14020001|14020002|14020002|14020002|14020002|14020002|14020002|14020002|14020002|14020002|14020002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	5	10|10|11|11|12|12|13|13|14|14|15|15|16|16|17|17|18|18|19|19	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0		100|110|121|133|146|161|177|195|214|236|259|285|314|345|380|418|459|505|556|612	0|0|0|0|0|0|0|0|0|0|2590|2850|3140|3450|3800|4180|4590|5050|5560|6120			
13001	2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2	1000000|1100000|1200000|1300000|1400000|1500000|1600000|1700000|1800000|1900000|2000000|2100000|2200000|2300000|2400000|2500000|2600000|2700000|2800000|2900000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14020006|14020006|14020006|14020006|14020006|14020006|14020006|14020006|14020006|14020006|14020007|14020007|14020007|14020007|14020007|14020007|14020007|14020007|14020007|14020007	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	5	10|10|11|11|12|12|13|13|14|14|15|15|16|16|17|17|18|18|19|19	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0		100|110|121|133|146|161|177|195|214|236|259|285|314|345|380|418|459|505|556|612	0|0|0|0|0|0|0|0|0|0|2590|2850|3140|3450|3800|4180|4590|5050|5560|6120			
13002	2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2	1000000|1100000|1200000|1300000|1400000|1500000|1600000|1700000|1800000|1900000|2000000|2100000|2200000|2300000|2400000|2500000|2600000|2700000|2800000|2900000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14020011|14020011|14020011|14020011|14020011|14020011|14020011|14020011|14020011|14020011|14020012|14020012|14020012|14020012|14020012|14020012|14020012|14020012|14020012|14020012	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	5	10|10|11|11|12|12|13|13|14|14|15|15|16|16|17|17|18|18|19|19	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0		100|110|121|133|146|161|177|195|214|236|259|285|314|345|380|418|459|505|556|612	0|0|0|0|0|0|0|0|0|0|2590|2850|3140|3450|3800|4180|4590|5050|5560|6120			
13003	3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3	1500000|1700000|1900000|2100000|2300000|2500000|2700000|2900000|3100000|3300000|3500000|3700000|3900000|4100000|4300000|4500000|4700000|4900000|5100000|5300000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14040001|14040001|14040001|14040001|14040001|14040002|14040002|14040002|14040002|14040002|14040002|14040002|14040002|14040002|14040002|14040003|14040003|14040003|14040003|14040003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	4	15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10		161|177|195|214|236|259|285|314|345|380|418|459|505|556|612|673|740|814|895|985	0|0|0|0|0|0|0|0|0|0|4180|4590|5050|5560|6120|6730|7400|8140|8950|9850			
13004	3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3	1500000|1700000|1900000|2100000|2300000|2500000|2700000|2900000|3100000|3300000|3500000|3700000|3900000|4100000|4300000|4500000|4700000|4900000|5100000|5300000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14030001|14030001|14030001|14030001|14030001|14030002|14030002|14030002|14030002|14030002|14030002|14030002|14030002|14030002|14030002|14030003|14030003|14030003|14030003|14030003|	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	4	15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10		161|177|195|214|236|259|285|314|345|380|418|459|505|556|612|673|740|814|895|985	0|0|0|0|0|0|0|0|0|0|4180|4590|5050|5560|6120|6730|7400|8140|8950|9850			
13005	3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3	1500000|1700000|1900000|2100000|2300000|2500000|2700000|2900000|3100000|3300000|3500000|3700000|3900000|4100000|4300000|4500000|4700000|4900000|5100000|5300000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14030006|14030006|14030006|14030006|14030006|14030007|14030007|14030007|14030007|14030007|14030007|14030007|14030007|14030007|14030007|14030008|14030008|14030008|14030008|14030008	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	4	15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10		161|177|195|214|236|259|285|314|345|380|418|459|505|556|612|673|740|814|895|985	0|0|0|0|0|0|0|0|0|0|4180|4590|5050|5560|6120|6730|7400|8140|8950|9850			
13006	3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3	1500000|1700000|1900000|2100000|2300000|2500000|2700000|2900000|3100000|3300000|3500000|3700000|3900000|4100000|4300000|4500000|4700000|4900000|5100000|5300000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14030011|14030011|14030011|14030011|14030011|14030012|14030012|14030012|14030012|14030012|14030012|14030012|14030012|14030012|14030012|14030013|14030013|14030013|14030013|14030013	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	4	15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10		161|177|195|214|236|259|285|314|345|380|418|459|505|556|612|673|740|814|895|985	0|0|0|0|0|0|0|0|0|0|4180|4590|5050|5560|6120|6730|7400|8140|8950|9850			
13007	4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4	2000000|2300000|2600000|2900000|3200000|3500000|3800000|4100000|4400000|4700000|5000000|5300000|5600000|5900000|6200000|6500000|6800000|7100000|7400000|7700000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099|12041099	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	3	20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58	20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20		259|285|314|345|380|418|459|505|556|612|673|740|814|895|985|1083|1192|1311|1442|1586	0|0|0|0|0|0|0|0|0|0|6730|7400|8140|8950|9850|10830|11920|13110|14420|15860			
13008	4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4	2000000|2300000|2600000|2900000|3200000|3500000|3800000|4100000|4400000|4700000|5000000|5300000|5600000|5900000|6200000|6500000|6800000|7100000|7400000|7700000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14010001|14010001|14010001|14010001|14010001|14010002|14010002|14010002|14010002|14010002|14010003|14010003|14010003|14010003|14010003|14010004|14010004|14010004|14010004|14010004	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	3	20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58	20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20		259|285|314|345|380|418|459|505|556|612|673|740|814|895|985|1083|1192|1311|1442|1586		0|0|0|0|0|0|0|0|0|0|6730|7400|8140|8950|9850|10830|11920|13110|14420|15860		
13009	4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4	2000000|2300000|2600000|2900000|3200000|3500000|3800000|4100000|4400000|4700000|5000000|5300000|5600000|5900000|6200000|6500000|6800000|7100000|7400000|7700000	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	14010006|14010006|14010006|14010006|14010006|14010007|14010007|14010007|14010007|14010007|14010008|14010008|14010008|14010008|14010008|14010009|14010009|14010009|14010009|14010009	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	3	20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58	20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20		259|285|314|345|380|418|459|505|556|612|673|740|814|895|985|1083|1192|1311|1442|1586		0|0|0|0|0|0|0|0|0|0|6730|7400|8140|8950|9850|10830|11920|13110|14420|15860		
