INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	STRING	STRING
编号	名称	对应生活技能ID	对应模型	对应任务ID	Tips默认	打开时间默认	脚本ID	打开动画	特效	任务编号
1	小土堆	26	竹筐.mesh				301000		ui_采集_12	51
2	引魂草	26	马蹄莲.mesh				301001		ui_采集_12	71
3	木华黎的弯刀	26	掉落刀.mesh				301002		ui_采集_12	57
4	奇怪的信	26	沙漠枯树03.mesh				301003		ui_采集_12	155
5	木合草	26	灌木05.mesh				301004		状态_增加生命上限_01	2792
6	芨芨草	26	藏花丛.mesh				301005		状态_增加生命上限_01	2893
7	粮仓	26	野外粮仓2.mesh				301006		ui_采集_12	-1
8	水草	26	马蹄莲.mesh				301007		ui_采集_12	-1
9	瓷器	26	钧窑瓷器2.mesh				301008		ui_采集_12	-1
10	老鼠洞	26	藏花丛.mesh				301009		状态_增加生命上限_01	2730
11	黑暗雕像	26	教堂石像01.mesh				301010		ui_采集_12	2895
12	甘草	26	棕榈灌木1.mesh				301011		状态_增加生命上限_01	3536
13	草堆	26	竹筐.mesh				301012		状态_增加生命上限_01	3539
14	药材堆	26	麻袋.mesh				301013		ui_采集_12	3566
15	和尚堆	26	竹筐.mesh				301014		ui_采集_12	3575
16	火腿	26	石岛火把.mesh				301015		ui_采集_12	3513
17	饭桶	26	竹筐.mesh				301016		ui_采集_12	3602
18	假桑昆藏身处	26	皇城假山石2.mesh				301017		ui_采集_12	3592
19	开关	26	财宝箱.mesh				301018		ui_采集_12	-1
20	青龙	26	财宝箱.mesh				301019		ui_采集_12	-1
21	白虎	26	财宝箱.mesh				301019		ui_采集_12	-1
22	朱雀	26	财宝箱.mesh				301019		ui_采集_12	-1
23	玄武	26	财宝箱.mesh				301019		ui_采集_12	-1
24	金	26	财宝箱.mesh				301020		ui_采集_12	-1
25	木	26	财宝箱.mesh				301020		ui_采集_12	-1
26	水	26	财宝箱.mesh				301020		ui_采集_12	-1
27	火	26	财宝箱.mesh				301020		ui_采集_12	-1
28	土	26	财宝箱.mesh				301020		ui_采集_12	-1
29	火炮	26	炮台.mesh				301021		ui_采集_12	-1
30	火炮弹	26	炮弹箱.mesh				301022		ui_采集_12	-1
32	烟火	26	红木箱子.mesh				301024		ui_采集_12	-1
33	铁胎弓	26	掉落弓.mesh				301025		ui_采集_12	104
34	炮弹	26	红木箱子.mesh				301026		ui_采集_12	-1
35	火炮	26	红木箱子.mesh				301027		ui_采集_12	-1
36	腰刀	26	红木箱子.mesh				301028		ui_采集_12	-1
37	轰天大炮	26	红木箱子.mesh				301029		ui_采集_12	-1
38	五色花	26	红木箱子.mesh				301031		ui_采集_12	-1
39	宝箱	26	红木箱子.mesh				301032		ui_采集_12	-1
50	苹果	26	任务苹果.mesh				301050		ui_采集_12	-1
51	苹果	26	任务苹果.mesh				301051		ui_采集_12	-1
52	野花	26	皇城花丛6.mesh				301052		ui_采集_12	-1
53	黑箱子	26	红木箱子.mesh				301053		ui_采集_12	-1
54	火蜥蜴之尾	26	红木箱子.mesh				301054		ui_采集_12	-1
55	玉米	26	玉米植物01.mesh				301055		ui_采集_12	-1
56	野花	26	皇城花丛6.mesh				301056		ui_采集_12	-1
57	稻草	26	红木箱子.mesh				301057		ui_采集_12	-1
58	黑箱子	26	红木箱子.mesh				301058		ui_采集_12	-1
59	红箱子	26	红木箱子.mesh				301059		ui_采集_12	-1
60	皮球	26	红木箱子.mesh				301060		ui_采集_12	-1
61	冰晶	26	红木箱子.mesh				301061		ui_采集_12	-1
62	军用物资	26	野外小物件1.mesh				301062		ui_采集_12	274
63	沉甸甸的宝箱	26	宝箱1.mesh				301063		ui_采集_12	277
64	高山玉石	26	岩洞碎石06.mesh				301064		ui_采集_12	227
65	郭靖腰刀	26	掉落刀.mesh				301065		ui_采集_12	225
66	战神大旗	26	旗帜汗.mesh				301066		ui_采集_12	216
70	小红花	26	红木箱子.mesh				301070		ui_采集_12	-1
71	泥鳅鱼	26	红木箱子.mesh				301071		ui_采集_12	-1
72	马蜂窝	26	红木箱子.mesh				301072		ui_采集_12	-1
73	鸡蛋	26	红木箱子.mesh				301073		ui_采集_12	-1
74	西瓜	26	红木箱子.mesh				301074		ui_采集_12	-1
75	弹弓	26	红木箱子.mesh				301075		ui_采集_12	-1
76	蚯蚓	26	红木箱子.mesh				301076		ui_采集_12	-1
77	馒头	26	红木箱子.mesh				301077		ui_采集_12	-1
100	和氏璧	26	红木箱子.mesh				301030		ui_采集_12	-1
101	古老的图腾	26	采集_印度神象_1.lmodel				301457		任务效果01_01	-1
102	腰刀	26	红木箱子.mesh				300626		ui_采集_12	-1
103	腰刀	26	红木箱子.mesh				300627		ui_采集_12	-1
104	腰刀	26	红木箱子.mesh				300628		ui_采集_12	-1
105	敌国密报	26	宝箱3.mesh				300629		ui_采集_12	-1
106	军粮	26	农场草车.mesh				300662		ui_采集_12	-1
107	军粮	26	农场草车.mesh				300663		ui_采集_12	-1
108	军粮	26	农场草车.mesh				300664		ui_采集_12	-1
109	军粮	26	农场草车.mesh				300665		ui_采集_12	-1
