INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
帮会等级	家族上限	升级所需金钱	升级所需贡献	帮会成员上限	黄金家族人数上限	家族人数上限	帮会信物数量	帮会经验	最大帮贡值	降级使命点基准数	奖励使命点基准数	使命点经验奖励	帮会金钱上限
0	5	0	0	0	26	20	0	0	0	0	0	0	0
1	5	0	0	80	26	20	0	1600	999999	40	180	650	6000000
2	5	0	0	100	26	20	0	8000	999999	40	240	750	8000000
3	5	0	0	120	26	20	0	24000	999999	40	300	900	20000000
4	5	0	0	128	26	20	0	80000	999999	40	450	950	24000000
5	5	0	0	134	26	20	0	192000	999999	40	540	1000	42000000
6	5	0	0	140	26	20	0	384000	999999	40	540	1000	48000000
7	5	0	0	145	26	20	0	768000	999999	40	540	1000	54000000
8	5	0	0	145	26	20	0	999999	999999	40	540	1000	60000000
9	5	0	0	145	26	20	0	999999	999999	40	540	1000	66000000
