INT	INT	INT	INT	INT	INT	INT	INT
主副骑乘主动技能之和（同种技能算一个，即一个有一级悟性，另一个有三级悟性，取和算一个三级悟性）	合出0个主动技能的概率	合出1个主动技能的概率	合出2个主动技能的概率	合出3个主动技能的概率	合出4个主动技能的概率	合出5个主动技能的概率	合出6个主动技能的概率
0	10000000	0	0	0	0	0	0
1	8000000	2000000	0	0	0	0	0
2	3500000	4000000	1500000	0	0	0	0
3	0	8000000	1700000	300000	0	0	0
4	0	0	8000000	1950000	50000	0	0
5	0	0	0	9593750	400000	6250	0
6	0	0	0	7993125	2000000	6250	625
7	0	0	0	0	9799375	200000	625
8	0	0	0	0	8749375	1250000	625
9	0	0	0	0	0	9999375	625
10	0	0	0	0	0	9999375	625
11	0	0	0	0	0	2000000	8000000
12	0	0	0	0	0	0	10000000
20	10000000	0	0	0	0	0	0
21	8000000	2000000	0	0	0	0	0
22	3500000	4000000	1500000	0	0	0	0
23	0	8000000	1700000	300000	0	0	0
24	0	0	8000000	1950000	50000	0	0
25	0	0	0	9593750	400000	6250	0
26	0	0	0	7993125	2000000	6250	625
27	0	0	0	0	9799375	200000	625
28	0	0	0	0	8749375	1250000	625
29	0	0	0	0	0	9999375	625
30	0	0	0	0	0	9999375	625
31	0	0	0	0	0	2000000	8000000
32	0	0	0	0	0	0	10000000
