INT	INT	INT
Index	玩家等级	天赋等级
0	80	30
1	81	33
2	82	36
3	83	39
4	84	42
5	85	45
6	86	48
7	87	51
8	88	54
9	89	57
10	90	60
11	91	63
12	92	66
13	93	69
14	94	72
15	95	75
16	96	78
17	97	81
18	98	84
19	99	87
20	100	90
21	101	93
22	102	96
23	103	99
24	104	102
25	105	105
26	106	108
27	107	111
28	108	114
29	109	117
30	110	120
31	111	123
32	112	126
33	113	129
34	114	132
35	115	135
36	116	138
37	117	141
38	118	144
39	119	147
40	120	150
41	121	153
42	122	156
43	123	159
44	124	162
45	125	165
46	126	168
47	127	171
48	128	174
49	129	177
50	130	180
51	131	183
52	132	186
53	133	189
54	134	192
55	135	195
56	136	198
57	137	201
58	138	204
59	139	207
60	140	210
61	141	213
62	142	216
63	143	219
64	144	222
65	145	225
66	146	228
67	147	231
68	148	234
69	149	237
70	150	240
71	151	243
72	152	246
73	153	249
74	154	252
75	155	255
76	156	258
77	157	261
78	158	264
79	159	267
80	160	270
