INT	INT	INT
ID	最大金钱	等级
1	999999999	1
2	999999999	2
3	999999999	3
4	999999999	4
5	999999999	5
6	999999999	6
7	999999999	7
8	999999999	8
9	999999999	9
10	999999999	10
11	999999999	11
12	999999999	12
13	999999999	13
14	999999999	14
15	999999999	15
16	999999999	16
17	999999999	17
18	999999999	18
19	999999999	19
20	999999999	20
21	999999999	21
22	999999999	22
23	999999999	23
24	999999999	24
25	999999999	25
26	999999999	26
27	999999999	27
28	999999999	28
29	999999999	29
30	999999999	30
31	999999999	31
32	999999999	32
33	999999999	33
34	999999999	34
35	999999999	35
36	999999999	36
37	999999999	37
38	999999999	38
39	999999999	39
40	999999999	40
41	999999999	41
42	999999999	42
43	999999999	43
44	999999999	44
45	999999999	45
46	999999999	46
47	999999999	47
48	999999999	48
49	999999999	49
50	999999999	50
51	999999999	51
52	999999999	52
53	999999999	53
54	999999999	54
55	999999999	55
56	999999999	56
57	999999999	57
58	999999999	58
59	999999999	59
60	999999999	60
61	999999999	61
62	999999999	62
63	999999999	63
64	999999999	64
65	999999999	65
66	999999999	66
67	999999999	67
68	999999999	68
69	999999999	69
70	999999999	70
71	999999999	71
72	999999999	72
73	999999999	73
74	999999999	74
75	999999999	75
76	999999999	76
77	999999999	77
78	999999999	78
79	999999999	79
80	999999999	80
81	999999999	81
82	999999999	82
83	999999999	83
84	999999999	84
85	999999999	85
86	999999999	86
87	999999999	87
88	999999999	88
89	999999999	89
90	999999999	90
91	999999999	91
92	999999999	92
93	999999999	93
94	999999999	94
95	999999999	95
96	999999999	96
97	999999999	97
98	999999999	98
99	999999999	99
100	999999999	100
101	999999999	101
102	999999999	102
103	999999999	103
104	999999999	104
105	999999999	105
106	999999999	106
107	999999999	107
108	999999999	108
109	999999999	109
110	999999999	110
111	999999999	111
112	999999999	112
113	999999999	113
114	999999999	114
115	999999999	115
116	999999999	116
117	999999999	117
118	999999999	118
119	999999999	119
120	999999999	120
121	999999999	121
122	999999999	122
123	999999999	123
124	999999999	124
125	999999999	125
126	999999999	126
127	999999999	127
128	999999999	128
129	999999999	129
130	999999999	130
131	999999999	131
132	999999999	132
133	999999999	133
134	999999999	134
135	999999999	135
136	999999999	136
137	999999999	137
138	999999999	138
139	999999999	139
140	999999999	140
141	999999999	141
142	999999999	142
143	999999999	143
144	999999999	144
145	999999999	145
146	999999999	146
147	999999999	147
148	999999999	148
149	999999999	149
150	999999999	150
151	999999999	151
152	999999999	152
153	999999999	153
154	999999999	154
155	999999999	155
156	999999999	156
157	999999999	157
158	999999999	158
159	999999999	159
160	999999999	160
