INT	INT	INT
玩家等级	每次回复点数	上限点数
1	1	48
2	1	48
3	1	48
4	1	48
5	1	48
6	1	48
7	1	48
8	1	48
9	1	48
10	1	96
11	1	96
12	1	96
13	1	96
14	1	96
15	1	96
16	1	96
17	1	96
18	1	96
19	1	96
20	1	144
21	1	144
22	1	144
23	1	144
24	1	144
25	1	144
26	1	144
27	1	144
28	1	144
29	1	144
30	2	192
31	2	192
32	2	192
33	2	192
34	2	192
35	2	192
36	2	192
37	2	192
38	2	192
39	2	192
40	2	240
41	2	240
42	2	240
43	2	240
44	2	240
45	2	240
46	2	240
47	2	240
48	2	240
49	2	240
50	2	288
51	2	288
52	2	288
53	2	288
54	2	288
55	2	288
56	2	288
57	2	288
58	2	288
59	2	288
60	3	336
61	3	336
62	3	336
63	3	336
64	3	336
65	3	336
66	3	336
67	3	336
68	3	336
69	3	336
70	3	384
71	3	384
72	3	384
73	3	384
74	3	384
75	3	384
76	3	384
77	3	384
78	3	384
79	3	384
80	3	432
81	3	432
82	3	432
83	3	432
84	3	432
85	3	432
86	3	432
87	3	432
88	3	432
89	3	432
90	4	480
91	4	480
92	4	480
93	4	480
94	4	480
95	4	480
96	4	480
97	4	480
98	4	480
99	4	480
100	4	528
101	4	528
102	4	528
103	4	528
104	4	528
105	4	528
106	4	528
107	4	528
108	4	528
109	4	528
110	4	576
111	4	576
112	4	576
113	4	576
114	4	576
115	4	576
116	4	576
117	4	576
118	4	576
119	4	576
120	5	624
121	5	624
122	5	624
123	5	624
124	5	624
125	5	624
126	5	624
127	5	624
128	5	624
129	5	624
130	5	672
131	5	672
132	5	672
133	5	672
134	5	672
135	5	672
136	5	672
137	5	672
138	5	672
139	5	672
140	5	720
141	5	720
142	5	720
143	5	720
144	5	720
145	5	720
146	5	720
147	5	720
148	5	720
149	5	720
150	6	768
151	6	768
152	6	768
153	6	768
154	6	768
155	6	768
156	6	768
157	6	768
158	6	768
159	6	768
160	6	816
