INT	STRING
Level	Exp
1	10
2	45
3	140
4	325
5	630
6	1085
7	1720
8	2565
9	3650
10	5005
11	6660
12	8645
13	10990
14	13725
15	16880
16	20485
17	24570
18	29165
19	34300
20	68956
21	95810
22	120000
23	150579
24	187824
25	201192
26	222841
27	259924
28	302592
29	310990
30	1251143
31	1320651
32	1390160
33	1469597
34	1539105
35	1618543
36	1697980
37	1777418
38	1856856
39	3813009
40	4855871
41	5085377
42	5302804
43	5544390
44	5785976
45	6039640
46	6293305
47	6559050
48	6824794
49	13939491
50	11446321
51	11908062
52	12381955
53	12880149
54	19672605
55	16027280
56	16646985
57	17278842
58	17935000
59	27364242
60	28024350
61	34189707
62	41700232
63	50847380
64	61985378
65	94430849
66	105471995
67	117777061
68	131488420
69	200133111
70	203278075
71	247418457
72	301083868
73	366318707
74	445604125
75	903251606
76	1006824457
77	1122079362
78	1250317003
79	1392981379
80	1415855064
81	1449169301
82	1482483538
83	1515797774
84	1549112011
85	1582426248
86	1615740485
87	1649054722
88	1682368958
89	1731996576
90	2251595549
91	2476755104
92	2724430614
93	2996873675
94	4495310513
95	4720076039
96	4956079841
97	5203883833
98	5464078024
99	7376505333
100	7430265312
101	8173291842
102	8336757679
103	8503492832
104	8673562689
105	9891497937
106	10815327896
107	11643634453
108	12176507143
109	13140372085
110	14827581638
111	14827581638
112	14827581638
113	14827581638
114	14827581638
115	14827581638
116	14827581638
117	14827581638
118	14827581638
119	14827581638
120	14827581638
121	14827581638
122	14827581638
123	14827581638
124	14827581638
125	14827581638
126	14827581638
127	14827581638
128	14827581638
129	14827581638
130	14827581638
131	14827581638
132	14827581638
133	14827581638
134	14827581638
135	14827581638
136	14827581638
137	14827581638
138	14827581638
139	14827581638
140	14827581638
141	14827581638
142	14827581638
143	14827581638
144	14827581638
145	14827581638
146	14827581638
147	14827581638
148	14827581638
149	14827581638
150	14827581638
151	14827581638
152	14827581638
153	14827581638
154	14827581638
155	14827581638
156	14827581638
157	14827581638
158	14827581638
159	14827581638
160	14827581638
