INT	INT	INT	INT	INT	INT	INT
Index	接任务NPC给收信NPC的物品ID	接任务NPC给收信NPC的物品个数	接任务NPC给收信NPC的物品ID	接任务NPC给收信NPC的物品个数	接任务NPC给收信NPC的物品ID	接任务NPC给收信NPC的物品个数
#	楼兰边境	20000	20199			
20000	-1	0	-1	0	-1	0
20001	13011001	1	-1	0	-1	0
20002	13011001	1	13011001	1	-1	0
20003	-1	0	-1	0	-1	0
#	莱茵边境	20200	20399			
#	昆仑边境	20400	20599			
#	敦煌边境	20600	20799			
20600	-1	0	-1	0	-1	0
20601	13050000	1				
20602	13020209	1				
20603	13020215	1				
20604	13020224	1				
20605	13020205	1				
20606	13020206	1				
20607	13020208	1				
20608	13020229	1				
20611	-1	0	-1	0	-1	0
20612	-1	0	-1	0	-1	0
20613	-1	0	-1	0	-1	0
20614	-1	0	-1	0	-1	0
20615	-1	0	-1	0	-1	0
20616	-1	0	-1	0	-1	0
#	楼兰葱岭牧场					
20700	13020435	1	-1	0	-1	0
20701	13020439	1	-1	0	-1	0
#	楼兰王城	20800	20999			
#	莱茵王城	21000	21199			
#	昆仑王城	21200	21399			
#	敦煌王城	21400	21599			
21400	13020100	1	-1	0	-1	0
21450	13011600	1	-1	0	-1	0
21479	13030082	1	-1	0	-1	0
21480	13030083	1	-1	0	-1	0
21481	13030084	1	-1	0	-1	0
21482	13030085	1	-1	0	-1	0
21483	13030071	1	-1	0	-1	0
21484	13030114	1	-1	0	-1	0
21485	13030115	1	-1	0	-1	0
21486	13030116	1	-1	0	-1	0
21487	13030117	1	-1	0	-1	0
21488	13030118	1	-1	0	-1	0
21489	13030119	1	-1	0	-1	0
21490	13030120	1	-1	0	-1	0
#	大都	21600	21999			
21600	13020300	1	-1	0	-1	0
21601	13020305	1	-1	0	-1	0
21700	13011850	1	-1	0	-1	0
21701	13011851	1	-1	0	-1	0
21702	13011852	1	-1	0	-1	0
21703	13020308	1	-1	0	-1	0
21704	13020313	1	-1	0	-1	0
21705	13020315	1	-1	0	-1	0
21706	13020316	1	-1	0	-1	0
21707	13020317	1	-1	0	-1	0
21708	13020320	1	-1	0	-1	0
21709	13020321	1	-1	0	-1	0
21710	13020322	1	-1	0	-1	0
#	威海港					
21750	13020326	1	-1	0	-1	0
21751	13020328	1	-1	0	-1	0
#	太行山					
21800	-1	0	-1	0	-1	0
#	大元皇宫					
#	明教总舵					
#	武林总坛					
#	罕难河草原	22000	22049			
22000	-1	0	-1	0	-1	0
22001	13030037	1	-1	0	-1	0
22002	13030097	1	-1	0	-1	0
22003	13010098	1	-1	0	-1	0
22004	13030036	1	-1	0	-1	0
#	乞颜部大营	22050	22099			
22050	13010029	1	-1	0	-1	0
22051	13010030	1	-1	0	-1	0
22052	-1	0	-1	0	-1	0
22053	13010033	1	-1	0	-1	0
#	塔塔尔部	22100	22149			
22100	-1	0	-1	0	-1	0
22101	13010018	1	-1	0	-1	0
22102	13010019	1	-1	0	-1	0
22103	13010028	1	-1	0	-1	0
#	克烈部大营	22150	22199			
22150	13010053	1	-1	0	-1	0
22151	13010055	1	-1	0	-1	0
22152	13030109	1	-1	0	-1	0
#	乃蛮部草原	22200	22249			
22200	-1	0	-1	0	-1	0
22201	13010109	5	-1	0	-1	0
22202	13010110	1	-1	0	-1	0
22203	13010111	5	-1	0	-1	0
22204	-1	0	-1	0	-1	0
22205	-1	0	-1	0	-1	0
22206	13010113	1	-1	0	-1	0
22207	-1	0	-1	0	-1	0
22208	-1	0	-1	0	-1	0
22209	13010114	5	-1	0	-1	0
22210	13010115	1	-1	0	-1	0
22211	-1	0	-1	0	-1	0
22212	13010116	1	-1	0	-1	0
#	金国乌沙堡	22250	22299			
22250	-1	0	-1	0	-1	0
22251	-1	0	-1	0	-1	0
22252	-1	0	-1	0	-1	0
22253	13010101	1	-1	0	-1	0
22254	-1	0	-1	0	-1	0
22255	-1	0	-1	0	-1	0
22256	-1	0	-1	0	-1	0
22257	-1	0	-1	0	-1	0
22258	-1	0	-1	0	-1	0
22259	13010102	1	-1	0	-1	0
22260	13010103	1	-1	0	-1	0
22261	13010104	1	-1	0	-1	0
22262	-1	0	-1	0	-1	0
22263	-1	0	-1	0	-1	0
#	金国居庸关	22300	22349			
22300	-1	0	-1	0	-1	0
22301	-1	0	-1	0	-1	0
22302	13040006	1	-1	0	-1	0
22303	13040006	1	-1	0	-1	0
22304	-1	0	-1	0	-1	0
22305	13040017	1	-1	0	-1	0
22306	-1	0	-1	0	-1	0
22307	-1	0	-1	0	-1	0
22308	13040019	1	-1	0	-1	0
22309	-1	0	-1	0	-1	0
#	金国凤翔府	22350	22399			
22350	13030044	1	-1	0	-1	0
22351	13030039	1	-1	0	-1	0
22352	13030040	1	-1	0	-1	0
22353	13030041	1	-1	0	-1	0
22354	13030035	1	-1	0	-1	0
22355	13030019	1	-1	0	-1	0
#	金国蔡州城	22400	22449			
22400	13030059	1	-1	0	-1	0
22401	13030100	1	-1	0	-1	0
#	西夏中兴府	22450	22499			
22450	13030110	1	-1	0	-1	0
#	西夏贺兰山	22500	22549			
22500	-1	1	-1	0	-1	0
22501	13040020	1	-1	0	-1	0
