INT	STRING	STRING	INT	INT	STRING	INT	STRING
Index	区域名称	区域所在sceneID	区域ID	"区域自动寻路索引(scenemap_npc.tab中对应的index),-1为无"	进入区域的提示	进入区域是否有对白	进入区域的对白
#	楼兰边境	40000	40199				
40000	船头	51|151|251|351	2	-1	你到达了船头！	1	任务完成！
40001	高地	51|151|251|351	2	-1	侦查敌情完成！	1	\t你看到了海滩处波斯人在集结，好像要修什么工事。
40002	营地北面	51|151|251|351	3	-1	在这里你可以看到逃跑的波斯人。	1	\t陆续有波斯残兵逃到这里，他们在收集残部，大有重新发动进攻的趋势。
40003	瀑布处	51|151|251|351	4	-1	在这里你可以看到瀑布下面！	1	\t站在这里，你能看到瀑布之下，一群巫师打扮的人正在湖边指手画脚地商量着什么似的，而平静的湖面上赫然出现了一个高大威武的巨人。
40004	黑风口	51|151|251|351	5	-1	你来到了笃鲁丁的住处！	1	\t这里一片狼藉，貌似发生过战斗，远处一些海都手下在来回搜寻着什么。
40005	山寨门前	51|151|251|351	6	-1	你来到了山寨正门！	1	\t大门紧紧关闭着，看来要想进去需要另寻办法了。
40006	林子深处	51|151|251|351	7	-1	你来到了树林深处！	1	\t树下站着一个元朝士兵打扮的人，面色苍白，仿佛在跟你说着什么，但是你什么都听不到。
#	莱茵边境	40200	40399				
#	昆仑边境	40400	40599				
#	敦煌边境	40600	40799				
#	楼兰王城	40800	40999				
40800	天水飞瀑	50	5	6500	到达指定地点！	1	果然在附近有神针掉落！赶快回去禀报吧！
40801	北城门	50	6	6501	到达指定地点！	1	这家伙果然又在偷懒，赶快叫醒他吧！
40802	南城门	50	7	6502	到达指定地点！	1	虚心引导下，人们都恢复了正常行程，这下放心了。
40803	东城门	50	8	6503	到达指定地点！	1	看到新手源源不断走入城中，我也回想起了当年的自己！
40804	三岔路口	50	9	6504	到达指定地点！	1	这附近根本没有什么钱包，恐怕早就被人拿走了吧。
40805	龙魂谷	50|150|250|350	15	-1	满地的尸体！一阵阴风吹过，让你忍不住打了个哆嗦。	1	你隐隐听到一声呼救！难道有人还活着？
40806	山坡	50|150|250|350	17	-1	\t竟然有许多衣着奇特的萨满！看起来他们正在努力维持着一个法阵的运转。	1	\t竟然有许多衣着奇特的萨满！看起来他们正在努力维持着一个法阵的运转。
#	莱茵王城	41000	41199				
41000	天水飞瀑	150	5	7500	到达指定地点！	1	果然在附近有神针掉落！赶快回去禀报吧！
41001	北城门	150	6	7501	到达指定地点！	1	这家伙果然又在偷懒，赶快叫醒他吧！
