INT	INT	STRING	STRING	INT	INT	INT	INT	INT
Index	怪物所在地图	怪物名称	怪物Title	怪物TypeID	怪物等级Min	怪物等级Max	"自动寻路索引(scenemap_npc.tab中对应的index),-1为无"	目标杀害数量
#	楼兰边境	10000	10199					
10000	-1	边境巡逻兵		4509	-1	-1	-1	5
10001	-1	绿林大盗		4503	-1	-1	-1	3
10002	-1	海岸守卫者		4500	-1	-1	-1	5
#	莱茵边境	10200	10399					
10200	-1	嗜血监工		-1	-1	-1	-1	1
10201	-1	巨掌玄冰		-1	-1	-1	-1	1
10202	-1	古墓丧尸		-1	-1	-1	-1	20
10203	-1	巴桑		-1	-1	-1	-1	1
10204	-1	火炮		-1	-1	-1	-1	1
10205	-1	恶齿巨鲨		-1	-1	-1	-1	1
10206	-1	通灵骰子		-1	-1	-1	-1	1
10207	-1	毛延寿		-1	-1	-1	-1	1
10208	-1	摩诃末		-1	-1	-1	-1	1
10300	-1	巨掌玄冰		-1	-1	-1	-1	1
10301	-1	地穴恐惧魔		-1	-1	-1	-1	1
10302	-1	三头凶蛟		-1	-1	-1	-1	1
10303	-1	扎兰丁之魂		-1	-1	-1	-1	1
10304	-1	勃鲁合		-1	-1	-1	-1	1
10305	-1	独眼石人		-1	-1	-1	-1	1
10306	-1	通灵骰子		-1	-1	-1	-1	1
#	昆仑边境	10400	10599					
#	敦煌边境	10600	10799					
10600	-1	波斯轻步兵		1500	-1	-1	-1	7
10601	-1	波斯工程兵		1504	-1	-1	-1	8
10602	-1	塔涅斯		1505	-1	-1	-1	1
10603	-1	波斯残兵		1506	-1	-1	-1	6
10604	-1	波斯步兵		1508	-1	-1	-1	8
10605	-1	松林黑鸦		1509	-1	-1	-1	5
10606	-1	五色血玲珑		1511	-1	-1	-1	1
10607	-1	溶火毒蝎		1513	-1	-1	-1	8
10608	-1	草原散兵		1515	-1	-1	-1	5
10609	-1	尤素夫		1516	-1	-1	-1	1
10610	-1	天音魔女		1518	-1	-1	-1	1
10611	-1	草原黑巫师		1520	-1	-1	-1	5
10612	-1	草原斥候		1521	-1	-1	-1	5
10613	-1	斥候都统索穆尔		1522	-1	-1	-1	1
10614	-1	草原长刀兵		1524	-1	-1	-1	5
10615	-1	督军塔克巴		1525	-1	-1	-1	1
10616	-1	草原巨剑兵		1526	-1	-1	-1	5
10617	-1	草原技师		1528	-1	-1	-1	5
10618	-1	草原大盗		1529	-1	-1	-1	6
10619	-1	雪山看守		1530	-1	-1	-1	8
10620	-1	白鬃狼		1533	-1	-1	-1	3
10621	-1	石魔		1535	-1	-1	-1	8
10622	-1	黑暗武士		1917	-1	-1	-1	20
10623	-1	乃颜		1918	-1	-1	-1	1
10624	-1	笃洼		1919	-1	-1	-1	1
10625	-1	帝国巫师		1920	-1	-1	-1	30
10626	-1	陈不凡		1921	-1	-1	-1	1
10627	-1	熔岩毒蝎		1931	-1	-1	-1	30
10628	-1	浴火炽炎		1924	-1	-1	-1	1
10629	-1	古波斯祭祀		1932	-1	-1	-1	30
10630	-1	尼金图·贝尔		1925	-1	-1	-1	1
10631	-1	神秘蒙面人		1926	-1	-1	-1	10
10632	-1	铁英		1927	-1	-1	-1	1
#	敦煌王城	11000	11599					
11060	-1	大内刺客		10400	-1	-1	-1	5
11061	-1	大内刺客		10401	-1	-1	-1	5
11062	-1	大内刺客		10402	-1	-1	-1	5
11063	-1	大内刺客		10403	-1	-1	-1	5
11064	-1	大内刺客		10404	-1	-1	-1	5
11065	-1	大内刺客		10405	-1	-1	-1	5
11066	-1	大内刺客		10406	-1	-1	-1	5
11067	-1	大内刺客		10407	-1	-1	-1	5
11068	-1	大内刺客		10408	-1	-1	-1	5
11069	-1	大内刺客		10409	-1	-1	-1	5
11070	-1	大内刺客		10410	-1	-1	-1	5
11071	-1	大内刺客		10411	-1	-1	-1	5
11072	-1	大内刺客		10412	-1	-1	-1	5
11073	-1	大内刺客		10413	-1	-1	-1	5
11074	-1	大内刺客		10414	-1	-1	-1	5
11075	-1	大内刺客		10415	-1	-1	-1	5
11076	-1	大内刺客		10416	-1	-1	-1	5
11077	-1	大内刺客		10417	-1	-1	-1	5
11078	-1	大内刺客		10418	-1	-1	-1	5
11079	-1	大内刺客		10419	-1	-1	-1	5
11080	-1	大内刺客		10420	-1	-1	-1	5
11081	-1	大内刺客		10421	-1	-1	-1	5
