INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT
Index	"类型:0,收集普通物品;1,收集打怪掉落物品;2，采集物品"	物品ID	物品个数	采集物品类型，即growpoint类型	一次性采集数量上限	怪物所在地图	所杀怪物名称	怪物Title	所杀怪物TypeID	怪物等级Min	怪物等级Max	"自动寻路索引(scenemap_npc.tab中对应的index),-1为无"	掉落概率	一次性掉落数量上限
50003	0	12010001	1	-1	-1	-1			-1	-1	-1	-1	-1	0
50008	1	12010001	2	-1	-1	-1	边境巡逻兵		4509	-1	-1	-1	80	2
50009	1	13011007	1	-1	-1	151	边塞偏将		9506	-1	-1	-1	100	1
50010	1	13011008	1	-1	-1	151	边塞副将		9508	-1	-1	-1	100	1
50011	1	13011009	1	-1	-1	151	段铭德		9510	-1	-1	-1	100	1
50012	0	13010021	1	-1	-1	-1			-1	-1	-1	-1	-1	0
50013	1	13011010	1	-1	-1	-1	姻缘魔兽		9523	-1	-1	-1	100	1
50014	1	13011011	1	-1	-1	-1	姻缘魔圣		9524	-1	-1	-1	100	1
50015	1	13011007	1	-1	-1	51	边塞偏将		9506	-1	-1	-1	100	1
50016	1	13011008	1	-1	-1	51	边塞副将		9508	-1	-1	-1	100	1
50017	1	13011009	1	-1	-1	51	段铭德		9510	-1	-1	-1	100	1
50018	1	13011007	1	-1	-1	251	边塞偏将		9506	-1	-1	-1	100	1
50019	1	13011008	1	-1	-1	251	边塞副将		9508	-1	-1	-1	100	1
50020	1	13011009	1	-1	-1	251	段铭德		9510	-1	-1	-1	100	1
50021	1	13011007	1	-1	-1	351	边塞偏将		9506	-1	-1	-1	100	1
50022	1	13011008	1	-1	-1	351	边塞副将		9508	-1	-1	-1	100	1
50023	1	13011009	1	-1	-1	351	段铭德		9510	-1	-1	-1	100	1
#	楼兰边境	50000	50199											
50040	1	13015000	1	-1	-1	-1		马贼	-1	-1	-1	-1	20	1
50041	2	11030001	1	-1	-1	-1			-1	-1	-1	-1	100	1
50042	2	11031001	1	-1	-1	-1			-1	-1	-1	-1	100	1
50043	2	11020001	1	-1	-1	-1			-1	-1	-1	-1	100	1
50044	2	11020002	1	-1	-1	-1			-1	-1	-1	-1	100	1
50046	1	13015002	5	-1	-1	-1	魔龙军团精锐		-1	-1	-1	-1	50	1
50047	1	13015003	5	-1	-1	-1	龙堡守卫		-1	-1	-1	-1	50	1
50048	1	13015004	1	-1	-1	-1	灰壳蟹		-1	-1	-1	-1	100	1
50049	1	13015005	1	-1	-1	-1	独眼恶灵首领		-1	-1	-1	-1	100	1
50050	1	13015006	1	-1	-1	-1	独眼石人		-1	-1	-1	-1	100	1
50051	1	13015007	1	-1	-1	-1	巨翅蜻蜓		-1	-1	-1	-1	50	1
50052	1	13015008	1	-1	-1	-1	黑翼恐鸟		-1	-1	-1	-1	50	1
