INT	STRING	STRING	STRING	FLOAT	FLOAT	INT	INT	STRING	STRING	STRING	INT					
Index	场景ID	NPC_Name	NPC_UIName	接任务NPC_X坐标	接任务NPC_Z坐标	IsTalkToNpc	NPC类型	NPC类型名	NPC名称拼音索引	显示在地图上的图片名字	逻辑类型 （0默认，1图片）					
#	四国猎场（PVE马场）占用			90000												
#	楼兰猎场	90000	90100													
123832	89	海大	驯龟人海大	22	154	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
90000	89	狂沙部落探马	10级 狂沙部落探马	55.455612	91.374367	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90001	89	狂沙部落探马	20级 狂沙部落探马	51.427345	55.321571	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90002	89	狂沙部落探马	30级 狂沙部落探马	97.809647	86.929222	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90003	89	狂沙部落勇士	40级 狂沙部落勇士	122.44841	32.569832	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90004	89	狂沙部落勇士	50级 狂沙部落勇士	203.013046	40.761467	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90005	89	狂沙部落勇士	60级 狂沙部落勇士	160.265686	102.907486	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90006	89	狂沙部落狂战士	70级 狂沙部落狂战士	199.30986	129.603638	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90007	89	狂沙部落狂战士	80级 狂沙部落狂战士	192.367661	201.088196	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90008	89	狂沙部落狂战士	90级 狂沙部落狂战士	147.85405	200.306564	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90009	89	狂沙部落狂战士	100级 狂沙部落狂战士	50.939453	207.390472	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
124000	89	帖木儿	帖木儿	42.786942	149.675217	1	1	任务	t	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
#	楼兰沙宫	1-8层														
90050	104	幽黑之蛛	30级 幽黑之蛛	83	70	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90051	104	幽蛰之蜂	35级 幽蛰之蜂	110	185	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90052	105	幽纹之豹	40级 幽纹之豹	60	131	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90053	105	幽面之魈	45级 幽面之魈	185	133	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90054	106	幽暗之瞳	50级 幽暗之瞳	84	81	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90055	106	幽焚之齿	55级 幽焚之齿	170.182388	172	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90056	107	幽熔之怪	60级 幽熔之怪	177.002487	166.179779	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90057	107	幽角之牤	65级 幽角之牤	81.001694	132.587341	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90058	108	幽嚎之牛	70级 幽嚎之牛	96.403252	74.678398	0	3	怪物	l	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90059	108	幽冰之爪	75级 幽冰之爪	134.076263	143.597839	0	3	怪物	w	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90060	109	幽金之奴	80级 幽金之奴	112.836784	87.485069	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90061	109	幽岩之奴	85级 幽岩之奴	134.20726	160.757202	0	3	怪物	b	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90062	110	幽焰之奴	90级 幽焰之奴	124.759552	109.740517	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90063	110	幽铁之奴	95级 幽铁之奴	181.479004	149.447006	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90064	111	幽寒之魔	100级 幽寒之魔	183	128	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90065	111	幽燃之魔	105级 幽燃之魔	67	126	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90066	104	一层幽蛰之蜂	一层幽蛰之蜂	110	185	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90067	105	二层幽纹之豹	二层幽纹之豹	60	131	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90068	105	二层幽面之魈	二层幽面之魈	185	133	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
#	天山猎场	90100	90200													
127000	189	天山马场	传送·天山马场	214.2	132.2	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
127008	189	耶律辰	耶律辰	202.552689	119.463608	1	1	任务	y	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
126132	189	海大	驯龟人海大	233	137	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
90100	189	红巾部落探马	10级 红巾部落探马	179.829254	108.15773	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90101	189	红巾部落探马	20级 红巾部落探马	176.445511	173.313705	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90102	189	红巾部落探马	30级 红巾部落探马	189.245697	207.522064	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90103	189	红巾部落勇士	40级 红巾部落勇士	99.236862	220.648941	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90104	189	红巾部落勇士	50级 红巾部落勇士	74.559532	173.834686	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90105	189	红巾部落勇士	60级 红巾部落勇士	147.471283	98.531387	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90106	189	红巾部落狂战士	70级 红巾部落狂战士	212	45	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90107	189	红巾部落狂战士	80级 红巾部落狂战士	146.063293	44.686668	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90108	189	红巾部落狂战士	90级 红巾部落狂战士	66.857361	38.444275	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90109	189	红巾部落狂战士	100级 红巾部落狂战士	54.178711	72.109367	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
#	天山雪殿	1-8层														
90150	204	幽黑之蛛	30级 幽黑之蛛	175	167	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90151	204	幽蛰之蜂	35级 幽蛰之蜂	139	62	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90152	205	幽纹之豹	40级 幽纹之豹	134.20726	160.757202	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90153	205	幽面之魈	45级 幽面之魈	112.836784	87.485069	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90154	206	幽暗之瞳	50级 幽暗之瞳	134.076263	143.597839	0	3	怪物	w	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90155	206	幽焚之齿	55级 幽焚之齿	96.403252	74.678398	0	3	怪物	l	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
