INT	STRING	INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT												
技能ID	等级需求	职业需求	前提点数需求	父技能ID	父技能等级需求	消耗点数	消耗金钱	消耗经验	消耗物品1ID	消耗物品1数量	消耗物品2ID	消耗物品2数量	消耗物品3ID	消耗物品3数量	骑乘技能是否判断互斥												
0	0		0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
2	60|61|62	-1	1	1	0	0	1|2|3|4|5	0	30001001|0|0|0|0		30001001|0|0|0|0		30001001|0|0|0|0		-1												
3															-1												
4															-1												
5															-1												
6															-1												
7															-1												
8															-1												
9															-1												
10	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
11	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
12	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
13	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
14	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
15	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
16	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
17	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
18	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
19	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
20	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
21	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
22	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
23	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
24	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
25	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
26	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
27	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
28	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
29	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
30	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
31	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
32	1	-1	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1												
