INT	INT	STRING	INT	STRING	STRING	STRING	INT	STRING	INT	STRING	INT	INT
称号ID	TYPE	显示颜色	默认显示	男性称号	女性称号	称号描述	称号时限	获取途径	效果ID	回收原因	组合称号ID	分类(1任务，2剧情，3特殊)
0	1	#G	1	帮主	帮主	帮会的帮主。	0		100001		1	0
1	1	#G	1	自定义称号	自定义称号	帮会的自定义称号	0		0		2	0
2	0	#G	1	国王	国王	一国之君，无比荣耀	0					0
3	0	#G	1	皇帝	皇帝	世界之王者，万国之圣君	0					0
4	2	#B	0	%n的夫君	%n的娘子	夫妻称号	0	成功建立夫妻关系的男女双方将自动获得称号。	8600		255	3
5	2	#B	0	%n的徒弟	%n的徒弟	师徒称号	0	成功建立师徒关系的徒弟将获得此称号	8601		255	3
6	2	#B	0	乌龙宗师	乌龙宗师	乌龙辞典第一名！	10000	参加乌龙辞典	8607		255	3
7	2	#B	0	乌龙高手	乌龙高手	乌龙辞典第二名！	10000	参加乌龙辞典	8608		255	3
8	2	#B	0	乌龙强人	乌龙强人	乌龙辞典第三名！	10000	参加乌龙辞典	8609		255	3
9	2	#B	0	初为人师	初为人师	师傅称号	0	成功成为师傅时获得此称号	8602		255	3
10	2	#B	0	为人师表	为人师表	师傅称号	0	威望商人处以威望值兑换而得	8603		255	3
11	2	#B	0	诲人不倦	诲人不倦	师傅称号	0	威望商人处以威望值兑换而得	8604		255	3
12	2	#B	0	厚德树人	厚德树人	师傅称号	0	威望商人处以威望值兑换而得	8605		255	3
13	2	#B	0	名扬四海	名扬四海	师傅称号	0	威望商人处以威望值兑换而得	8606		255	3
14	2	#B	0	乌龙才子	乌龙才女	乌龙辞典三十强！	10000	参加乌龙辞典	8610		255	3
15	2	#G	1	世界杯冠军	世界杯冠军	世界杯大赛称号	40000	参加世界杯大赛并获得第一名	8810		255	3
16	2	#G	1	世界杯亚军	世界杯亚军	世界杯大赛称号	40000	参加世界杯大赛并获得第二名	8811		255	3
17	2	#G	1	世界杯季军	世界杯季军	世界杯大赛称号	40000	参加世界杯大赛并获得第三名	8812		255	3
18	2	#B	0	铁人三项冠军	铁人三项冠军	铁人三项第一名！	1440	参加铁人三项并获得第一名	-1		255	3
19	2	#B	0	铁人三项亚军	铁人三项亚军	铁人三项第二名！	1440	参加铁人三项并获得第二名	-1		255	3
20	2	#B	0	铁人三项季军	铁人三项季军	铁人三项第三名！	1440	参加铁人三项并获得第三名	-1		255	3
21	2	#B	0	屠戮成性	屠戮成性	杀敌排行榜第1名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8800		255	3
22	2	#B	0	刀下万魂	刀下万魂	杀敌排行榜第2至3名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8801		255	3
23	2	#B	0	十步一杀	十步一杀	杀敌排行榜第4至20名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8802		255	3
24	2	#B	0	凶神恶煞	凶神恶煞	杀敌排行榜第21至50名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8803		255	3
25	2	#B	0	追凶夺命	追凶夺命	杀敌排行榜第51至100名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8804		255	3
26	2	#B	0	风流才子	绝代佳人	玫瑰排行榜第1名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8805		255	3
27	2	#B	0	玉面郎君	倾城佳丽	玫瑰排行榜第2至3名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8806		255	3
28	2	#B	0	英俊潇洒	千娇百媚	玫瑰排行榜第4至20名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8807		255	3
29	2	#B	0	玉树临风	秋水伊人	玫瑰排行榜第21至50名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8808		255	3
30	2	#B	0	风度翩翩	楚楚动人	玫瑰排行榜第51至100名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8809		255	3
