INT	STRING												
#	NPC对话												
101000	\dialog\city_dadu\dialog_city_dadu_139348.lua												
101001	\dialog\city_dadu\dialog_city_dadu_139301.lua												
101002	\dialog\city_dadu\dialog_city_dadu_139302.lua												
102000	\dialog\yewai_xixiazhongxingfu\dialog_yewai_xixiazhongxingfu_110041.lua												
103000	\dialog\readme\dialog_readme_weiwangshop.lua												
#	罕难河草原												
200000	\quest\hannanhecaoyuan\quest_hannanhecaoyuan_song.lua												
200001	\quest\hannanhecaoyuan\quest_hannanhecaoyuan_xinren.lua												
#	乞颜部大营												
200500	\quest\qiyanbudaying\quest_qiyanbudaying_bijian_5.lua												
200501	\quest\qiyanbudaying\quest_qiyanbudaying_xianranxinhao.lua												
200502	\quest\qiyanbudaying\quest_qiyanbudaying_xunwenzhuangkuang.lua												
200503	\quest\qiyanbudaying\quest_qiyanbudaying_bijian_1.lua												
#	乃蛮部大营												
202000	\quest\naimanbucaoyuan\quest_naimanbucaoyuan_yingjiu.lua												
202001	\quest\naimanbucaoyuan\quest_naimanbucaoyuan_chengjisihan.lua												
202002	\quest\naimanbucaoyuan\quest_naimanbucaoyuan_diyingmitan.lua												
#	金国居庸关												
203000	\quest\juyongguan\quest_juyongguan_hudao.lua												
203001	\quest\juyongguan\quest_juyongguan_cike.lua												
#	金国凤翔府												
203101	\quest\fengxiangfu\quest_fengxiangfu_dati.lua												
#	金国蔡州城												
#	阿尔泰山												
203110	\quest\aertaishan\quest_aertaishan_tuolei.lua												
203111	\quest\aertaishan\quest_aertaishan_shenwen.lua												
203112	\quest\aertaishan\quest_aertaishan_juezhan.lua												
#	西夏中兴府												
203300	\quest\zhongxingfu\quest_zhongxingfu_tala.lua												
203302	\quest\zhongxingfu\quest_zhongxingfu_huwei.lua												
203303	\quest\zhongxingfu\quest_zhongxingfu_yuweizhang.lua												
203304	\quest\zhongxingfu\quest_zhongxingfu_diyiyongshi.lua												
203305	\quest\zhongxingfu\quest_zhongxingfu_dati.lua												
203306	\quest\zhongxingfu\quest_zhongxingfu_liliang.lua												
#	西辽碎叶城												
203310	\quest\xiliaosuiyecheng\quest_xiliaosuiyecheng_quchulv.lua												
203311	\quest\xiliaosuiyecheng\quest_xiliaosuiyecheng_shalong.lua												
203312	\quest\xiliaosuiyecheng\quest_xiliaosuiyecheng_kanxi.lua												
#	突厥红沙漠												
203313	\quest\tujuehongshamo\quest_tujuehongshamo_kanxi.lua												
#	突厥玉龙城												
203314	\growpoint\yewai_yulongchijie\growpoint_yulongchijie_0.lua												
203315	\quest\yulongcheng\quest_yulongcheng_gongcheng.lua												
#	安庆路												
203316	\quest\anqinglu\quest_anqinglu_kanxi.lua												
#	波斯高原												
203317	\quest\bosigaoyuan\quest_bosigaoyuan_yingjiu.lua												
203318	\quest\bosigaoyuan\quest_bosigaoyuan_sihaifengwang.lua												
203320	\quest\bosigaoyuan\quest_bosigaoyuan_yongyetianlao.lua												
#	莫斯科公国												
203325	\quest\mosikegongguo\quest_mosike_mitan.lua												
203326	\dialog\yewai_mosike\dialog_yewai_mosikegongguo_117014.lua												
203327	\quest\mosikegongguo\quest_mosike_gounannv.lua												
203328	\quest\mosikegongguo\quest_mosike_toutinggounannv.lua												
203329	\dialog\yewai_mosike\dialog_yewai_mosikegongguo_117006.lua												
203330	\quest\mosikegongguo\quest_mosike_shadagong.lua												
203331	\quest\mosikegongguo\quest_mosike_quanxiang.lua												
#	基辅公国												
203336	\quest\jifugongguo\quest_jifu_kanxi1.lua												
203337	\quest\dunhuangwangcheng\quest_90mingyunshengjian.lua												
203338	\quest\jifugongguo\quest_jifu_zhaolong.lua												
203339	\quest\jifugongguo\quest_jifu_caijilushui.lua												
203340	\quest\jifugongguo\quest_jifu_suanming.lua												
#	匈牙利王国												
203350	\quest\xiongyaliwangguo\quest_xiongyaliwangguo_shizijun.lua												
203351	\quest\xiongyaliwangguo\quest_xiongyaliwangguo_chuanjiaoshi.lua												
#	新手村												
203400	\quest\conglingmuchang\item_conglingmuchang_junxu.lua												
203401	\quest\conglingmuchang\quest_conglingmuchang_bailuzhanglao.lua												
203410	\quest\conglingmuchang\quest_conglingmuchang_canglangzhanglao.lua												
203411	\quest\conglingmuchang\quest_conglingmuchang_chiguidesuicong.lua												
203412	\quest\conglingmuchang\quest_conglingmuchang_xinbingruwu.lua												
203413	\quest\conglingmuchang\quest_conglingmuchang_xinbingdezhuangbei0.lua												
203414	\quest\conglingmuchang\quest_conglingmuchang_xinbingdebuji.lua												
203415	\quest\conglingmuchang\quest_conglingmuchang_xinbingxunlian.lua												
203420	\quest\hetianmuchang\quest_hetianmuchang_canglangzhanglao.lua												
203421	\quest\hetianmuchang\quest_hetianmuchang_chiguidesuicong.lua												
203422	\quest\hetianmuchang\quest_hetianmuchang_xinbingruwu.lua												
203423	\quest\hetianmuchang\quest_hetianmuchang_xinbingdezhuangbei0.lua												
203424	\quest\hetianmuchang\quest_hetianmuchang_xinbingdebuji.lua												
203425	\quest\hetianmuchang\quest_hetianmuchang_xinbingxunlian.lua												
203430	\quest\qinghaimuchang\quest_qinghaimuchang_canglangzhanglao.lua												
203431	\quest\qinghaimuchang\quest_qinghaimuchang_chiguidesuicong.lua												
203432	\quest\qinghaimuchang\quest_qinghaimuchang_xinbingruwu.lua												
203433	\quest\qinghaimuchang\quest_qinghaimuchang_xinbingdezhuangbei0.lua												
203434	\quest\qinghaimuchang\quest_qinghaimuchang_xinbingdebuji.lua												
203435	\quest\qinghaimuchang\quest_qinghaimuchang_xinbingxunlian.lua												
203440	\quest\ganzhoumuchang\quest_ganzhoumuchang_canglangzhanglao.lua												
203441	\quest\ganzhoumuchang\quest_ganzhoumuchang_chiguidesuicong.lua												
203442	\quest\ganzhoumuchang\quest_ganzhoumuchang_xinbingruwu.lua												
203443	\quest\ganzhoumuchang\quest_ganzhoumuchang_xinbingdezhuangbei0.lua												
203444	\quest\ganzhoumuchang\quest_ganzhoumuchang_xinbingdebuji.lua												
203445	\quest\ganzhoumuchang\quest_ganzhoumuchang_xinbingxunlian.lua												
#	楼兰葱岭牧场												
203500	\quest\conglingmuchang\quest_conglingmuchang_churushijie.lua												
203501	\quest\conglingmuchang\quest_conglingmuchang_chengzhangzhilu.lua												
203502	\quest\conglingmuchang\quest_conglingmuchang_wushiwuqi.lua												
203503	\quest\conglingmuchang\quest_conglingmuchang_jianxiawuqi.lua												
203504	\quest\conglingmuchang\quest_conglingmuchang_qishewuqi.lua												
203505	\quest\conglingmuchang\quest_conglingmuchang_huoqiangwuqi.lua												
203506	\quest\conglingmuchang\quest_conglingmuchang_xianzhiwuqi.lua												
203507	\quest\conglingmuchang\quest_conglingmuchang_samanwuqi.lua												
203508	\quest\conglingmuchang\quest_conglingmuchang_shizijunwuqi.lua												
203509	\quest\conglingmuchang\quest_conglingmuchang_shenghuoshiwuqi.lua												
203510	\quest\conglingmuchang\quest_conglingmuchang_cikewuqi.lua												
203511	\quest\conglingmuchang\quest_conglingmuchang_jinweijunwuqi.lua												
203512	\quest\conglingmuchang\quest_conglingmuchang_yinxiushiwuqi.lua												
203513	\quest\conglingmuchang\quest_conglingmuchang_lamawuqi.lua												
203514	\quest\conglingmuchang\quest_conglingmuchang_churuloulan.lua												
203515	\quest\conglingmuchang\quest_conglingmuchang_wushijieshao.lua												
203516	\quest\conglingmuchang\quest_conglingmuchang_jianxiajieshao.lua												
203517	\quest\conglingmuchang\quest_conglingmuchang_qishejieshao.lua												
203518	\quest\conglingmuchang\quest_conglingmuchang_huoqiangjieshao.lua												
203519	\quest\conglingmuchang\quest_conglingmuchang_xianzhijieshao.lua												
203520	\quest\conglingmuchang\quest_conglingmuchang_samanjieshao.lua												
203521	\quest\conglingmuchang\quest_conglingmuchang_shizijunjieshao.lua												
203522	\quest\conglingmuchang\quest_conglingmuchang_shenghuoshijieshao.lua												
203523	\quest\conglingmuchang\quest_conglingmuchang_cikejieshao.lua												
203524	\quest\conglingmuchang\quest_conglingmuchang_jinweijunjieshao.lua												
203525	\quest\conglingmuchang\quest_conglingmuchang_yinxiushijieshao.lua												
203526	\quest\conglingmuchang\quest_conglingmuchang_lamajieshao.lua												
203527	\quest\conglingmuchang\quest_conglingmuchang_wushijineng.lua												
203528	\quest\conglingmuchang\quest_conglingmuchang_jianxiajineng.lua												
203529	\quest\conglingmuchang\quest_conglingmuchang_qishejineng.lua												
203530	\quest\conglingmuchang\quest_conglingmuchang_huoqiangjineng.lua												
203531	\quest\conglingmuchang\quest_conglingmuchang_xianzhijineng.lua												
203532	\quest\conglingmuchang\quest_conglingmuchang_samanjineng.lua												
203533	\quest\conglingmuchang\quest_conglingmuchang_shizijunjineng.lua												
203534	\quest\conglingmuchang\quest_conglingmuchang_shenghuoshijineng.lua												
203535	\quest\conglingmuchang\quest_conglingmuchang_cikejineng.lua												
203536	\quest\conglingmuchang\quest_conglingmuchang_jinweijunjineng.lua												
203537	\quest\conglingmuchang\quest_conglingmuchang_yinxiushijineng.lua												
203538	\quest\conglingmuchang\quest_conglingmuchang_lamajineng.lua												
203539	\quest\conglingmuchang\quest_conglingmuchang_zhuama.lua												
203540	\quest\conglingmuchang\quest_conglingmuchang_shangma.lua												
203541	\quest\conglingmuchang\quest_conglingmuchang_bingqidejinjie.lua												
203542	\quest\conglingmuchang\quest_conglingmuchang_xiaoshiniudao.lua												
203543	\quest\conglingmuchang\quest_conglingmuchang_fangju.lua												
203545	\quest\conglingmuchang\quest_conglingmuchang_xinbingdezhuangbei.lua												
#	青海牧场												
203449	\quest\qinghaimuchang\quest_qinghaimuchang_bailuzhanglao.lua												
203550	\quest\qinghaimuchang\quest_qinghaimuchang_churushijie.lua												
203551	\quest\qinghaimuchang\quest_qinghaimuchang_chengzhangzhilu.lua												
203552	\quest\qinghaimuchang\quest_qinghaimuchang_wushiwuqi.lua												
203553	\quest\qinghaimuchang\quest_qinghaimuchang_jianxiawuqi.lua												
203554	\quest\qinghaimuchang\quest_qinghaimuchang_qishewuqi.lua												
