INT	STRING												
#	NPC¶Ô»°												
101000	quest\zhousha\study.lua	
888888	quest\zhousha\core.lua
888891	quest\zhousha\mission.lua
203500	quest\zhousha\mission.lua	

#	Â¥À¼´ÐÁëÄÁ³¡												
203500	\quest\conglingmuchang\quest_conglingmuchang_churushijie.lua												
203501	\quest\conglingmuchang\quest_conglingmuchang_chengzhangzhilu.lua												
203502	\quest\conglingmuchang\quest_conglingmuchang_wushiwuqi.lua												
203503	\quest\conglingmuchang\quest_conglingmuchang_jianxiawuqi.lua												
203504	\quest\conglingmuchang\quest_conglingmuchang_qishewuqi.lua												
203505	\quest\conglingmuchang\quest_conglingmuchang_huoqiangwuqi.lua												
203506	\quest\conglingmuchang\quest_conglingmuchang_xianzhiwuqi.lua												
203507	\quest\conglingmuchang\quest_conglingmuchang_samanwuqi.lua												
203508	\quest\conglingmuchang\quest_conglingmuchang_shizijunwuqi.lua												
203509	\quest\conglingmuchang\quest_conglingmuchang_shenghuoshiwuqi.lua												
203510	\quest\conglingmuchang\quest_conglingmuchang_cikewuqi.lua												
203511	\quest\conglingmuchang\quest_conglingmuchang_jinweijunwuqi.lua												
203512	\quest\conglingmuchang\quest_conglingmuchang_yinxiushiwuqi.lua												
203513	\quest\conglingmuchang\quest_conglingmuchang_lamawuqi.lua												
203514	\quest\conglingmuchang\quest_conglingmuchang_churuloulan.lua												
203515	\quest\conglingmuchang\quest_conglingmuchang_wushijieshao.lua												
203516	\quest\conglingmuchang\quest_conglingmuchang_jianxiajieshao.lua												
203517	\quest\conglingmuchang\quest_conglingmuchang_qishejieshao.lua												
203518	\quest\conglingmuchang\quest_conglingmuchang_huoqiangjieshao.lua												
203519	\quest\conglingmuchang\quest_conglingmuchang_xianzhijieshao.lua												
203520	\quest\conglingmuchang\quest_conglingmuchang_samanjieshao.lua												
203521	\quest\conglingmuchang\quest_conglingmuchang_shizijunjieshao.lua												
203522	\quest\conglingmuchang\quest_conglingmuchang_shenghuoshijieshao.lua												
203523	\quest\conglingmuchang\quest_conglingmuchang_cikejieshao.lua												
203524	\quest\conglingmuchang\quest_conglingmuchang_jinweijunjieshao.lua												
203525	\quest\conglingmuchang\quest_conglingmuchang_yinxiushijieshao.lua												
203526	\quest\conglingmuchang\quest_conglingmuchang_lamajieshao.lua												
203527	\quest\conglingmuchang\quest_conglingmuchang_wushijineng.lua												
203528	\quest\conglingmuchang\quest_conglingmuchang_jianxiajineng.lua												
203529	\quest\conglingmuchang\quest_conglingmuchang_qishejineng.lua												
203530	\quest\conglingmuchang\quest_conglingmuchang_huoqiangjineng.lua												
203531	\quest\conglingmuchang\quest_conglingmuchang_xianzhijineng.lua												
203532	\quest\conglingmuchang\quest_conglingmuchang_samanjineng.lua												
203533	\quest\conglingmuchang\quest_conglingmuchang_shizijunjineng.lua												
203534	\quest\conglingmuchang\quest_conglingmuchang_shenghuoshijineng.lua												
203535	\quest\conglingmuchang\quest_conglingmuchang_cikejineng.lua												
203536	\quest\conglingmuchang\quest_conglingmuchang_jinweijunjineng.lua												
203537	\quest\conglingmuchang\quest_conglingmuchang_yinxiushijineng.lua												
203538	\quest\conglingmuchang\quest_conglingmuchang_lamajineng.lua												
203539	\quest\conglingmuchang\quest_conglingmuchang_zhuama.lua												
203540	\quest\conglingmuchang\quest_conglingmuchang_shangma.lua												
203541	\quest\conglingmuchang\quest_conglingmuchang_bingqidejinjie.lua												
203542	\quest\conglingmuchang\quest_conglingmuchang_xiaoshiniudao.lua												
203543	\quest\conglingmuchang\quest_conglingmuchang_fangju.lua												
203545	\quest\conglingmuchang\quest_conglingmuchang_xinbingdezhuangbei.lua																						
