INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	属性名称	20-39权重	40-59权重	60-79权重	80-99权重	100-109权重	110-119权重	120-129权重	130-139权重	140-149权重	150-159权重	160以上权重	需要强化次数
0	力量	10	10	20	30	45	45	60	60	75	75	150	1
2	敏捷	10	10	20	30	45	45	60	60	75	75	150	1
4	智力	10	10	20	30	45	45	60	60	75	75	150	1
6	体质	10	10	20	30	45	45	60	60	75	75	150	1
8	全属	3	3	7	10	15	15	20	20	25	25	50	1
10	魔攻	4	4	8	12	18	18	24	24	30	30	60	1
12	近攻	4	4	8	12	18	18	24	24	30	30	60	1
14	远攻	4	4	8	12	18	18	24	24	30	30	60	1
16	魔防	4	4	8	12	18	18	24	24	30	30	60	1
18	近防	4	4	8	12	18	18	24	24	30	30	60	1
20	远防	4	4	8	12	18	18	24	24	30	30	60	1
22	生命值上限	100	100	200	300	450	450	600	600	750	750	1500	1
26	武士怒气上限	0	0	0	0	0	0	0	0	0	0	0	1
27	剑侠能量上限	0	0	0	0	0	0	0	0	0	0	0	1
28	骑射箭支上限	0	0	0	0	0	0	0	0	0	0	0	1
29	火枪子弹上限	0	0	0	0	0	0	0	0	0	0	0	1
30	先知魔法上限	0	0	0	0	0	0	0	0	0	0	0	1
31	萨满灵力上限	0	0	0	0	0	0	0	0	0	0	0	1
38	武士怒气回复	0	0	0	0	0	0	0	0	0	0	0	1
39	剑侠能量回复	0	0	0	0	0	0	0	0	0	0	0	1
40	骑射箭支回复	0	0	0	0	0	0	0	0	0	0	0	1
41	火枪子弹回复	0	0	0	0	0	0	0	0	0	0	0	1
42	先知魔法回复	0	0	0	0	0	0	0	0	0	0	0	1
43	萨满灵力回复	0	0	0	0	0	0	0	0	0	0	0	1
50	命中	1	1	1	1	1	1	1	1	1	1	2	3
51	闪避	1	1	1	1	1	1	1	1	1	1	2	3
53	暴击	1	1	1	1	1	1	1	1	1	1	2	3
54	韧性	1	1	1	1	1	1	1	1	1	1	2	3
88	移动速度	0	0	0	0	0	0	0	0	0	0	0	1
97	暴击伤害	2	2	2	2	2	2	2	2	2	2	4	3
149	近程减免	0	0	0	0	0	0	0	0	0	0	0	1
150	远程减免	0	0	0	0	0	0	0	0	0	0	0	1
151	魔法减免	0	0	0	0	0	0	0	0	0	0	0	1
164	活力上限	0	0	0	0	0	0	0	0	0	0	0	1
165	活力回复	0	0	0	0	0	0	0	0	0	0	0	1
166	采集技能	0	0	0	0	0	0	0	0	0	0	0	1
201	近伤反免疫	0	0	0	0	0	0	0	0	0	0	0	1
202	远伤反免疫	0	0	0	0	0	0	0	0	0	0	0	1
203	魔伤反免疫	0	0	0	0	0	0	0	0	0	0	0	1
