INT	STRING	INT	FLOAT	FLOAT	INT	INT	STRING	INT
index	属性名称	属性组id	属性效果Min(和lv有关)	属性效果Max(和lv有关)	属性效果Min	属性效果Max	部件id	权重
1	力量	167	0.42	0.48	-1	-1	1~12|20~29|35~46	500
2	力量	167	0.3	0.36	-1	-1	1~12|20~29|35~46	1000
3	力量	167	0.18	0.24	-1	-1	1~12|20~29|35~46	1500
4	敏捷	168	0.42	0.48	-1	-1	1~12|20~29|35~46	500
5	敏捷	168	0.3	0.36	-1	-1	1~12|20~29|35~46	1000
6	敏捷	168	0.18	0.24	-1	-1	1~12|20~29|35~46	1500
7	智力	169	0.42	0.48	-1	-1	1~12|20~29|35~46	500
8	智力	169	0.3	0.36	-1	-1	1~12|20~29|35~46	1000
9	智力	169	0.18	0.24	-1	-1	1~12|20~29|35~46	1500
10	体质	170	0.42	0.48	-1	-1	1~12|20~29|35~46	500
11	体质	170	0.3	0.36	-1	-1	1~12|20~29|35~46	1000
12	体质	170	0.18	0.24	-1	-1	1~12|20~29|35~46	1500
13	近攻	172	0.14	0.16	-1	-1	1~12|20~29|35~46	500
14	近攻	172	0.1	0.12	-1	-1	1~12|20~29|35~46	1000
15	近攻	172	0.06	0.08	-1	-1	1~12|20~29|35~46	1500
16	远攻	173	0.14	0.16	-1	-1	1~12|20~29|35~46	500
17	远攻	173	0.1	0.12	-1	-1	1~12|20~29|35~46	1000
18	远攻	173	0.06	0.08	-1	-1	1~12|20~29|35~46	1500
19	魔攻	171	0.14	0.16	-1	-1	1~12|20~29|35~46	500
20	魔攻	171	0.1	0.12	-1	-1	1~12|20~29|35~46	1000
21	魔攻	171	0.06	0.08	-1	-1	1~12|20~29|35~46	1500
22	近防	175	0.14	0.16	-1	-1	1~12|20~29|35~46	500
23	近防	175	0.1	0.12	-1	-1	1~12|20~29|35~46	1000
24	近防	175	0.06	0.08	-1	-1	1~12|20~29|35~46	1500
25	远防	176	0.14	0.16	-1	-1	1~12|20~29|35~46	500
26	远防	176	0.1	0.12	-1	-1	1~12|20~29|35~46	1000
27	远防	176	0.06	0.08	-1	-1	1~12|20~29|35~46	1500
28	魔防	174	0.14	0.16	-1	-1	1~12|20~29|35~46	500
29	魔防	174	0.1	0.12	-1	-1	1~12|20~29|35~46	1000
30	魔防	174	0.06	0.08	-1	-1	1~12|20~29|35~46	1500
31	生命值	177	2.1	2.4	-1	-1	1~12|20~29|35~46	500
32	生命值	177	1.5	1.8	-1	-1	1~12|20~29|35~46	1000
33	生命值	177	0.9	1.2	-1	-1	1~12|20~29|35~46	1500
34	命中	178	-1	-1	2	2	1~12|20~29|35~46	500
35	命中	178	-1	-1	1	1	1~12|20~29|35~46	1000
36	闪避	179	-1	-1	2	2	26~29	250
37	闪避	179	-1	-1	1	1	26~29	500
38	暴击	180	-1	-1	2	2	1~12|21|24|25|35~46	500
39	暴击	180	-1	-1	1	1	1~12|21|24|25|35~46	1000
40	韧性	181	-1	-1	2	2	20|22|23|26|27	250
41	韧性	181	-1	-1	1	1	20|22|23|26|27	500
42	暴击伤害	182	-1	-1	5	12	1~12|35~46	250
43	武士怒气上限点数	183	-1	-1	10	20	24	250
44	剑侠怒气上限点数	184	-1	-1	10	20	24	250
45	骑射手怒气上限点数	185	-1	-1	1	2	24	250
46	火枪手怒气上限点数	186	-1	-1	1	3	24	250
47	先知怒气上限点数	187	-1	-1	750	1500	24	250
48	萨满怒气上限点数	188	-1	-1	750	1500	24	250
49	移动速度	189	-1	-1	400	1000	27	250
