INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2
1	12090001	10	37	12100001	20	37	12100001	40	37	12100001	80	37	12100001	160	37	12100001	30	30	12090001	20	19	12090001	1	10	12090001	20	19	12090001	20	19	12090001	20	19																																																									
2	12090001	20	33	12100001	40	33	12100001	80	33	12100001	160	33	12100001	320	33	12100001	40	40	12090001	80	17	12090001	2	9	12090001	80	17	12090001	80	17	12090001	80	17																																																									
3	12090001	30	29	12100001	60	29	12100001	120	29	12100001	240	29	12100001	480	29	12100001	50	50	12090001	140	15	12090001	3	8	12090001	140	15	12090001	140	15	12090001	140	15																																																									
4	12090001	40	25	12100001	80	25	12100001	160	25	12100001	320	25	12100001	640	25	12100001	60	60	12090001	200	13	12090001	4	7	12090001	200	13	12090001	200	13	12090001	200	13																																																									
5	12090001	50	21	12100001	100	21	12100001	200	21	12100001	400	21	12100001	800	21	12100001	70	70	12090001	260	11	12090001	5	6	12090001	260	11	12090001	260	11	12090001	260	11																																																									
6	12090001	60	17	12100001	120	17	12100001	240	17	12100001	480	17	12100001	960	17	12100001	80	80	12090001	320	9	12090001	6	5	12090001	320	9	12090001	320	9	12090001	320	9																																																									
7	12090001	70	13	12100001	140	13	12100001	280	13	12100001	560	13	12100001	1120	13	12100001	90	90	12090001	380	7	12090001	7	4	12090001	380	7	12090001	380	7	12090001	380	7																																																									
8	12090001	80	9	12100001	160	9	12100001	320	9	12100001	640	9	12100001	1280	9	12100001	100	100	12090001	440	5	12090001	8	3	12090001	440	5	12090001	440	5	12090001	440	5																																																									
9	12090001	90	5	12100001	180	5	12100001	360	5	12100001	720	5	12100001	1440	5	12100001	110	110	12090001	500	3	12090001	9	2	12090001	500	3	12090001	500	3	12090001	500	3																																																									
10	12090001	100	1	12100001	200	1	12100001	400	1	12100001	800	1	12100001	1600	1	12100001	120	120	12090001	560	1	12090001	10	1	12090001	560	1	12090001	560	1																																																												
11	12090001	10	37	12100001	10	37	12100001	10	37	12100001	10	37	12100001	10	37	12100001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37	12090001	10	37									
12	12090001	10	37																																																																																							
13	12090001	10	37	12100001	10	37	12100001	10	37	12100001	10	37	12100001	10	37	12100001	10	37																																																																								
