INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING
ID	题目(文字)	答案	备选0(图)	备选1(图)	备选2(图)	备选3(图)	备选4(图)	备选5(图)
0	把画着火枪的图标找出来	0	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_1	set:CJSH_item_grass_1 image:CJSH_item_grass_1_2	set:CJSH_item_grass_1 image:CJSH_item_grass_1_3	set:CJSH_item_grass_1 image:CJSH_item_grass_1_7	set:CJSH_item_grass_1 image:CJSH_item_grass_1_4	set:CJSH_item_grass_1 image:CJSH_item_grass_1_5
1	把画着火枪的图标找出来	1	set:CJSH_item_grass_1 image:CJSH_item_grass_1_1	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_2	set:CJSH_item_grass_1 image:CJSH_item_grass_1_7	set:CJSH_item_grass_1 image:CJSH_item_grass_1_6	set:CJSH_item_grass_1 image:CJSH_item_grass_1_5	set:CJSH_item_grass_1 image:CJSH_item_grass_1_4
2	把画着火枪的图标找出来	2	set:CJSH_item_grass_1 image:CJSH_item_grass_1_3	set:CJSH_item_grass_1 image:CJSH_item_grass_1_5	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_4	set:CJSH_item_grass_1 image:CJSH_item_grass_1_7	set:CJSH_item_grass_1 image:CJSH_item_grass_1_8	set:CJSH_item_grass_1 image:CJSH_item_grass_1_10
3	把画着火枪的图标找出来	3	set:CJSH_item_grass_1 image:CJSH_item_grass_1_4	set:CJSH_item_grass_1 image:CJSH_item_grass_1_9	set:CJSH_item_grass_1 image:CJSH_item_grass_1_6	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_6	set:CJSH_item_grass_1 image:CJSH_item_grass_1_2	set:CJSH_item_grass_1 image:CJSH_item_grass_1_8
4	把画着火枪的图标找出来	4	set:CJSH_item_grass_1 image:CJSH_item_grass_1_3	set:CJSH_item_grass_1 image:CJSH_item_grass_1_8	set:CJSH_item_grass_1 image:CJSH_item_grass_1_1	set:CJSH_item_grass_1 image:CJSH_item_grass_1_5	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_8	set:CJSH_item_grass_1 image:CJSH_item_grass_1_7
5	把画着火枪的图标找出来	5	set:CJSH_item_grass_1 image:CJSH_item_grass_1_10	set:CJSH_item_grass_1 image:CJSH_item_grass_1_7	set:CJSH_item_grass_1 image:CJSH_item_grass_1_8	set:CJSH_item_grass_1 image:CJSH_item_grass_1_1	set:CJSH_item_grass_1 image:CJSH_item_grass_1_2	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_4
6	把画着火枪的图标找出来	4	set:CJSH_item_grass_1 image:CJSH_item_grass_1_7	set:CJSH_item_grass_1 image:CJSH_item_grass_1_4	set:CJSH_item_grass_1 image:CJSH_item_grass_1_2	set:CJSH_item_grass_1 image:CJSH_item_grass_1_6	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_9	set:CJSH_item_grass_1 image:CJSH_item_grass_1_8
7	把画着火枪的图标找出来	3	set:CJSH_item_grass_1 image:CJSH_item_grass_1_6	set:CJSH_item_grass_1 image:CJSH_item_grass_1_5	set:CJSH_item_grass_1 image:CJSH_item_grass_1_0	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_7	set:CJSH_item_grass_1 image:CJSH_item_grass_1_7	set:CJSH_item_grass_1 image:CJSH_item_grass_1_9
8	把画着火枪的图标找出来	2	set:CJSH_item_grass_1 image:CJSH_item_grass_1_5	set:CJSH_item_grass_1 image:CJSH_item_grass_1_4	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_5	set:CJSH_item_grass_1 image:CJSH_item_grass_1_1	set:CJSH_item_grass_1 image:CJSH_item_grass_1_6	set:CJSH_item_grass_1 image:CJSH_item_grass_1_3
9	把画着火枪的图标找出来	1	set:CJSH_item_grass_1 image:CJSH_item_grass_1_4	set:CJSH_equip_qiang_1 image:CJSH_equip_qiang_1_3	set:CJSH_item_grass_1 image:CJSH_item_grass_1_1	set:CJSH_item_grass_1 image:CJSH_item_grass_1_2	set:CJSH_item_grass_1 image:CJSH_item_grass_1_6	set:CJSH_item_grass_1 image:CJSH_item_grass_1_9
10	把画着法杖的图标找出来	0	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_12	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_1	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_2	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_3	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_4	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_5
11	把画着法杖的图标找出来	1	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_1	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_11	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_3	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_4	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_5	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_6
12	把画着法杖的图标找出来	2	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_2	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_3	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_10	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_5	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_6	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_7
13	把画着法杖的图标找出来	3	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_3	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_4	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_5	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_9	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_7	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_8
14	把画着法杖的图标找出来	4	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_4	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_5	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_6	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_7	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_8	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_9
15	把画着法杖的图标找出来	5	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_5	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_6	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_7	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_8	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_9	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_7
16	把画着法杖的图标找出来	4	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_6	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_7	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_8	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_9	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_6	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_10
17	把画着法杖的图标找出来	3	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_7	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_8	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_9	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_5	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_10	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_1
18	把画着法杖的图标找出来	2	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_8	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_9	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_4	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_10	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_1	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_2
19	把画着法杖的图标找出来	1	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_9	set:CJSH_equip_fazhang_2 image:CJSH_equip_fazhang_2_3	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_10	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_1	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_2	set:CJSH_item_hongyao_1 image:CJSH_item_hongyao_1_1
20	把画着刀的图标找出来	0	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_1	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_2	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_3	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_4	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_5	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_6
21	把画着刀的图标找出来	1	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_2	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_2	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_4	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_5	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_6	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_7
22	把画着刀的图标找出来	2	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_3	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_4	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_3	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_6	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_7	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_8
23	把画着刀的图标找出来	3	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_4	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_5	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_6	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_4	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_8	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_9
24	把画着刀的图标找出来	4	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_5	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_6	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_7	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_8	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_5	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_10
