INT	INT	INT
Index	answer1	answer2
0	0	-1
1	0	-1
2	0	-1
3	3	-1
4	3	-1
5	0	-1
6	1	-1
7	2	-1
8	3	-1
9	0	-1
10	1	-1
11	2	-1
12	3	-1
13	0	-1
14	1	-1
15	2	-1
16	3	-1
17	0	-1
18	1	-1
19	2	-1
20	3	-1
21	0	-1
22	1	-1
23	2	-1
24	3	-1
25	0	-1
26	1	-1
27	2	-1
28	3	-1
29	0	-1
30	1	-1
31	2	-1
32	3	-1
33	0	-1
34	1	-1
35	2	-1
36	3	-1
37	0	-1
38	1	-1
39	2	-1
40	3	-1
41	2	-1
42	0	-1
43	1	-1
44	3	-1
45	0	-1
46	2	-1
47	1	-1
48	3	-1
49	2	-1
50	1	-1
51	2	-1
52	3	-1
53	0	-1
54	3	-1
55	1	-1
56	2	-1
57	0	-1
58	1	-1
59	2	-1
60	3	-1
61	1	-1
62	2	-1
63	2	-1
64	0	-1
65	3	-1
66	1	-1
67	2	-1
68	1	-1
69	3	-1
70	0	-1
71	2	-1
72	3	-1
73	1	-1
74	0	-1
75	2	-1
76	3	-1
77	3	-1
78	2	-1
79	1	-1
80	0	-1
81	2	-1
82	1	-1
83	3	-1
84	0	-1
85	2	-1
86	1	-1
87	2	-1
88	1	-1
89	0	-1
90	3	-1
91	0	-1
92	1	-1
93	2	-1
94	3	-1
95	1	-1
96	0	-1
97	2	-1
98	0	-1
99	3	-1
100	1	-1
101	2	-1
102	0	-1
103	1	-1
104	0	-1
105	2	-1
106	1	-1
107	1	-1
108	3	-1
109	0	-1
110	2	-1
111	2	-1
112	1	-1
113	1	-1
114	0	-1
115	2	-1
116	3	-1
117	1	-1
118	2	-1
119	0	-1
120	3	-1
121	1	-1
122	3	-1
123	2	-1
124	0	-1
125	1	-1
126	3	-1
127	1	-1
128	0	-1
129	2	-1
130	1	-1
131	3	-1
132	1	-1
133	2	-1
134	0	-1
135	1	-1
136	0	-1
137	3	-1
138	2	-1
139	3	-1
140	1	-1
141	2	-1
142	0	-1
143	1	-1
144	3	-1
145	2	-1
146	1	-1
147	0	-1
148	1	-1
149	3	-1
150	2	-1
151	3	-1
152	3	-1
153	0	-1
154	1	-1
155	1	-1
156	2	-1
157	3	-1
158	0	-1
159	3	-1
160	0	-1
161	1	-1
162	2	-1
163	0	-1
164	3	-1
165	3	-1
166	0	-1
167	1	-1
168	2	-1
169	0	-1
170	3	-1
171	1	-1
172	1	-1
173	2	-1
174	0	-1
175	0	-1
176	2	-1
177	1	-1
178	1	-1
179	3	-1
180	0	-1
181	1	-1
182	3	-1
183	2	-1
184	3	-1
185	0	-1
186	1	-1
187	0	-1
188	1	-1
189	1	-1
190	2	-1
191	2	-1
192	2	-1
193	1	-1
194	0	-1
195	3	-1
196	3	-1
197	2	-1
198	0	-1
199	0	-1
200	3	-1
201	0	-1
202	2	-1
203	2	-1
204	1	-1
205	1	-1
206	0	-1
207	3	-1
208	2	-1
209	3	-1
210	2	-1
211	0	-1
212	2	-1
213	1	-1
214	0	-1
215	0	-1
216	3	-1
217	1	-1
218	2	-1
219	1	-1
220	2	-1
221	0	-1
222	0	-1
223	2	-1
224	3	-1
225	1	-1
226	0	-1
227	3	-1
228	1	-1
229	2	-1
230	1	-1
231	1	-1
232	0	-1
233	2	-1
234	3	-1
235	2	-1
236	0	-1
237	2	-1
238	1	-1
239	1	-1
240	3	-1
241	2	-1
242	0	-1
243	1	-1
244	2	-1
245	3	-1
246	2	-1
247	2	-1
248	2	-1
249	0	-1
250	3	-1
251	3	-1
252	3	-1
253	2	-1
254	3	-1
255	2	-1
256	1	-1
257	3	-1
258	3	-1
259	2	-1
260	3	-1
261	0	-1
262	2	-1
263	3	-1
264	3	-1
265	3	-1
266	2	-1
267	0	-1
268	0	-1
269	1	-1
270	1	-1
271	2	-1
272	1	-1
273	0	-1
274	2	-1
275	2	-1
276	2	-1
277	3	-1
278	3	-1
279	1	-1
280	3	-1
281	0	-1
282	0	-1
283	0	-1
284	0	-1
285	0	-1
286	3	-1
287	1	-1
288	0	-1
289	3	-1
290	0	-1
291	1	-1
292	1	-1
293	2	-1
294	1	-1
295	1	-1
296	1	-1
297	1	-1
298	2	-1
299	3	-1
300	2	-1
301	1	-1
302	3	-1
303	1	-1
304	0	-1
305	2	-1
306	3	-1
307	0	-1
308	3	-1
309	1	-1
310	2	-1
311	0	-1
312	1	-1
313	2	-1
314	2	-1
315	0	-1
316	0	-1
317	2	-1
318	3	-1
319	1	-1
320	3	-1
321	0	-1
322	2	-1
323	2	-1
324	2	-1
325	2	-1
326	1	-1
327	2	-1
328	3	-1
329	0	-1
330	3	-1
331	1	-1
332	3	-1
333	2	-1
334	2	-1
335	0	-1
336	1	-1
337	2	-1
