INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
级别	武士力量	武士体质	武士智力	武士敏捷	武士技能点	剑侠力量	剑侠体质	剑侠智力	剑侠敏捷	剑侠技能点	骑射力量	骑射体质	骑射智力	骑射敏捷	骑射技能点	火枪力量	火枪体质	火枪智力	火枪敏捷	火枪技能点	先知力量	先知体质	先知智力	先知敏捷	先知技能点	萨满力量	萨满体质	萨满智力	萨满敏捷	萨满技能点	十字军力量	十字军体质	十字军智力	十字军敏捷	十字军技能点	圣火使力量	圣火使体质	圣火使智力	圣火使敏捷	圣火使技能点	刺客力量	刺客体质	刺客智力	刺客敏捷	刺客技能点	近卫军力量	近卫军体质	近卫军智力	近卫军敏捷	近卫军技能点	隐修士力量	隐修士体质	隐修士智力	隐修士敏捷	隐修士技能点	喇嘛力量	喇嘛体质	喇嘛智力	喇嘛敏捷	喇嘛技能点
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	6	2	3	0	7	4	2	3	0	3	4	3	5	0	3	3	4	5	0	2	4	6	3	0	2	6	5	3	0	5	6	2	3	0	7	4	2	3	0	3	4	3	5	0	3	3	4	5	0	2	4	6	3	0	2	6	5	3	0
2	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
3	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
4	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
5	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
6	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
7	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
8	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
9	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
10	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
11	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
12	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
13	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
14	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
15	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
16	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
17	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
18	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
19	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
20	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
21	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
22	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
23	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
24	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
25	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
26	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
27	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
28	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
29	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
30	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
31	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
32	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
33	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
34	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
35	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
36	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
37	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
38	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
39	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
40	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
41	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
42	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
43	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
44	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
45	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
46	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
47	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
48	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
49	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
50	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
51	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
52	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
53	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
