INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	商店名	商店索引	商品id	"货币类型CU_SILLER,=0//银CU_BINDSILLER,=1//绑定的银CU_GOLD,=2//金CU_BINDGOLD,=3//绑定的金"	价格	数量	更新间隔时间	更新最小个数	更新最大个数	每次价格增加	每次价格减少	衰减时间	权重
1	神秘商店	0	12030203	3	15000	1	3600	6	6	0	0	3600	1
2	神秘商店	0	12010024	3	19800	2	3600	6	6	0	0	3600	1
3	神秘商店	0	12035002	3	2000	5	3600	6	6	0	0	3600	1
4	神秘商店	0	11000552	3	7000	20	3600	6	6	0	0	3600	1
5	神秘商店	0	12030218	3	2000	35	3600	6	6	0	0	3600	1
6	神秘商店	0	11010113	3	15000	3	3600	6	6	0	0	3600	1
7	神秘商店	0	19010004	3	40000	3	3600	6	6	0	0	3600	1
8	神秘商店	0	11000214	3	3000	2	3600	6	6	0	0	3600	1
9	神秘商店	0	11000216	3	3000	2	3600	6	6	0	0	3600	1
10	神秘商店	0	12030511	3	19600	1	3600	6	6	0	0	3600	1
