INT	STRING	INT	INT
编号	玩法名称	玩法ID	是否打开
1	四大法王	1001	0
2	赵王府斗戏	1002	0
3	银票换银卡	1003	1
4	相国寺比武	1004	0
5	生死财神	1005	0
6	益者三友	1006	1
7	天坛灯谜会	1007	1
8	领取国运补偿	1008	1
9	领取出国补偿	1009	1
10	大内密探	1010	0
11	紫青宝剑	1011	0
12	谍影重重	1012	0
13	倾城火雷	1013	0
14	东海海图	1014	0
15	黄道吉日	1015	0
16	副本答题机制	1016	0
17	收集神木	1017	1
18	黑金任务答题	1018	1
19	乌龙词典	1019	1
20	登陆答题	1020	1
21	弱国任务	1021	0
22	现金副本	1022	1
23	新兵速成	1023	0
24	圣女之选	1024	0
25	心诚则灵	1025	0
26	屠城战	1026	0
27	内政任务	1027	1
28	冲星大礼包	1028	1
29	帮会跑钱	1029	1
30	军需武备	1030	1
31	弹劾国王	1031	0
32	弹劾帮主	1032	1
33	国民津贴领取	1033	1
34	帮会津贴领取	1034	1
35	智力竞赛排行榜	1035	1
36	CDKEY领奖	1036	1
37	师徒任务	1037	1
38	猜谜	1038	1
39	暴龙大作战	1039	1
40	抢箱子	1040	1
41	游乐场彩票	1041	1
42	游乐场泡澡	1042	1
43	大观园彩票	1043	1
44	大观园泡澡	1044	1
45	大观园挖宝大赛	1045	1
46	大观园镇魔除妖	1046	1
47	领地金钱津贴	1047	1
48	领地经验津贴	1048	1
49	领地图腾进贡	1050	1
50	大观园买生命琼浆	1051	1
51	天赋修行学习（帮会）	1052	1
52	天赋修行学习（个人）	1053	1
53	天赋平衡学习	1054	1
54	节日领奖	1056	1
