INT	FLOAT
宠物等级	所需费用参数
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	100
11	120
12	140
13	160
14	180
15	200
16	220
17	240
18	260
19	280
20	300
21	330
22	360
23	390
24	420
25	450
26	480
27	510
28	540
29	570
30	600
31	640
32	680
33	720
34	760
35	800
36	840
37	880
38	920
39	960
40	1000
41	1050
42	1100
43	1150
44	1200
45	1250
46	1300
47	1350
48	1400
49	1450
50	1500
51	1560
52	1620
53	1680
54	1740
55	1800
56	1860
57	1920
58	1980
59	2040
60	2100
61	2170
62	2240
63	2310
64	2380
65	2450
66	2520
67	2590
68	2660
69	2730
70	2800
71	2880
72	2960
73	3040
74	3120
75	3200
76	3280
77	3360
78	3440
79	3520
80	3600
81	3690
82	3780
83	3870
84	3960
85	4050
86	4140
87	4230
88	4320
89	4410
90	4500
91	4600
92	4700
93	4800
94	4900
95	5000
96	5100
97	5200
98	5300
99	5400
100	5500
