INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
场景号，必须从0开始并且连续	线程号(从0开始)	场景名字	是否激活(1表示激活，0表示不激活)	文件名称	所在服务器号	"场景类型(0表示普通场景，1表示副本,7跨服战场场景类型，8跨服报名场景)"	安全级别	模式限制	惩罚标志	可站立X	可站立Z	客户端资源	初始阵营	创建bus
0	0	大都·中心城	1	city_dadu/city_dadu.scn	5	0	0	-1	0	285	191	0	20	-1
1	1	登陆界面	1	denglujiemiannew/denglujiemiannew.scn	5	0	1	-1	1	92	171	1	20	-1
2	1	大都·泰山	1	yewai_taishan/yewai_taishan.scn	5	0	1	-1	1	11	109	2	20	-1
3	1	边塞·中兴府	1	city_zhongxingfu/city_zhongxingfu.scn	5	0	1	-1	1	16	16	3	20	-1
4	1	大都·太行山	1	yewai_taihangshan/yewai_taihangshan.scn	5	0	1	-1	1	93	19	4	20	-1
5	1	领地·凤翔府	1	yewai_fengxiangfu/yewai_fengxiangfu.scn	5	0	1	-1	1	116	110	5	20	-1
6	1	领地·蔡州城	1	yewai_caizhoucheng/yewai_caizhoucheng.scn	5	0	1	-1	1	87	104	6	20	-1
7	1	领地·秦岭	1	yewai_qinling/yewai_qinling.scn	5	0	1	-1	1	63	74	7	20	-1
8	1	领地·阿尔金山	1	yewai_jinshan/yewai_jinshan.scn	5	0	1	-1	1	102	21	8	20	-1
9	1	领地·碎叶城	1	yewai_suiyecheng/yewai_suiyecheng.scn	5	0	1	-1	1	20	31	9	20	-1
10	1	领地·红沙漠	1	yewai_hongshamo/yewai_hongshamo.scn	5	0	1	-1	1	62	110	10	20	-1
11	1	领地·撒马尔罕	1	yewai_samaerhan/yewai_samaerhan.scn	5	0	1	-1	1	22	96	11	20	-1
12	1	监狱	1	migong_jianyu/migong_jianyu.scn	5	0	1	-1	0	15	35	12	20	-1
13	2	领地·巴格达	1	yewai_bageda/yewai_bageda.scn	5	0	1	-1	1	20	20	13	20	-1
14	2	大都美丽会	1	city_dadumeilihui/city_dadumeilihui.scn	5	0	0	-1	1	16	24	14	20	-1
15	2	威海港	1	city_weihaigang/city_weihaigang.scn	5	0	0	-1	0	162	112	15	20	-1
16	2	领地·波斯高原	1	yewai_bosigaoyuan/yewai_bosigaoyuan.scn	5	0	1	-1	1	100	100	16	20	-1
17	2	领地·莫斯科	1	yewai_mosikegongguo/yewai_mosikegongguo.scn	5	0	1	-1	1	100	100	17	20	-1
18	8	领地·基辅公国	1	yewai_jifugongguo/yewai_jifugongguo.scn	5	0	1	-1	1	100	100	18	20	-1
19	9	领地·波兰王国	1	yewai_bolanwangguo/yewai_bolanwangguo.scn	5	0	1	-1	1	123	57	19	20	-1
20	10	领地·匈牙利	1	yewai_xiongyaliwangguo/yewai_xiongyaliwangguo.scn	5	0	1	-1	1	100	100	20	20	-1
21	10	领地·神圣罗马	1	yewai_shenshengluomadiguo/yewai_shenshengluomadiguo.scn	5	0	1	-1	1	59	91	21	20	-1
22	10	领地·拜占庭	1	yewai_baizhantingdiguo/yewai_baizhantingdiguo.scn	5	0	1	-1	1	59	91	22	20	-1
23	9	领地·大马士革	1	yewai_damashige/yewai_damashige.scn	5	0	1	-1	1	100	100	23	20	-1
24	9	领地·耶路撒冷	1	yewai_yelusaleng/yewai_yelusaleng.scn	5	0	1	-1	1	59	91	24	20	-1
25	9	领地·西奈半岛	1	yewai_xinaibandao/yewai_xinaibandao.scn	5	0	1	-1	1	59	91	25	20	-1
26	9	领地·对马岛	0	yewai_duimadao/yewai_duimadao.scn	5	0	1	-1	1	59	91	26	20	-1
27	9	领地·福冈	0	test/test.scn	5	0	1	-1	1	100	100	27	20	-1
28	60	演武场	0	zhanchang_liurenzhanchang/zhanchang_liurenzhanchang.scn	5	0	1	-1	1	100	100	28	20	-1
29	20	领地·九州岛	0	test/test.scn	5	0	1	-1	1	100	100	29	20	-1
30	9	领地·大理	0	yewai_dali/yewai_dali.scn	5	0	1	-1	1	100	100	30	20	-1
