INT	INT	INT	INT	INT	INT
技能ID	"下一级技能ID(没有下一级,技能ID = -1)"	等级	需求帮会等级	消耗金钱	消耗经验
13500	13501	0	3	2500000	960
13501	13502	1	3	2500000	1440
13502	13503	2	3	2500000	2880
13503	13504	3	3	2500000	7200
13504	13505	4	3	2500000	21600
13505	-1	5	3	-1	-1
#					
13510	13511	0	4	2500000	1200
13511	13512	1	4	2500000	1800
13512	13513	2	4	2500000	3600
13513	13514	3	4	2500000	9000
13514	13515	4	4	2500000	27000
13515	-1	5	4	-1	-1
#					
13520	13521	0	5	2500000	1440
13521	13522	1	5	2500000	2160
13522	13523	2	5	2500000	4320
13523	13524	3	5	2500000	10800
13524	13525	4	5	2500000	32400
13525	-1	5	5	-1	-1
#					
13530	13531	0	6	2500000	1680
13531	13532	1	6	2500000	2520
13532	13533	2	6	2500000	5040
13533	13534	3	6	2500000	12600
13534	13535	4	6	2500000	37800
13535	-1	5	6	-1	-1
#					
13540	13541	0	7	2500000	1920
13541	13542	1	7	2500000	2880
13542	13543	2	7	2500000	5760
13543	13544	3	7	2500000	14400
13544	13545	4	7	2500000	43200
13545	-1	5	7	-1	-1
#					
13550	13551	0	3	2500000	960
13551	13552	1	3	2500000	1440
13552	13553	2	3	2500000	2880
13553	13554	3	3	2500000	7200
13554	13555	4	3	2500000	21600
13555	-1	5	3	-1	-1
#					
13560	13561	0	4	2500000	1200
13561	13562	1	4	2500000	1800
13562	13563	2	4	2500000	3600
13563	13564	3	4	2500000	9000
13564	13565	4	4	2500000	27000
13565	-1	5	4	-1	-1
#					
13570	13571	0	5	2500000	1440
13571	13572	1	5	2500000	2160
13572	13573	2	5	2500000	4320
13573	13574	3	5	2500000	10800
13574	13575	4	5	2500000	32400
13575	-1	5	5	-1	-1
#					
13580	13581	0	6	2500000	1680
13581	13582	1	6	2500000	2520
13582	13583	2	6	2500000	5040
13583	13584	3	6	2500000	12600
13584	13585	4	6	2500000	37800
13585	-1	5	6	-1	-1
#					
13590	13591	0	7	2500000	1920
13591	13592	1	7	2500000	2880
13592	13593	2	7	2500000	5760
13593	13594	3	7	2500000	14400
13594	13595	4	7	2500000	43200
13595	-1	5	7	-1	-1
