INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
装备ID	装备所属套装ID	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量
10019905	670	11000508	1	11050005	1	0	0	0	0
10029005	671	11000508	1	11050005	1	0	0	0	0
10039005	672	11000508	1	11050005	1	0	0	0	0
10049005	673	11000508	1	11050005	1	0	0	0	0
10059005	674	11000508	1	11050005	1	0	0	0	0
10069005	675	11000508	1	11050005	1	0	0	0	0
10078005	670	11000508	1	11050005	1	0	0	0	0
10088005	671	11000508	1	11050005	1	0	0	0	0
10098005	672	11000508	1	11050005	1	0	0	0	0
10108005	673	11000508	1	11050005	1	0	0	0	0
10118005	674	11000508	1	11050005	1	0	0	0	0
10128005	675	11000508	1	11050005	1	0	0	0	0
10209030	670	11000508	1	11050005	1	0	0	0	0
10209031	671	11000508	1	11050005	1	0	0	0	0
10209032	672	11000508	1	11050005	1	0	0	0	0
10209033	673	11000508	1	11050005	1	0	0	0	0
10209034	674	11000508	1	11050005	1	0	0	0	0
10209035	675	11000508	1	11050005	1	0	0	0	0
10209344	670	11000508	1	11050005	1	0	0	0	0
10209345	671	11000508	1	11050005	1	0	0	0	0
10209346	672	11000508	1	11050005	1	0	0	0	0
10209347	673	11000508	1	11050005	1	0	0	0	0
10209348	674	11000508	1	11050005	1	0	0	0	0
10209349	675	11000508	1	11050005	1	0	0	0	0
10239030	670	11000508	1	11050005	1	0	0	0	0
10239031	671	11000508	1	11050005	1	0	0	0	0
10239032	672	11000508	1	11050005	1	0	0	0	0
10239033	673	11000508	1	11050005	1	0	0	0	0
10239034	674	11000508	1	11050005	1	0	0	0	0
10239035	675	11000508	1	11050005	1	0	0	0	0
10239368	670	11000508	1	11050005	1	0	0	0	0
10239369	671	11000508	1	11050005	1	0	0	0	0
10239370	672	11000508	1	11050005	1	0	0	0	0
10239371	673	11000508	1	11050005	1	0	0	0	0
10239372	674	11000508	1	11050005	1	0	0	0	0
10239373	675	11000508	1	11050005	1	0	0	0	0
10249030	670	11000508	1	11050005	1	0	0	0	0
10249031	671	11000508	1	11050005	1	0	0	0	0
10249032	672	11000508	1	11050005	1	0	0	0	0
10249033	673	11000508	1	11050005	1	0	0	0	0
10249034	674	11000508	1	11050005	1	0	0	0	0
10249035	675	11000508	1	11050005	1	0	0	0	0
10249368	670	11000508	1	11050005	1	0	0	0	0
10249369	671	11000508	1	11050005	1	0	0	0	0
10249370	672	11000508	1	11050005	1	0	0	0	0
10249371	673	11000508	1	11050005	1	0	0	0	0
10249372	674	11000508	1	11050005	1	0	0	0	0
10249373	675	11000508	1	11050005	1	0	0	0	0
10259030	670	11000508	1	11050005	1	0	0	0	0
10259031	671	11000508	1	11050005	1	0	0	0	0
10259032	672	11000508	1	11050005	1	0	0	0	0
10259033	673	11000508	1	11050005	1	0	0	0	0
10259034	674	11000508	1	11050005	1	0	0	0	0
10259035	675	11000508	1	11050005	1	0	0	0	0
10259368	670	11000508	1	11050005	1	0	0	0	0
10259369	671	11000508	1	11050005	1	0	0	0	0
10259370	672	11000508	1	11050005	1	0	0	0	0
10259371	673	11000508	1	11050005	1	0	0	0	0
10259372	674	11000508	1	11050005	1	0	0	0	0
10259373	675	11000508	1	11050005	1	0	0	0	0
10269030	670	11000508	1	11050005	1	0	0	0	0
10269031	671	11000508	1	11050005	1	0	0	0	0
10269032	672	11000508	1	11050005	1	0	0	0	0
10269033	673	11000508	1	11050005	1	0	0	0	0
10269034	674	11000508	1	11050005	1	0	0	0	0
10269035	675	11000508	1	11050005	1	0	0	0	0
10269368	670	11000508	1	11050005	1	0	0	0	0
10269369	671	11000508	1	11050005	1	0	0	0	0
10269370	672	11000508	1	11050005	1	0	0	0	0
10269371	673	11000508	1	11050005	1	0	0	0	0
10269372	674	11000508	1	11050005	1	0	0	0	0
10269373	675	11000508	1	11050005	1	0	0	0	0
10279030	670	11000508	1	11050005	1	0	0	0	0
10279031	671	11000508	1	11050005	1	0	0	0	0
10279032	672	11000508	1	11050005	1	0	0	0	0
10279033	673	11000508	1	11050005	1	0	0	0	0
10279034	674	11000508	1	11050005	1	0	0	0	0
10279035	675	11000508	1	11050005	1	0	0	0	0
10279368	670	11000508	1	11050005	1	0	0	0	0
10279369	671	11000508	1	11050005	1	0	0	0	0
10279370	672	11000508	1	11050005	1	0	0	0	0
10279371	673	11000508	1	11050005	1	0	0	0	0
10279372	674	11000508	1	11050005	1	0	0	0	0
10279373	675	11000508	1	11050005	1	0	0	0	0
10354403	670	11000508	1	11050005	1	0	0	0	0
10364403	671	11000508	1	11050005	1	0	0	0	0
10374403	672	11000508	1	11050005	1	0	0	0	0
10384403	673	11000508	1	11050005	1	0	0	0	0
10394403	674	11000508	1	11050005	1	0	0	0	0
10404403	675	11000508	1	11050005	1	0	0	0	0
10414403	670	11000508	1	11050005	1	0	0	0	0
10424403	671	11000508	1	11050005	1	0	0	0	0
10434403	672	11000508	1	11050005	1	0	0	0	0
10444403	673	11000508	1	11050005	1	0	0	0	0
10454403	674	11000508	1	11050005	1	0	0	0	0
10464403	675	11000508	1	11050005	1	0	0	0	0
