INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
装备ID	需求金钱	图谱	个数	生活材料	个数	特殊材料	个数	3条属性几率	4条属性几率	5条属性几率	添加剂	个数	3条属性几率	4条属性几率	5条属性几率
10019950	10000	11032000	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10029100	10000	11032001	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10039100	10000	11032002	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10049100	10000	11032003	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10059100	10000	11032004	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10069100	10000	11032005	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10078100	10000	11032012	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10088100	10000	11032013	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10098100	10000	11032014	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10108100	10000	11032015	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10118100	10000	11032016	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10128100	10000	11032017	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10209600	10000	11032024	1	11033001	1	11033003	1	20	70	10	11033004	1	0	80	20
10239600	10000	11032025	1	11033001	1	11033003	1	20	70	10	11033004	1	0	80	20
10249600	10000	11032026	1	11033001	1	11033003	1	20	70	10	11033004	1	0	80	20
10259600	10000	11032027	1	11033001	1	11033003	1	20	70	10	11033004	1	0	80	20
10269600	10000	11032024	1	11033001	1	11033003	1	20	70	10	11033004	1	0	80	20
10279600	10000	11032025	1	11033001	1	11033003	1	20	70	10	11033004	1	0	80	20
10288200	10000	11032026	1	11033002	1	11033003	1	20	70	10	11033004	1	0	80	20
10298200	10000	11032027	1	11033002	1	11033003	1	20	70	10	11033004	1	0	80	20
10356000	10000	11032006	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10366000	10000	11032007	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10376000	10000	11032008	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10386000	10000	11032009	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10396000	10000	11032010	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10406000	10000	11032011	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10416000	10000	11032018	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10426000	10000	11032019	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10436000	10000	11032020	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10446000	10000	11032021	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10456000	10000	11032022	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
10466000	10000	11032023	1	11033000	1	11033003	1	20	70	10	11033004	1	0	80	20
