INT	INT	INT	INT	INT	INT	INT
Index	需求物品数量	所需其它物品id	所需其它物品数量	需要钱数量	生成物品id	生成物品数量 
0	1	11000900	1	1000	14010002	1
1	1	11000901	1	1000	14010003	1
2	1	11000902	1	1000	14010004	1
3	1	11000903	1	1000	14010005	1
4	1	11000904	1	1000	14010031	1
5	1	11000905	1	1000	14010032	1
6	1	11000906	1	1000	14010033	1
7	1	11000907	1	1000	14010034	1
8	1	11000900	1	1000	14010007	1
9	1	11000901	1	1000	14010008	1
10	1	11000902	1	1000	14010009	1
11	1	11000903	1	1000	14010010	1
12	1	11000904	1	1000	14010035	1
13	1	11000905	1	1000	14010036	1
14	1	11000906	1	1000	14010037	1
15	1	11000907	1	1000	14010038	1
16	1	11000900	1	1000	14010012	1
17	1	11000901	1	1000	14010013	1
18	1	11000902	1	1000	14010014	1
19	1	11000903	1	1000	14010015	1
20	1	11000904	1	1000	14010039	1
21	1	11000905	1	1000	14010040	1
22	1	11000906	1	1000	14010041	1
23	1	11000907	1	1000	14010042	1
24	1	11000900	1	1000	14020002	1
25	1	11000901	1	1000	14020003	1
26	1	11000902	1	1000	14020004	1
27	1	11000903	1	1000	14020005	1
28	1	11000904	1	1000	14020031	1
29	1	11000905	1	1000	14020032	1
30	1	11000906	1	1000	14020033	1
31	1	11000907	1	1000	14020034	1
32	1	11000900	1	1000	14020007	1
33	1	11000901	1	1000	14020008	1
34	1	11000902	1	1000	14020009	1
35	1	11000903	1	1000	14020010	1
36	1	11000904	1	1000	14020035	1
37	1	11000905	1	1000	14020036	1
38	1	11000906	1	1000	14020037	1
39	1	11000907	1	1000	14020038	1
40	1	11000900	1	1000	14020012	1
41	1	11000901	1	1000	14020013	1
42	1	11000902	1	1000	14020014	1
43	1	11000903	1	1000	14020015	1
44	1	11000904	1	1000	14020039	1
45	1	11000905	1	1000	14020040	1
46	1	11000906	1	1000	14020041	1
47	1	11000907	1	1000	14020042	1
48	1	11000900	1	1000	14030002	1
49	1	11000901	1	1000	14030003	1
50	1	11000902	1	1000	14030004	1
51	1	11000903	1	1000	14030005	1
52	1	11000904	1	1000	14030031	1
53	1	11000905	1	1000	14030032	1
54	1	11000906	1	1000	14030033	1
55	1	11000907	1	1000	14030034	1
56	1	11000900	1	1000	14030007	1
57	1	11000901	1	1000	14030008	1
58	1	11000902	1	1000	14030009	1
59	1	11000903	1	1000	14030010	1
60	1	11000904	1	1000	14030035	1
61	1	11000905	1	1000	14030036	1
62	1	11000906	1	1000	14030037	1
63	1	11000907	1	1000	14030038	1
64	1	11000900	1	1000	14030012	1
65	1	11000901	1	1000	14030013	1
66	1	11000902	1	1000	14030014	1
67	1	11000903	1	1000	14030015	1
68	1	11000904	1	1000	14030039	1
69	1	11000905	1	1000	14030040	1
70	1	11000906	1	1000	14030041	1
71	1	11000907	1	1000	14030042	1
72	1	11000900	1	1000	14040002	1
73	1	11000901	1	1000	14040003	1
74	1	11000902	1	1000	14040004	1
75	1	11000903	1	1000	14040005	1
76	1	11000904	1	1000	14040031	1
77	1	11000905	1	1000	14040032	1
78	1	11000906	1	1000	14040033	1
79	1	11000907	1	1000	14040034	1
80	5	-1	-1	1000	11000901	1
81	5	-1	-1	1000	11000902	1
82	5	-1	-1	1000	11000903	1
83	5	-1	-1	1000	11000904	1
84	5	-1	-1	1000	11000905	1
85	5	-1	-1	1000	11000906	1
86	5	-1	-1	1000	11000907	1
