INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
婚姻关系索引	女力量*100	女体质*100	女智力*100	女敏捷*100	男力量*100	男体质*100	男智力*100	男敏捷*100	经验*100	所需天数	描述
0	0	200	0	0	0	200	0	0	0	0	新婚
1	0	300	0	0	0	300	0	0	0	3	纸婚
2	0	400	0	0	0	400	0	0	0	6	丝婚
3	0	500	0	0	0	500	0	0	0	9	珊瑚婚
4	0	600	0	0	0	600	0	0	0	12	水晶婚
5	0	700	0	0	0	700	0	0	0	15	宝石蓝婚
6	0	800	0	0	0	800	0	0	0	18	玫瑰婚
7	0	900	0	0	0	900	0	0	0	21	绿松石婚
8	0	1000	0	0	0	1000	0	0	0	24	青铜婚
9	0	1100	0	0	0	1100	0	0	0	27	绿玉婚
10	0	1200	0	0	0	1200	0	0	0	30	银婚
11	0	1300	0	0	0	1300	0	0	0	33	玉婚
12	0	1400	0	0	0	1400	0	0	0	36	绒婚
13	0	1500	0	0	0	1500	0	0	0	39	珍珠婚
14	0	1600	0	0	0	1600	0	0	0	41	紫铜婚
15	0	1700	0	0	0	1700	0	0	0	45	斑岩婚
16	0	1800	0	0	0	1800	0	0	0	60	琥珀婚
17	0	1900	0	0	0	1900	0	0	0	75	祖母绿婚
18	0	2000	0	0	0	2000	0	0	0	90	黄玉婚
19	0	2100	0	0	0	2100	0	0	0	105	紫晶婚
20	0	2200	0	0	0	2200	0	0	0	120	雪松婚
21	0	2300	0	0	0	2300	0	0	0	135	金婚
22	0	2400	0	0	0	2400	0	0	0	300	钻石婚
23	0	2500	0	0	0	2500	0	0	0	360	橡树婚
