INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
序号	调用MissionListCGAskMissionList	请求事件CGEventRequest	接受任务CGMissionAccept	放弃任务CGMissionAbandon	拒绝任务CGMissionRefuse	完成任务CGMissionSubmit	继续任务CGMissionContinue	玩家跳跃CGCharJump	玩家表情动作CGCharMoodState	玩家移动CGCharMove	玩家死亡原地复活CGPlayerDieResult	聊天CGChat	使用物品CGUseItem	商店购买CGShopBuy	商店卖CGShopSell	商店修CGShopRepair	国家委任CGCountryAppoint	交易锁CGExchangeSynchLock	建立摆摊CGStallEstablish	开始摊位CGStallOpen	物品拆分CGSplitItem	代练模式CGAskSubTrainMode	设置显示外装模式CGSetShowSuitMode	开箱子CGOpenBox	操作开箱子CGOpenBoxManipulate	注册队伍招募CGRegisterTeamRecruit	国家采集CGCountryCollect	国家捐赠CGCountryDonative     	进入busCGBusApplyInto	离开busCGBusLeave	返回进入busCGBusRetInto	帮战CGGuildBattle	答题CGMentalGame 	ChangeScene	国王拉人ME_CountryCallOfMan	组队跟随ME_TeamFollow	使用技能ME_UseSkill	帮会拉人ME_GuildCallOfMan	接受buff(ME_AcceptBuff)	骑乘事件	切换PK模式	参加婚礼	被囚禁	领奖中	领取现金中	传送到战斗位置	举办婚礼	使用外装	帮会召集	决斗	注释
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	摆摊
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	副本
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	战场
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	擂台
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	城市
6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	监狱
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	死亡
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	Bus
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	运镖
