INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING
Index	Index	SceneId	PosName	X坐标	Z坐标	类型	MapLevel	EnterLevel	在界面上XY坐标	所需要的金钱（不需要金钱的话，只能填0）	所需要的物品(物品ID，不需要物品的话只能填-1)	个人全局变量（对应值为0则显示，为1则不显示）	对应图书	出发点场景ID	POS_X	POS_Z	出发点场景名称
0	3	87	王国-[1级]楼兰猎场	198.799999	84.599998	100	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
1	0	50	王国-[10级]王城中心广场	127.95	118	100	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
2	4	89	王国-[10级]楼兰马场	42	127	100	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
3	1	58	王国-[10级]楼兰外城	128	76	100	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
4	2	86	王国-[20级]楼兰古道	172.399994	122.800003	100	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
5	3	87	王国-[1级]楼兰猎场	198.799999	84.599998	101	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	58	128	76	王城外城
6	0	50	王国-[10级]王城中心广场	127.95	118	101	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	58	128	76	王城外城
7	4	89	王国-[10级]楼兰马场	42	127	101	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	58	128	76	王城外城
8	1	58	王国-[10级]楼兰外城	128	76	101	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	58	128	76	王城外城
9	2	86	王国-[20级]楼兰古道	172.399994	122.800003	101	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	58	128	76	王城外城
10	3	87	王国-[1级]楼兰猎场	198.799999	84.599998	102	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	86	172.399994	122.800003	楼兰古道
11	0	50	王国-[10级]王城中心广场	127.95	118	102	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	86	172.399994	122.800003	楼兰古道
12	4	89	王国-[10级]楼兰马场	42	127	102	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	86	172.399994	122.800003	楼兰古道
13	1	58	王国-[10级]楼兰外城	128	76	102	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	86	172.399994	122.800003	楼兰古道
14	2	86	王国-[20级]楼兰古道	172.399994	122.800003	102	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	86	172.399994	122.800003	楼兰古道
15	3	87	王国-[1级]楼兰猎场	198.799999	84.599998	103	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	198.799999	84.599998	楼兰猎场
16	0	50	王国-[10级]王城中心广场	127.95	118	103	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	198.799999	84.599998	楼兰猎场
17	4	89	王国-[10级]楼兰马场	42	127	103	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	198.799999	84.599998	楼兰猎场
18	1	58	王国-[10级]楼兰外城	128	76	103	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	198.799999	84.599998	楼兰猎场
19	2	86	王国-[20级]楼兰古道	172.399994	122.800003	103	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	198.799999	84.599998	楼兰猎场
20	3	87	王国-[1级]楼兰猎场	198.799999	84.599998	104	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
21	0	50	王国-[10级]王城中心广场	127.95	118	104	1	1	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
22	4	89	王国-[10级]楼兰马场	42	127	104	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
23	1	58	王国-[10级]楼兰外城	128	76	104	1	1	x:0.6 y:0.5	0	-1	1521	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
24	2	86	王国-[20级]楼兰古道	172.399994	122.800003	104	1	1	x:0.6 y:0.6	0	-1	1500	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
25	11	0	大都-[40级]大都·中心城	126.8	173	105	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
26	16	0	大都-[40级]大都·崇天门	127	81	105	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
27	14	0	大都-[40级]大都·大相国寺	43	92	105	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
28	19	0	大都-[40级]大都·赵王府	210	76	105	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
29	15	38	大都-[40级]大都·西	157	135	105	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
30	12	37	大都-[40级]大都·东	128.5	123	105	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
31	13	36	大都-[40级]大都·南	128	98	105	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
32	17	2	大都-[40级]泰山	168	145	105	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
