INT	INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	CNC	INT	STRING	FLOAT	FLOAT	INT	FLOAT	INT	INT
¶¯Îï±àºÅ	ÍâÐÎid	Í·Ïñ	³¡¾°id 	ÌØÐ§Ãû³Æ1	°ó¶¨µãÃû³Æ1	ÌØÐ§Ãû³Æ2	°ó¶¨µãÃû³Æ2	ÌØÐ§Ãû³Æ3	°ó¶¨µãÃû³Æ3	ÌØÐ§Ãû³Æ4	°ó¶¨µãÃû³Æ4	¿Í»§¶Ë²»¹ØÐÄºóÐøÁÐ	ÖØÉúÊ±¼ä	¶¯ÎïÃû×Ö	ps_x	ps_z	Éú³ÉÎïÆ·id	ÒÆ¶¯ËÙ¶È	dir	ÀàÐÍ£¨1´ú±í¾²Ö¹µÄ£¬2´ú±íËæ»úÒÆ¶¯µÄ£©
1	1101	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	87										1000	Ð¡Âí¾Ô	77	129	-1	1000	0	2
2	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	87										1000	Ð¡Âí¾Ô	76	135	-1	1000	0	2
3	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	87										1000	Ð¡Âí¾Ô	71	135	-1	1000	0	2
4	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	87										1000	Ð¡Âí¾Ô	71	129	-1	1000	0	2
5	1103	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	87										1000	Ð¡Âí¾Ô	66	128	-1	1000	0	2
6	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	87										1000	Ð¡Âí¾Ô	62	135	-1	1000	0	2
7	1101	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	187										1000	Ð¡Âí¾Ô	181	120	-1	1000	0	2
8	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	187										1000	Ð¡Âí¾Ô	182	125	-1	1000	0	2
9	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	187										1000	Ð¡Âí¾Ô	187	124	-1	1000	0	2
10	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	187										1000	Ð¡Âí¾Ô	187	118	-1	1000	0	2
11	1103	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	187										1000	Ð¡Âí¾Ô	194	119	-1	1000	0	2
12	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	187										1000	Ð¡Âí¾Ô	192	123	-1	1000	0	2
13	1101	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	287										1000	Ð¡Âí¾Ô	149	85	-1	1000	0	2
14	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	287										1000	Ð¡Âí¾Ô	155	80	-1	1000	0	2
15	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	287										1000	Ð¡Âí¾Ô	160	81	-1	1000	0	2
16	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	287										1000	Ð¡Âí¾Ô	160	87	-1	1000	0	2
17	1103	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	287										1000	Ð¡Âí¾Ô	155	88	-1	1000	0	2
18	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	287										1000	Ð¡Âí¾Ô	149	91	-1	1000	0	2
19	1101	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	387										1000	Ð¡Âí¾Ô	98	123	-1	1000	0	2
20	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	387										1000	Ð¡Âí¾Ô	100	128	-1	1000	0	2
21	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	387										1000	Ð¡Âí¾Ô	98	132	-1	1000	0	2
22	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	387										1000	Ð¡Âí¾Ô	91	133	-1	1000	0	2
