INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	CNC	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
BUS编号	不可被攻击	名称	是否随玩家转向	是否显示头顶板信息	名字板高度	选中环大小	阴影大小	人物头像	外型ID	Bus Type	拉车马外型ID	拉车马外型ID	挂接拉车马绑定点	挂接拉车马绑定点	休闲间隔时间	是否可以交互	BOSS标记	特效名称1	绑定点名称1	特效名称2	绑定点名称2	特效名称3	绑定点名称3	特效名称4	绑定点名称4	乘客绑定点1	乘客绑定点2	乘客绑定点3	乘客绑定点4	乘客绑定点5	乘客绑定点6	乘客绑定点7	乘客绑定点8	客户端不关心后续列	等级	刷新周期	最小伤血百分比(Hppercent)	基础经验获得(EXP)	近程攻击获得(short range att)	远程攻击获得(long range att)	魔法攻击获得(magic att)	近程防御(short range recovery)	远程防御(long range recovery)	魔法防御(magic recovery)	HP上限(hp limit)	MP上限(mp limit)	HP回复(hp reversion)	MP回复(mp reversion)	命中(hit rate)	闪避（volt）	会心率（huixin)	战车韧性	属性攻击１(shuxingatt1 )	属性攻击２(shuxingatt2 )	属性攻击３(shuxingatt3)	属性攻击４(shuxingatt4)	属性防御１(shuxingrecovery1)	属性防御２(shuxingrecovery2)	属性防御３(shuxingrecovery3)	属性防御４(shuxingrecovery4)	调用脚本ID	攻击动作时间	攻击冷却时间	移动速度	步行速度	攻击速度	武器调用ID	马调用ＩＤ	基础AI	扩展AI	阵营	友好值	瞬时效果免疫ID	持续效果免疫ID	掉落分配半径(米)	掉落最大有效组队个数	掉落物品组	掉落概率0-0	马掉落ID	掉落ID	NPC类型	NPC类型名	NPC名称拼音索引	被动技能1	被动技能2	被动技能3	被动技能4	被动技能5	title	"1系统控制,0玩家控制"	战车空间	人物显示	主动技能1(镖车时特指变身技能)	主动技能2	主动技能3	主动技能4	主动技能5	"BUS类型(0镖车,1BUS,2帮会镖车)"	PK模式	最小有效跟随距离	最大有效跟随距离
1	0	公车	-1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_13	3092	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0									坐骑马背部绑定点1	坐骑马背部绑定点2	坐骑马背部绑定点3	坐骑马背部绑定点4	坐骑马背部绑定点5	坐骑马背部绑定点6	坐骑马背部绑定点7	坐骑马背部绑定点8		1	10000	10	2	2	2	2	2	2	2	200	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1200	1200	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		1	8	0	-1	-1	-1	-1	-1	1	0	5	25
2	0	共乘BUS	-1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_13	3092	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0									坐骑马背部绑定点1	坐骑马背部绑定点2	坐骑马背部绑定点3	坐骑马背部绑定点4	坐骑马背部绑定点5	坐骑马背部绑定点6	坐骑马背部绑定点7	坐骑马背部绑定点8		1	10000	10	2	2	2	2	2	2	2	500	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	2000	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	14001	123	14002	14003	1	0	5	25
3	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	80000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
4	0	青龙	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_11	2653	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	640000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	2	0	5	50
5	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	160000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
6	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	240000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
7	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	80000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
8	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	160000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
9	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	240000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
