INT	STRING
index	字符串
0	#Y亲爱的玩家：您好！成吉思汗游戏正处于公开测试阶段，如果您在游戏过程中遇到ＢＵＧ等问题的困扰，请您多多谅解！
1	#Y提示：按下键盘#GQ#Y键或点击下方快捷栏卷轴图标，打开任务面板，可查看详细任务信息，点击#S蓝色文字#Y可自动寻路
2	#Y提示：按下键盘#GC#Y键或点击下方快捷栏头像图标，打开人物装备，可查看人物当前装备，人物属性，人物称号，一键换装，以及修改角色个性资料
3	#Y提示：按下键盘#GB#Y键或点击下方快捷栏包裹图标，打开人物背包，可以使用道具，装备武器盔甲
4	#Y提示：按下键盘#GE#Y键或点击下方快捷栏马匹图标，打开坐骑面板，可切换马匹，查看马匹属性
5	#Y提示：按下键盘#GK#Y键或点击下方快捷栏书本图标。打开技能面板，可将已经学习到的技能拖到快捷栏上，使用快捷键释放。被动技能无法拖动。
6	#Y提示：按下键盘#GT#Y键或点击下方快捷栏红旗图标，打开队伍面板，玩家可建立队伍然后邀请身边朋友入队。同时可查询附近玩家、同城玩家，寻找队伍
7	#Y提示：按下键盘#GF#Y键或点击下方快捷栏帐篷图标，打开社会关系面板，可以查看好友，帮会，国家信息。
8	#Y提示：按下键盘#GM#Y键打开当前场景地图面板后，点击(国家地图)和(剧情地图)可分别查看国家地图和剧情地图整体分布
9	#Y提示：按下键盘#GESC#Y键或点击下方快捷栏电脑图标，再点击帮助按钮，可以查阅成吉思汗OnLine各种帮助信息
10	#Y提示：按下键盘#GESC#Y键或点击下方快捷栏电脑图标，打开设置面板，可以自定快捷键，视频音频设置，以及退出游戏
11	#Y提示：按下键盘#GW，S，A，D#Y键，可以键盘操作移动
12	#Y提示：按下键盘#GY#Y键或点击右侧每日功能按钮，打开每日功能提醒面板，可查看当日活动时间，以及每日循环任务和副本
13	#Y提示：按下键盘#GI#Y键或点击右侧寻找队伍按钮，打开寻找队伍界面，可以寻找在本场景内的队伍信息，申请入队后可与其他玩家一起挑战任务与副本
14	#Y提示：按下键盘#GV#Y键打开NPC寻路界面，可进行NPC和怪物自动寻路
15	#Y提示：按下键盘#GL#Y键或点击右上小地图眼睛按钮，打开战斗面板，可开启自动战斗功能。直接按#GCtrl+Z#Y可以立即开启自动战斗
16	#Y提示：按下键盘#GZ#Y键可立即开启自动行走功能，根据鼠标指向移动
17	#Y提示：按下键盘#GX#Y键或点下方“马”按钮，可立即上马或下马
18	#Y提示：按下键盘#GG#Y键或点击右上人头按钮，打开排行榜面板，可查看当前时间全服玩家等级，金钱等排行
19	#Y提示：按下键盘#GM#Y键或点击右方快捷栏地图图标，打开当前场景地图，可以查看NPC怪物分布，鼠标左键点击进行寻路
20	#Y提示：按下键盘#GTab#Y键可以立即选中周围敌人，再次按下可在多个敌人之间切换
21	#Y提示：按下键盘#G1~6，F1~F6#Y键可以立即使用快捷栏上的技能或物品，按K打开技能面板，按B打开背包面板，改变快捷键内容
22	#Y提示：按下键盘#GF11#Y键可以隐藏其他玩家称号和名称，再次点击可以恢复
23	#Y提示：按下键盘#GF12#Y键可以隐藏其他玩家模型，再次点击可以恢复
24	#Y提示：如果你遇到意外情况无法移动，可使用技能“回城”直接回到哲别村。该技能默认放在快捷栏位置6
25	#Y提示：按下键盘#G回车#Y键可进行聊天，在聊天状态按下键盘PageUp，PageDown可进行频道切换，按下键盘ctrl+↑，ctrl+↓可重复发言
26	#Y提示：按下键盘#G~#Y键可立即拾取身边物品
27	#Y提示：按下键盘#GCtrl+1~6#Y键可释放坐骑主动技能
28	#Y提示：按下右边快捷栏钟表或锁图标，可进行安全时限和财产保护设置
29	#Y提示：按下右上小地图指南针按钮，可进行视角指北操作
30	#Y提示：滚动鼠标中键可调节视点距离，按住鼠标右键拖动鼠标可旋转视角
31	#Y提示：在大地图右键选中玩家然后右击玩家头像，可进行组队，添加好友，聊天，查看装备等操作
32	#Y提示：在聊天区域右击玩家姓名，可进行组队，添加好友，聊天，查看装备等操作
33	#Y提示：如果你在NPC头上看到“#Y！#Y”，说明他需要你的帮助。如果你看到“#Y？#Y”，说明你完成了他的任务
34	#Y提示：点击屏幕右边#G任务跟踪#Y中的#S蓝色文字#Y，可以自动寻路，找到任务目标
35	#Y提示：你的马匹可能已经升级，按下键盘#GE#Y键选择详细属性，为自己的坐骑加点。
36	#Y提示：如果你想要和其他玩家共同游戏，按下键盘#GI#Y键寻找一个队伍，或者按下键盘#GT#Y键创建一个队伍
37	#Y提示：如果你想寻找可做的任务，按下键盘#GQ#Y键然后点击#G可接任务#Y按钮，寻找你还没有发现的任务NPC
38	#Y提示：如果你想寻找可做的任务，王城#G万事通#Y可能有新的挑战在等你
39	#Y提示：如果你的等级已经达到#G10级#Y，当下方经验条长满之后你需要按下键盘#GC#Y键，点击“#G升级#Y”按钮提升人物等级
40	#Y提示：10级以上的玩家可以在王城向技能训练师学习新技能
41	#Y提示：20级以上的玩家可以在王城向技能训练师学习新技能
42	#Y提示：30级以上的玩家可以在王城向技能训练师学习新技能
43	#Y提示：如果你的背包已满，可以返回王城去商业区卖东西，或存到仓库，同时别忘了进行装备修理
44	#Y提示：如果你的银币紧缺，组队前往#G金矿洞#Y是个不错的选择
45	#Y提示：如果你的银币紧缺，王城征税发布人的#G征税权#Y任务很适合你
46	#Y提示：10级以上玩家通过王城#G钥匙老人#Y，可回到100年前体验成吉思汗征战史实
47	#Y提示：你可以通过王城与边塞之间的马车夫来往于各个任务点之间，方便快捷节省时间
48	#Y提示：你可以通过边塞与大都之间的马车夫来往于各个任务点之间，方便快捷节省时间
49	#Y提示：20级以上玩家在王城狩猎人处可以领取#G狩猎#Y任务
50	#Y提示：40级以上玩家在边塞敌国夺旗发布人处可以领取#G敌国夺旗#Y系列任务，体验跨国PVP乐趣
51	#Y提示：40级以上玩家在大都灯谜仕女，全美丽和胡巧夫处可以领取#G大都嘉年华#Y任务，每天晚上19:30开放
52	#Y提示：40级以上已有帮会玩家在王城帮会任务发布人处可以领取#G粮仓除妖#Y任务，深入迷宫体验探险乐趣
53	#Y提示：40级以上已有帮会玩家在王城帮会任务发布人处可以领取#G收集黑木#Y任务，深入迷宫体验探险乐趣
54	#Y提示：20级以上玩家在王城帮会管理员处可申请#G加入帮会#Y，开始体验更多帮会任务活动
55	#Y提示：20级以上玩家在王城声望商店可以用声望兑换#G世传套装部件#Y
56	#Y提示：30级以上玩家在王城龙眼石商店可以用龙眼石兑换#G世传套装部件#Y
57	#Y提示：40级以上玩家在王城荣誉商店可以用荣誉兑换#G国家徽章#Y
58	#Y提示：35级以上玩家在王城帮贡商店可以用帮贡兑换#G帮会披风#Y
59	#Y提示：35级以上玩家在王城珠宝加工大师可以学习#G珠宝加工#Y
60	#Y提示：25级以上玩家在王城药品制造大师可以学习#G药品制造#Y
61	#Y提示：10级以上玩家可以前往#G铁骑牧场#Y捕捉坐骑
62	#Y提示：如果你的坐骑生命过低，请到王城骑乘恢复商人恢复坐骑生命
63	#Y提示：王城骑乘技能大师正在贩卖限量版#G骑乘技能书#Y
64	#Y提示：20级以上玩家可以到王城领双管理员处领取#G双倍经验#Y，每周可领取五小时
