INT	STRING	INT	INT	INT	INT	INT
死亡场景ID	场景名字	回城场景ID	原地复活	复活方式2	x	y
0	大都	-1	1	2	250	110
1	登陆界面	1	1	1	92	171
2	泰山	-1	1	2	250	110
3	中兴府	-1	1	2	250	110
4	太行山	-1	1	2	250	110
5	凤翔府	-1	1	2	250	110
6	蔡州城	-1	1	2	250	110
7	秦岭	-1	1	2	250	110
8	金山	-1	1	2	250	110
9	碎叶城	-1	1	2	250	110
10	红沙漠	-1	1	2	250	110
11	撒马尔罕	-1	1	2	250	110
12	监狱	12	1	1	25	15
13	巴格达	-1	1	2	20	20
14	大都美丽会	14	1	1	270	318
15	威海港	-1	1	2	162	115
16	波斯高原	-1	1	2	250	110
17	莫斯科公国	-1	1	2	250	110
18	基辅公国	-1	1	2	250	110
19	波兰王国	-1	1	2	250	110
20	匈牙利	-1	1	2	250	110
21	神圣罗马帝国	-1	1	2	100	100
22	拜占庭帝国	-1	1	2	100	100
23	大马士革	-1	1	2	100	100
24	耶路撒冷	-1	1	2	100	100
25	西奈半岛	-1	1	2	100	100
26	对马岛	-1	1	2	100	100
27	福冈	-1	1	2	100	100
28	演武场	-1	1	2	100	100
29	九州岛	-1	1	2	100	100
30	大理	-1	1	2	100	100
31	缅甸	-1	1	2	100	100
32	印度河	-1	1	2	100	100
33	婆罗洲	-1	1	2	100	100
34	爪哇岛	-1	1	2	100	100
35	苏门答腊	-1	1	2	100	100
36	大都·南	-1	1	2	250	110
37	大都·东	-1	1	2	250	110
38	大都·西	-1	1	2	250	110
39	test	39	1	1	100	100
40	test	40	1	1	100	100
41	test	41	1	1	100	100
42	test	42	1	1	100	100
43	test	43	1	1	100	100
44	test	44	1	1	100	100
45	登录界面1	45	1	1	100	100
46	公共场景预留	46	1	1	100	100
47	公共场景预留	47	1	1	100	100
48	公共场景预留	48	1	1	100	100
49	公共场景预留	49	1	1	100	100
50	楼兰王城	-1	1	2	250	110
51	楼兰边塞	-1	1	2	250	110
52	蒙古罕难河草原	52	1	1	55	204
53	蒙古乞颜部	53	1	1	97	183
54	蒙古克烈部	54	1	1	180	115
55	蒙古塔塔尔部	55	1	1	210	190
56	蒙古乃蛮部	56	1	1	39	125
57	居庸关	57	1	1	68	61
58	楼兰外城	-1	1	2	250	110
59	国家场景预留	59	1	1	130	130
60	国家场景预留	60	1	1	100	60
61	蔡州城	61	1	1	115	82
62	国家场景预留	62	1	1	171	64
63	国家场景预留	63	1	1	45	122
64	国家场景预留	64	1	1	113	146
65	国家场景预留	65	1	1	196	209
66	国家场景预留	66	1	1	192.2	228.2
67	国家场景预留	67	1	1	193	204
68	国家场景预留	-1	1	2	250	110
69	国家场景预留	69	1	1	115	258
70	国家场景预留	70	1	1	115	258
71	国家场景预留	71	1	1	115	258
72	国家场景预留	72	1	1	115	258
73	测试王城	73	1	1	100	100
74	测试边境	74	1	1	100	100
75	突厥里海魔岛迷宫	-1	1	2	250	110
76	暗道	-1	1	2	250	110
77	国家场景预留	77	1	1	100	100
78	俄罗斯公国	78	1	1	149	226
79	圣山地宫	-1	1	2	250	110
80	对马岛迷宫	-1	1	2	250	110
81	公共场景预留	-1	1	2	250	110
82	国家场景预留	82	1	1	97	106
83	圣山地宫	-1	1	2	250	110
84	圣山地宫	-1	1	2	250	110
85	圣山地宫	-1	1	2	250	110
86	葱岭古道	-1	1	2	250	110
87	葱岭牧场	87	1	1	199	78
88	国家场景预留	-1	1	2	250	110
89	葱岭草场	-1	1	2	250	110
90	东瀛岛	90	1	1	100	100
91	轮回之地	-1	1	2	32	32
92	国家场景预留	92	1	1	100	100
93	副本场景预留	93	1	1	100	100
94	副本场景预留	94	1	1	100	100
95	副本场景预留	95	1	1	100	100
96	圣山地宫	-1	1	2	123	57
97	圣山地宫	-1	1	2	123	57
98	蒙古罕难河草原	-1	1	2	123	57
99	蒙古乞颜部	-1	1	2	123	57
100	蒙古塔塔尔部	-1	1	2	123	57
101	蒙古克烈部	-1	1	2	123	57
102	蒙古乃蛮部	-1	1	2	123	57
103	居庸关	-1	1	2	123	57
104	国家场景预留	-1	1	2	123	57
105	国家场景预留	-1	1	2	123	57
106	国家场景预留	-1	1	2	123	57
107	国家场景预留	-1	1	2	123	57
108	国家场景预留	-1	1	2	123	57
109	国家场景预留	-1	1	2	123	57
110	国家场景预留	-1	1	2	123	57
111	国家场景预留	-1	1	2	123	57
112	国家场景预留	-1	1	2	123	57
