INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	激活名称	激活类型	需要件数Min	需要件数Max	装备星级	优先级	激活属性1	激活属性数值1	激活属性2	激活属性数值2
1	7星级装备属性激活（8件）	0	8	13	7	1	22	380	-1	-1
2	7星级装备属性激活（14件）	0	14	14	7	2	22	900	-1	-1
3	8星级装备属性激活（8件）	0	8	13	8	3	22	1300	-1	-1
4	8星级装备属性激活（14件）	0	14	14	8	4	22	2000	-1	-1
5	9星级装备属性激活（8件）	0	8	13	9	5	22	2400	-1	-1
6	9星级装备属性激活（14件）	0	14	14	9	6	22	3100	-1	-1
7	10星级装备属性激活（8件）	0	8	13	10	7	22	3400	-1	-1
8	10星级装备属性激活（14件）	0	14	14	10	8	22	3800	-1	-1
9	11星级装备属性激活（8件）	0	8	13	11	9	22	4300	-1	-1
10	11星级装备属性激活（14件）	0	14	14	11	10	22	4800	-1	-1
11	12星级装备属性激活（8件）	0	8	13	12	11	22	5200	-1	-1
12	12星级装备属性激活（14件）	0	14	14	12	12	22	6000	-1	-1
13	铭文装备属性激活（2件）	1	2	2	-1	-1	53	1	97	1
14	铭文装备属性激活（3件）	1	3	3	-1	-1	53	2	97	1
15	铭文装备属性激活（4件）	1	4	4	-1	-1	53	2	97	2
16	铭文装备属性激活（5件）	1	5	5	-1	-1	53	3	97	2
17	铭文装备属性激活（6件）	1	6	6	-1	-1	53	3	97	3
18	铭文装备属性激活（7件）	1	7	7	-1	-1	53	4	97	3
19	铭文装备属性激活（8件）	1	8	8	-1	-1	53	4	97	4
20	铭文装备属性激活（9件）	1	9	9	-1	-1	53	5	97	4
21	铭文装备属性激活（10件）	1	10	10	-1	-1	53	6	97	5
22	铭文装备属性激活（11件）	1	11	11	-1	-1	53	7	97	6
23	铭文装备属性激活（12件）	1	12	12	-1	-1	53	8	97	7
24	铭文装备属性激活（13件）	1	13	13	-1	-1	53	9	97	8
25	铭文装备属性激活（14件）	1	14	14	-1	-1	53	10	97	9
