INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
装备ID	模型ID	名称	说明	图标	类型描述	掉落时的外形	掉落模型附加的特效	掉落的声音	物品名称的颜色	特效1	绑定点1	特效2	绑定点2	特效3	绑定点3	特效4	绑定点4	特效5	绑定点5	特效6	绑定点6	特效7	绑定点7	特效8	绑定点8	特效9	绑定点9	特效10	绑定点10	特效11	绑定点11	特效12	绑定点12	特效13	绑定点13	特效14	绑定点14	特效15	绑定点15	特效16	绑定点16	动画帧	类别
#1001XXXX刀																																										-1	1
10010010	55	家传之刀	产地：蒙古	HAN2_Equip_jiachuan_4_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010020	55	草原短柄刀	产地：蒙古	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010030	55	克烈尖峰刀	产地：蒙古	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010040	55	鞑靼铜环刀	产地：蒙古	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010050	55	乃蛮黑铁刀	产地：蒙古	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010060	55	乌月风动刀	产地：金国	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010070	55	凤翔赤精刀	产地：金国	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010080	55	西辽地龙刀	产地：西域	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010090	55	突厥江鸈刀	产地：西域	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
