INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	
ID	LogicID	最大级别	升级所需道具id	道具个数	名字	图标名字	天赋简介	天赋说明	LogicID	最大级别	升级所需道具id	道具个数	名字	图标名字	天赋简介	天赋说明	
0	6	420	11010111	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010111	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	这行废弃了，从下一行开始填，这行不要乱动
1	6	420	11010111	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010111	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
2	6	420	11010111	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010111	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
3	6	420	11010111	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010111	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
4	6	420	11010111	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010111	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
5	6	420	11010111	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010111	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
6	6	420	11010111	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010111	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
7	6	420	11010112	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010112	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
8	6	420	11010112	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010112	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
9	6	420	11010112	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010112	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
10	6	420	11010112	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010112	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
11	6	420	11010112	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010112	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
12	6	420	11010112	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010112	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
13	6	420	11010112	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010112	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。	
14	6	420	11010113	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010113	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
15	6	420	11010113	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010113	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
16	6	420	11010113	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010113	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
17	6	420	11010113	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010113	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
18	6	420	11010113	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010113	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
19	6	420	11010113	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010113	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
20	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
21	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
22	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
23	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
24	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
25	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
26	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
27	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
28	6	420	11010114	1	控制命中平衡	Han2_Temp_Gift_1_15	控制技能命中	增加自身控制技能对敌方的命中率。每级提升1%。	7	420	11010114	1	控制抵抗平衡	Han2_Temp_Gift_1_14	控制技能抵抗	增加自身对敌方控制技能的抵抗率。每级提升1%。
