INT	INT	INT	INT	STRING	STRING
Index（0-127）	道具ID	帮会等级	帮会经验	分类说明	备注（该表格只能增加行，不能修改行，不能删除行）
1	10221105	1	200		披风
2	12210004	1	90		1级近攻红宝石
3	12210005	1	90		1级远攻红宝石
4	12210006	1	90		1级魔攻红宝石
5	12220008	1	90		一级目标减攻击（马）
6	10221108	2	500		披风
7	12200300	2	200		三防药1
8	12210203	2	200		2级近攻红宝石
9	12210204	2	200		2级远攻红宝石
10	12210205	2	200		2级魔攻红宝石
11	12210400	2	200		1级命中蓝宝石
12	12220023	2	200		一级增加闪避BUFF（马）
13	10221110	3	1000		披风
14	12210406	3	400		1级韧性红宝石
15	12210407	3	400		1级韧性绿宝石
16	12210408	3	400		1级韧性黄宝石
17	12210409	3	400		1级韧性蓝宝石
18	12210503	3	400		3级近攻红宝石
19	12210504	3	400		3级远攻红宝石
20	12210505	3	400		3级魔攻红宝石
21	12220038	3	400		一级造成目标晕厥（马）
22	10221109	4	2000		披风
23	12200500	4	800		三防药2
24	10221111	5	4000		披风
25	12221106	1	50		四象江湖之盾
26	12221107	1	50		四象江湖之锏
27	12221108	1	50		四象江湖羽箭
28	12221109	1	50		四象江湖飞弹
29	12221110	1	50		四象江湖之号
30	12221111	1	50		四象江湖之鼓
31	12222101	1	50		四象江湖头盔
32	12222106	1	50		四象江湖头盔
33	12222111	1	50		四象江湖头盔
34	12222116	1	50		四象江湖头盔
35	12222121	1	50		四象江湖头盔
36	12222126	1	50		四象江湖头盔
37	12223201	1	50		乃蛮夺命手镯
38	12222200	1	65		乃蛮玄铁头盔
39	12222300	2	85		乌月羽银头盔
40	12221406	2	100		六合江湖之盾
41	12221407	2	100		六合江湖之锏
42	12221408	2	100		六合江湖羽箭
43	12221409	2	100		六合江湖飞弹
44	12221410	2	100		六合江湖之号
45	12221411	2	100		六合江湖之鼓
46	12222401	2	100		六合江湖头盔
47	12222406	2	100		六合江湖头盔
48	12222411	2	100		六合江湖头盔
49	12222416	2	100		六合江湖头盔
50	12222421	2	100		六合江湖头盔
51	12222426	2	100		六合江湖头盔
52	12223301	2	100		乌月泣血手镯
53	12222500	3	150		凤翔紫金头盔
54	12221606	3	200		神龙掌门之盾
55	12221607	3	200		神龙掌门之锏
56	12221608	3	200		神龙掌门羽箭
57	12221609	3	200		神龙掌门飞弹
58	12221610	3	200		神龙掌门之号
59	12221611	3	200		神龙掌门之鼓
60	12222601	3	200		神龙掌门头盔
61	12222606	3	200		神龙掌门头盔
62	12222611	3	200		神龙掌门头盔
63	12222616	3	200		神龙掌门头盔
64	12222621	3	200		神龙掌门头盔
65	12222626	3	200		神龙掌门头盔
66	12223501	3	200		凤翔火云手镯
67	12222700	4	600		西辽毒灵头盔
68	12223701	4	600		西辽唤灵手镯
69	12210619	4	600		圣徒级蓝辉石
70	12210704	5	800		圣徒级红玉髓
71	12210705	5	800		圣徒级绿玉髓
72	12210706	5	800		圣徒级黄玉髓
73	12210707	5	800		圣徒级蓝玉髓
74	12200700	5	1200		乾阳护甲丸
75	10221112	6	8000		披风
76	10221113	7	16000		披风
77	12221118	1	50		四象江湖之重盾配方
78	12221119	1	50		四象江湖之火配方
79	12221120	1	50		四象江湖羽弩箭配方
80	12221121	1	50		四象江湖炮弹配方
81	12221122	1	50		四象江湖之书配方
82	12221123	1	50		四象江湖之珠配方
83	12222131	1	50		十字军四象江湖头盔配方
84	12222136	1	50		圣火使四象江湖头盔配方
85	12222141	1	50		刺客四象江湖头盔配方
86	12222146	1	50		近卫军四象江湖头盔配方
87	12222151	1	50		隐修士四象江湖头盔配方
88	12222156	1	50		僧侣四象江湖头盔配方
89	12221419	2	100		六合江湖之重盾配方
90	12221420	2	100		六合江湖之火配方
91	12221421	2	100		六合江湖弩箭配方
92	12221422	2	100		六合江湖炮弹配方
93	12221423	2	100		六合江湖之书配方
94	12221424	2	100		六合江湖之珠配方
95	12222431	2	100		十字军六合江湖头盔配方
96	12222436	2	100		圣火使六合江湖头盔配方
97	12222441	2	100		刺客六合江湖头盔配方
98	12222446	2	100		近卫军六合江湖头盔配方
99	12222451	2	100		隐修士六合江湖头盔配方
100	12222456	2	100		僧侣六合江湖头盔配方
101	12221619	3	200		神龙掌门之重盾配方
102	12221620	3	200		神龙掌门之火配方
103	12221621	3	200		神龙掌门弩箭配方
104	12221622	3	200		神龙掌门炮弹配方
105	12221623	3	200		神龙掌门之书配方
106	12221624	3	200		神龙掌门之珠配方
107	12222631	3	200		十字军神龙掌门头盔配方
108	12222636	3	200		圣火使神龙掌门头盔配方
109	12222641	3	200		刺客神龙掌门头盔配方
110	12222646	3	200		近卫军神龙掌门头盔配方
111	12222651	3	200		隐修士神龙掌门头盔配方
112	12222656	3	200		僧侣神龙掌门头盔配方
113	12200707	6	1600		混沌不灭丸配方
