INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
该ID和道具表里的ID保持一致	该道具的名称	"道具分别对应着不同的使用类型,表示的后面数值的作用的对象不同.其中1表示的是增加骑乘悟性的道具,2表示增加骑乘根骨的道具3表示的是增加快乐度4表示增加可使用技能格子数5表示对应位置的洗去技能格子的笑忘书,-1表示无作用6表示领悟型技能道具,增加领悟技能7表示扩展位置的技能书8表示还童书"	"对应1类型的数值填写表示的含义是按照百分比增加骑乘的悟性,对应2表示百分比增加根骨,3表示百分比增加快度,4,5,6,7，8该项数值无作用"	"对应0类型的数值填写表示的含义是按照数值增加骑乘的悟性,对应1表示按照数值增加根骨,2表示按照数值增加快乐度,3表示扩展格子的数目,,4表示对应洗去的格子位置,7表示新骑乘的成长率5,6该数值无作用"	"当道具类型填写5和6时候,填写该ID添加相应的技能,对应技能表格的ID号码,按照成功率添加技能."	"成功的概率,对6和7有效"	使用等级(对应骑乘的等级)	骑乘的等级	变异限制0:不限制 1:限制
12050000	常乐草	0	0	10	11	100	0	0	0
12050004	无忧草	0	0	50	11	100	0	0	0
12050009	极乐草	0	0	100	11	100	0	0	0
12050010	天生.一	1	-1	1	-1	100	0	0	0
12050011	天生.二	1	-1	2	-1	100	0	0	0
12050012	天生.三	1	-1	3	-1	100	0	0	0
12050013	天生.四	1	-1	4	-1	100	0	0	0
12050014	天生.五	1	-1	5	-1	100	0	0	0
12050015	天生.六	1	-1	6	-1	100	0	0	0
12050020	地落.一	2	-1	7	-1	100	0	0	0
12050021	地落.二	2	-1	8	-1	100	0	0	0
12050022	地落.三	2	-1	9	-1	100	0	0	0
12050023	地落.四	2	-1	10	-1	100	0	0	0
12050024	地落.五	2	-1	11	-1	100	0	0	0
12050025	地落.六	2	-1	12	-1	100	0	0	0
12050055	一级勇力丹	5	-1	10	-1	-1	0	0	0
12050065	一级追影丹	6	-1	10	-1	-1	0	0	0
12050075	一级心智丹	7	-1	10	-1	-1	0	0	0
12050085	一级强身丹	8	-1	10	-1	-1	0	0	0
12050090	一级融雪丹	9	-1	194048	-1	-1	0	0	0
12050091	二级融雪丹	9	-1	1153022	-1	-1	45	0	0
12050092	三级融雪丹	9	-1	3410771	-1	-1	55	0	0
12050093	四级融雪丹	9	-1	10000000	-1	-1	65	0	0
12050094	五级融雪丹	9	-1	30000000	-1	-1	75	0	0
12050095	六级融雪丹	9	-1	30000000	-1	-1	0	0	0
12050096	七级融雪丹	9	-1	30000000	-1	-1	0	0	0
12050097	八级融雪丹	9	-1	30000000	-1	-1	0	0	0
12050098	九级融雪丹	9	-1	30000000	-1	-1	0	0	0
12050099	十级融雪丹	9	-1	30000000	-1	-1	0	0	0
12050100	重生丹	10	1	-1	-1	-1	0	0	0
12050110	浴火丹	11	1	-1	2	-1	0	0	0
12050120	本原丹	12	1	-1	1	-1	0	0	0
12052001	一级疾奔	3	-1	1	11000	100	0	0	0
12052011	一级健体	3	-1	1	11010	100	0	0	0
12052012	二级健体	3	-1	1	11011	100	0	0	0
12052013	三级健体	3	-1	1	11012	100	0	0	0
12052014	四级健体	3	-1	1	11013	100	0	0	0
12052015	五级健体	3	-1	1	11014	100	80	0	0
12052016	六级健体	3	-1	1	11015	100	80	0	0
12052021	一级蛮力	3	-1	1	11020	100	0	0	0
12052022	二级蛮力	3	-1	1	11021	100	0	0	0
12052023	三级蛮力	3	-1	1	11022	100	0	0	0
12052024	四级蛮力	3	-1	1	11023	100	0	0	0
12052025	五级蛮力	3	-1	1	11024	100	80	0	0
12052026	六级蛮力	3	-1	1	11025	100	80	0	0
12052031	一级追影	3	-1	1	11030	100	0	0	0
12052032	二级追影	3	-1	1	11031	100	0	0	0
12052033	三级追影	3	-1	1	11032	100	0	0	0
12052034	四级追影	3	-1	1	11033	100	0	0	0
12052035	五级追影	3	-1	1	11034	100	80	0	0
12052036	六级追影	3	-1	1	11035	100	80	0	0
12052041	一级聪慧	3	-1	1	11040	100	0	0	0
12052042	二级聪慧	3	-1	1	11041	100	0	0	0
12052043	三级聪慧	3	-1	1	11042	100	0	0	0
12052044	四级聪慧	3	-1	1	11043	100	0	0	0
12052045	五级聪慧	3	-1	1	11044	100	80	0	0
12052046	六级聪慧	3	-1	1	11045	100	80	0	0
12052051	一级全能	3	-1	1	11050	100	0	0	0
12052052	二级全能	3	-1	1	11051	100	0	0	0
12052053	三级全能	3	-1	1	11052	100	0	0	0
12052054	四级全能	3	-1	1	11053	100	0	0	0
12052055	五级全能	3	-1	1	11054	100	80	0	0
12052056	六级全能	3	-1	1	11055	100	80	0	0
12052061	一级闪避	3	-1	1	11100	100	0	0	0
12052062	二级闪避	3	-1	1	11101	100	0	0	0
12052063	三级闪避	3	-1	1	11102	100	0	0	0
12052064	四级闪避	3	-1	1	11103	100	0	0	0
12052065	五级闪避	3	-1	1	11104	100	80	0	0
12052066	六级闪避	3	-1	1	11105	100	80	0	0
12052071	一级命中	3	-1	1	11110	100	0	0	0
12052072	二级命中	3	-1	1	11111	100	0	0	0
12052073	三级命中	3	-1	1	11112	100	0	0	0
12052074	四级命中	3	-1	1	11113	100	0	0	0
12052075	五级命中	3	-1	1	11114	100	80	0	0
12052076	六级命中	3	-1	1	11115	100	80	0	0
12052081	一级暴击	3	-1	1	11120	100	0	0	0
12052082	二级暴击	3	-1	1	11121	100	0	0	0
12052083	三级暴击	3	-1	1	11122	100	0	0	0
12052084	四级暴击	3	-1	1	11123	100	0	0	0
12052085	五级暴击	3	-1	1	11124	100	80	0	0
12052086	六级暴击	3	-1	1	11125	100	80	0	0
12052091	一级乱战	3	-1	1	11220	100	0	0	0
12052092	二级乱战	3	-1	1	11221	100	0	0	0
12052093	三级乱战	3	-1	1	11222	100	0	0	0
12052094	四级乱战	3	-1	1	11223	100	0	0	0
12052095	五级乱战	3	-1	1	11224	100	80	0	0
12052096	六级乱战	3	-1	1	11225	100	80	0	0
12052101	一级破军	3	-1	1	11240	100	0	0	0
12052102	二级破军	3	-1	1	11241	100	0	0	0
12052103	三级破军	3	-1	1	11242	100	0	0	0
12052104	四级破军	3	-1	1	11243	100	0	0	0
12052105	五级破军	3	-1	1	11244	100	80	0	0
12052106	六级破军	3	-1	1	11245	100	80	0	0
12052111	一级魔灭	3	-1	1	11260	100	0	0	0
12052112	二级魔灭	3	-1	1	11261	100	0	0	0
12052113	三级魔灭	3	-1	1	11262	100	0	0	0
12052114	四级魔灭	3	-1	1	11263	100	0	0	0
12052115	五级魔灭	3	-1	1	11264	100	80	0	0
12052116	六级魔灭	3	-1	1	11265	100	80	0	0
12052121	一级猛击	3	-1	1	11400	100	0	0	0
12052122	二级猛击	3	-1	1	11401	100	0	0	0
12052123	三级猛击	3	-1	1	11402	100	0	0	0
12052124	四级猛击	3	-1	1	11403	100	0	0	0
12052125	五级猛击	3	-1	1	11404	100	80	0	0
12052126	六级猛击	3	-1	1	11405	100	80	0	0
12052131	一级连环	3	-1	1	11420	100	0	0	0
12052132	二级连环	3	-1	1	11421	100	0	0	0
12052133	三级连环	3	-1	1	11422	100	0	0	0
12052134	四级连环	3	-1	1	11423	100	0	0	0
12052135	五级连环	3	-1	1	11424	100	80	0	0
12052136	六级连环	3	-1	1	11425	100	80	0	0
12052141	一级偷袭	3	-1	1	11440	100	0	0	0
12052142	二级偷袭	3	-1	1	11441	100	0	0	0
12052143	三级偷袭	3	-1	1	11442	100	0	0	0
12052144	四级偷袭	3	-1	1	11443	100	0	0	0
12052145	五级偷袭	3	-1	1	11444	100	80	0	0
12052146	六级偷袭	3	-1	1	11445	100	80	0	0
12052151	一级回春	3	-1	1	11610	100	0	0	0
12052152	二级回春	3	-1	1	11611	100	0	0	0
12052153	三级回春	3	-1	1	11612	100	0	0	0
12052154	四级回春	3	-1	1	11613	100	0	0	0
12052155	五级回春	3	-1	1	11614	100	80	0	0
12052156	六级回春	3	-1	1	11615	100	80	0	0
12052161	一级回复	3	-1	1	11630	100	0	0	0
12052162	二级回复	3	-1	1	11631	100	0	0	0
12052163	三级回复	3	-1	1	11632	100	0	0	0
12052164	四级回复	3	-1	1	11633	100	0	0	0
12052165	五级回复	3	-1	1	11634	100	80	0	0
12052166	六级回复	3	-1	1	11635	100	80	0	0
12052171	一级防御	3	-1	1	11710	100	0	0	0
12052172	二级防御	3	-1	1	11711	100	0	0	0
12052173	三级防御	3	-1	1	11712	100	0	0	0
12052174	四级防御	3	-1	1	11713	100	0	0	0
12052175	五级防御	3	-1	1	11714	100	80	0	0
12052176	六级防御	3	-1	1	11715	100	80	0	0
12052181	一级震撼	4	-1	1	11800	100	0	0	0
12052182	二级震撼	4	-1	1	11801	100	80	0	0
12052183	三级震撼	4	-1	1	11802	100	90	0	0
12052184	四级震撼	4	-1	1	11803	100	0	0	0
12052185	五级震撼	4	-1	1	11804	100	80	0	0
12052186	六级震撼	4	-1	1	11805	100	80	0	0
12052191	一级羽锋	4	-1	1	11810	100	0	0	0
12052192	二级羽锋	4	-1	1	11811	100	80	0	0
12052193	三级羽锋	4	-1	1	11812	100	90	0	0
12052194	四级羽锋	4	-1	1	11813	100	0	0	0
12052195	五级羽锋	4	-1	1	11814	100	80	0	0
12052196	六级羽锋	4	-1	1	11815	100	80	0	0
12052201	一级魔舞	4	-1	1	11820	100	0	0	0
12052202	二级魔舞	4	-1	1	11821	100	80	0	0
12052203	三级魔舞	4	-1	1	11822	100	90	0	0
12052204	四级魔舞	4	-1	1	11823	100	0	0	0
12052205	五级魔舞	4	-1	1	11824	100	80	0	0
12052206	六级魔舞	4	-1	1	11825	100	80	0	0
12052211	一级无刃	4	-1	1	12000	100	0	0	0
12052212	二级无刃	4	-1	1	12001	100	80	0	0
12052213	三级无刃	4	-1	1	12002	100	90	0	0
12052214	四级无刃	4	-1	1	12003	100	0	0	0
12052215	五级无刃	4	-1	1	12004	100	80	0	0
12052216	六级无刃	4	-1	1	12005	100	80	0	0
12052221	一级锋芒	4	-1	1	12010	100	0	0	0
12052222	二级锋芒	4	-1	1	12011	100	80	0	0
12052223	三级锋芒	4	-1	1	12012	100	90	0	0
12052224	四级锋芒	4	-1	1	12013	100	0	0	0
12052225	五级锋芒	4	-1	1	12014	100	80	0	0
12052226	六级锋芒	4	-1	1	12015	100	80	0	0
12052231	一级九天	4	-1	1	12020	100	0	0	0
12052232	二级九天	4	-1	1	12021	100	80	0	0
12052233	三级九天	4	-1	1	12022	100	90	0	0
12052234	四级九天	4	-1	1	12023	100	0	0	0
12052235	五级九天	4	-1	1	12024	100	80	0	0
12052236	六级九天	4	-1	1	12025	100	80	0	0
12052241	一级祝福	4	-1	1	12200	100	0	80	1
12052242	二级祝福	4	-1	1	12201	100	80	0	0
12052243	三级祝福	4	-1	1	12202	100	90	0	0
12052244	四级祝福	4	-1	1	12203	100	0	0	0
12052245	五级祝福	4	-1	1	12204	100	80	0	0
12052246	六级祝福	4	-1	1	12205	100	80	0	0
12052251	一级回生	4	-1	1	12210	100	0	80	1
12052252	二级回生	4	-1	1	12211	100	80	0	0
12052253	三级回生	4	-1	1	12212	100	90	0	0
12052254	四级回生	4	-1	1	12213	100	0	0	0
12052255	五级回生	4	-1	1	12214	100	80	0	0
12052256	六级回生	4	-1	1	12215	100	80	0	0
12052261	一级暴躁	4	-1	1	12220	100	0	80	1
12052262	二级暴躁	4	-1	1	12221	100	80	0	0
12052263	三级暴躁	4	-1	1	12222	100	90	0	0
12052264	四级暴躁	4	-1	1	12223	100	0	0	0
12052265	五级暴躁	4	-1	1	12224	100	80	0	0
12052266	六级暴躁	4	-1	1	12225	100	80	0	0
12052271	一级冲动	4	-1	1	12230	100	0	80	1
12052272	二级冲动	4	-1	1	12231	100	80	0	0
12052273	三级冲动	4	-1	1	12232	100	90	0	0
12052274	四级冲动	4	-1	1	12233	100	0	0	0
12052275	五级冲动	4	-1	1	12234	100	80	0	0
12052276	六级冲动	4	-1	1	12235	100	80	0	0
12052281	一级天枝	4	-1	1	12240	100	0	80	1
12052282	二级天枝	4	-1	1	12241	100	80	0	0
12052283	三级天枝	4	-1	1	12242	100	90	0	0
12052284	四级天枝	4	-1	1	12243	100	0	0	0
12052285	五级天枝	4	-1	1	12244	100	80	0	0
12052286	六级天枝	4	-1	1	12245	100	80	0	0
12052291	一级铸梭	4	-1	1	12250	100	0	80	1
12052292	二级铸梭	4	-1	1	12251	100	80	0	0
12052293	三级铸梭	4	-1	1	12252	100	90	0	0
12052294	四级铸梭	4	-1	1	12253	100	0	0	0
12052295	五级铸梭	4	-1	1	12254	100	80	0	0
12052296	六级铸梭	4	-1	1	12255	100	80	0	0
12052301	一级灵力	4	-1	1	12260	100	0	80	1
12052302	二级灵力	4	-1	1	12261	100	80	0	0
12052303	三级灵力	4	-1	1	12262	100	90	0	0
12052304	四级灵力	4	-1	1	12263	100	0	0	0
12052305	五级灵力	4	-1	1	12264	100	80	0	0
12052306	六级灵力	4	-1	1	12265	100	80	0	0
12052311	一级光祭	4	-1	1	12270	100	0	80	1
12052312	二级光祭	4	-1	1	12271	100	80	0	0
12052313	三级光祭	4	-1	1	12272	100	90	0	0
12052314	四级光祭	4	-1	1	12273	100	0	0	0
12052315	五级光祭	4	-1	1	12274	100	80	0	0
12052316	六级光祭	4	-1	1	12275	100	80	0	0
12052321	一级大喝	4	-1	1	12400	100	0	0	0
12052322	二级大喝	4	-1	1	12401	100	80	0	0
12052323	三级大喝	4	-1	1	12402	100	90	0	0
12052324	四级大喝	4	-1	1	12403	100	0	0	0
12052325	五级大喝	4	-1	1	12404	100	80	0	0
12052326	六级大喝	4	-1	1	12405	100	80	0	0
12052331	一级致伤	4	-1	1	12410	100	0	0	0
12052332	二级致伤	4	-1	1	12411	100	80	0	0
12052333	三级致伤	4	-1	1	12412	100	90	0	0
12052334	四级致伤	4	-1	1	12413	100	0	0	0
12052335	五级致伤	4	-1	1	12414	100	80	0	0
12052336	六级致伤	4	-1	1	12415	100	80	0	0
12052341	一级恐惧	4	-1	1	12420	100	0	0	0
12052342	二级恐惧	4	-1	1	12421	100	80	0	0
12052343	三级恐惧	4	-1	1	12422	100	90	0	0
12052344	四级恐惧	4	-1	1	12423	100	0	0	0
12052345	五级恐惧	4	-1	1	12424	100	80	0	0
12052346	六级恐惧	4	-1	1	12425	100	80	0	0
12052351	一级无双	4	-1	1	12600	100	0	0	0
12052352	二级无双	4	-1	1	12601	100	80	0	0
12052353	三级无双	4	-1	1	12602	100	90	0	0
