INT	INT
宠物等级	升级经验
1	4
2	15
3	47
4	109
5	210
6	362
7	574
8	855
9	1217
10	1669
11	2220
12	2882
13	3664
14	4575
15	5627
16	6829
17	8190
18	9722
19	11434
20	22986
21	31937
22	40000
23	50193
24	62608
25	67064
26	74281
27	86642
28	100864
29	103664
30	208524
31	220109
32	231694
33	244933
34	256518
35	269758
36	282997
37	296237
38	309476
39	635502
40	809312
41	847563
42	883801
43	924065
44	964330
45	1006607
46	1048885
47	1093175
48	1137466
49	2323249
50	1907721
51	1984677
52	2063660
53	2146692
54	3278768
55	2671214
56	2774498
57	2879807
58	2989167
59	4560707
60	4670725
61	5698285
62	6950039
63	8474564
64	10330897
65	15738475
66	17578666
67	19629511
68	21914737
69	33355519
70	33879680
71	41236410
72	50180645
73	61053118
74	74267355
75	150541935
76	167804077
77	187013227
78	208386168
79	232163564
80	235975844
81	241528216
82	247080589
83	252632962
84	258185335
85	263737708
86	269290080
87	274842453
88	280394826
89	288666096
90	288666096
91	288666096
92	288666096
93	288666096
94	288666096
95	288666096
96	288666096
97	288666096
98	288666096
99	288666096
100	743026531
101	743026531
102	743026531
103	743026531
104	743026531
105	743026531
106	743026531
107	743026531
108	743026531
109	743026531
110	743026531
111	743026531
112	743026531
113	743026531
114	743026531
115	743026531
116	743026531
117	743026531
118	743026531
119	743026531
120	743026531
121	743026531
122	743026531
123	743026531
124	743026531
125	743026531
126	743026531
127	743026531
128	743026531
129	743026531
130	743026531
131	743026531
132	743026531
133	743026531
134	743026531
135	743026531
136	743026531
137	743026531
138	743026531
139	743026531
140	743026531
141	743026531
142	743026531
143	743026531
144	743026531
145	743026531
146	743026531
147	743026531
148	743026531
149	743026531
150	743026531
151	743026531
152	743026531
153	743026531
154	743026531
155	743026531
156	743026531
157	743026531
158	743026531
159	743026531
160	743026531
