INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
index	class	type	Medindex	资源	name	说明文字	等级	基本价格	出售价格	适应规则	叠放数量	脚本编号	技能编号	需求技能	需求技能等级	最大持有数量	选择对象类型	是否广播	附加参数类型	参数	消耗量	类型描述	动画帧	颜色
13010000	13	1	0	CJSH_item_chengshuidaoju_1_10	鎏银碗	闪闪发光的银碗，价值不菲。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010001	13	1	1	CJSH_quest_xinjia_1_9	孛儿贴的小马驹	一批红色的小马驹。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010002	13	1	2	CJSH_item_baoshi_3_2	木华黎的礼物	一个包裹。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010003	13	1	3	CJSH_quest_xinjia_1_9	木华黎和扎木合的礼物	两个包裹。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010004	13	1	4	CJSH_quest_xinjia_1_9	银狐尾巴	毛绒绒的。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010005	13	1	5	CJSH_quest_xinjia_1_9	三人的礼物	三个包裹。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010006	13	1	6	CJSH_quest_xinjia_1_9	木华黎的礼物	一个雕像。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010007	13	1	7	CJSH_quest_xinjia_1_9	扎木合的礼物	一颗珍珠。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010008	13	1	8	CJSH_quest_xinjia_1_9	扎木合的礼物	一颗珍珠。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
