INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
index	class	type	Medindex	资源	name	说明文字	使用等级	天赋等级	个人等级	职业需求	基本价格	出售价格	适应规则	叠放数量	脚本编号	技能编号	需求技能	需求技能等级	最大持有数量	选择对象类型	是否广播	附加参数类型	参数	消耗量	类型描述	掉落时的外形	掉落模型附加的特效	掉落的声音	物品名称的颜色	动画帧	品质等级	效果ID	是否为记次道具	有效次数	配方id	GemRework表索引	拾取等级
11000001	11	0	1	CJSH_quest_mabian_1_1	废弃	废弃	1	-1	-1	99	2500	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000002	11	0	2	CJSH_quest_yihai_1_3	废弃	废弃	1	-1	-1	99	5000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000003	11	0	3	CJSH_item_yaofen_1_1	废弃	废弃	1	-1	-1	99	2500	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000004	11	0	4	CJSH_item_yaofen_1_2	废弃	废弃	1	-1	-1	99	5000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000005	11	0	5	CJSH_item_huizhang_1_5	废弃	废弃	1	-1	-1	99	2500	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000006	11	0	6	CJSH_item_zhipian_2_1	上古之力灵符	拥有上古力量的灵符，可以修复装备的有效时间至初始有效时间。	1	-1	-1	99	2000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	特修道具	掉落符文.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000007	11	0	7	CJSH_item_zhipian_2_2	上古之力神符	拥有上古力量的灵符，可以修复装备的有效时间至初始有效时间。	1	-1	-1	99	180000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	特修道具	掉落符文.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1
11000008	11	0	8	CJSH_item_yaofen_1_2	废弃	废弃	1	-1	-1	99	5000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000100	11	0	100	CJSH_item_dakong_1	赤铜钻	赤色的铜制成的钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第一个孔。#r #r#g印度珠宝术（1级）#cC8B88E制作。#r #r适用装备：#O帽子、披风、衣服、护手、腰带、靴子、手镯#cC8B88E。	35	-1	-1	99	3000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_01.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
