INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
index	名称	ResultID	ResultNum	对应技能ID	技能等级需求（此列最低填1）	Stuff1ID	Stuff1num	Stuff2ID	Stuff2num	Stuff3ID	Stuff3num	Stuff4ID	Stuff4num	活力需求	冷却时间(毫秒)	需求工具ID	冷却组ID	增加熟练度	操作时间	脚本ID	详细描述	树结构名称
0	天罡止血散	12010200	1	1	1	11020001	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
1	伸筋活血酒	12010300	1	1	1	11020001	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
2	小怒气丹	12020001	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
3	小疾风丹	12020002	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
4	小通络丹	12020003	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
5	小威灵丹	12020004	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
6	小玄冥丹	12020005	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
7	小理气丹	12020006	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	5000	-1		恢复药水
8	小神力丸	12041011	1	1	2	11020001	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	5000	-1		增强药水
9	小仙火丸	12041031	1	1	2	11020001	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	5000	-1		增强药水
10	小魔道丸	12041021	1	1	2	11020001	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	5000	-1		增强药水
11	极乐草	12050009	1	1	2	11020001	12	-1	-1	-1	-1	-1	-1	20	0	-1	-1	3	5000	-1		马道具
12	小神甲丸	12041060	1	1	2	11020002	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	5000	-1		增强药水
13	小神运丸	12041080	1	1	2	11020002	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	5000	-1		增强药水
14	小神护丹	12041070	1	1	2	11020002	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	5000	-1		增强药水
15	天王补心丹	12010201	1	1	3	11020006	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
16	龟鹿二仙胶	12010301	1	1	3	11020006	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
17	中怒气丹	12020011	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
18	中疾风丹	12020012	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
19	中通络丹	12020013	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
20	中威灵丹	12020014	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
21	中玄冥丹	12020015	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
22	中理气丹	12020016	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	5000	-1		恢复药水
